"plant_id","tray","pot_pos","geno","geno2","shelf","treatment","days","h1","h2","h3","h2_h1_height_diff_avg","h3_h2_height_diff_avg","h3_h1_height_diff_avg","i_growth_days","envelope","i_dry","r_dry","assigned_no","rep"
"2H4001_1","2H4001","1","13RV146","49","4","Sun",32.2916666666667,1,64,237,9,17.3,13.8823529411765,17,"1477",0.1646,0.4711,"215",1
"2H4001_10","2H4001","10","27RV405","117","4","Sun",23.2916666666667,2,322,NA,20,NA,NA,16,"953",0.2074,0.1636,"733",1
"2H4001_11","2H4001","11","29RV359","89","4","Sun",39.2916666666667,15,248,NA,23.3,NA,NA,10,NA,NA,NA,NA,1
"2H4001_12","2H4001","12","28RV240","62","4","Sun",16.2916666666667,1,138,258,19.5714285714286,24,21.4166666666667,12,"156",0.1255,0.1153,"828",1
"2H4001_13","2H4001","13","21RV093","28","4","Sun",39.2916666666667,8,192,NA,18.4,NA,NA,10,NA,NA,NA,NA,1
"2H4001_14","2H4001","14","21RV060","19","4","Sun",19.2916666666667,10,176,277,23.7142857142857,16.8333333333333,20.5384615384615,13,"412",0.164,0.0781,"485",1
"2H4001_16","2H4001","16","20RV276","73","4","Sun",21.2916666666667,1,132,308,18.7142857142857,22,20.4666666666667,15,"676",0.1945,0.1716,"389",1
"2H4001_2","2H4001","2","20RV272","71","4","Sun",43.2916666666667,10,79,79,11.5,NA,11.5,6,NA,NA,NA,NA,1
"2H4001_3","2H4001","3","29RV208","47","4","Sun",21.2916666666667,6,181,406,25,20.4545454545455,22.2222222222222,18,"950",0.3646,0.1749,"963",1
"2H4001_5","2H4001","5","28RV127","38","4","Sun",32.2916666666667,1,107,314,15.1428571428571,20.7,18.4117647058824,17,"1478",0.2631,0.4151,"804",1
"2H4001_6","2H4001","6","27RV103","30","4","Sun",23.2916666666667,1,364,NA,22.6875,NA,NA,16,"952",0.229,0.189,"646",1
"2H4001_7","2H4001","7","20RV494","135","4","Sun",21.2916666666667,1,96,376,13.5714285714286,25.4545454545455,20.8333333333333,18,"951",0.2874,0.244,"451",1
"2H4001_8","2H4001","8","21RV061","20","4","Sun",21.2916666666667,1,136,323,19.2857142857143,23.375,21.4666666666667,15,"675",0.1532,0.1311,"486",1
"2H4001_9","2H4001","9","28RV398","109","4","Sun",23.2916666666667,1,311,NA,19.375,NA,NA,16,"954",0.2057,0.2473,"875",1
"2H4002_1","2H4002","1","27RV369","103","4","Sun",19.2916666666667,7,174,279,23.8571428571429,17.5,20.9230769230769,13,"398",0.1149,0.0624,"719",1
"2H4002_10","2H4002","10","27RV008","4","4","Sun",21.2916666666667,4,149,279,20.7142857142857,16.25,18.3333333333333,15,"699",0.1795,0.1167,"620",1
"2H4002_11","2H4002","11","8RV439","138","4","Sun",23.2916666666667,2,391,NA,24.3125,NA,NA,16,"940",0.3108,0.2084,"154",1
"2H4002_12","2H4002","12","13RV085","33","4","Sun",16.2916666666667,3,180,342,25.2857142857143,18,21.1875,16,"397",0.2168,0.1031,"199",1
"2H4002_14","2H4002","14","29RV253","59","4","Sun",26.2916666666667,1,449,NA,26.3529411764706,NA,NA,17,"1138",0.3359,0.3446,"975",1
"2H4002_15","2H4002","15","29RV159","30","4","Sun",32.2916666666667,2,29,200,3.85714285714286,17.1,11.6470588235294,17,"1487",0.1651,0.4651,"946",1
"2H4002_16","2H4002","16","28RV419","116","4","Sun",23.2916666666667,1,328,NA,20.4375,NA,NA,16,"939",0.2161,0.152,"882",1
"2H4002_2","2H4002","2","28RV300","78","4","Sun",23.2916666666667,1,373,NA,23.25,NA,NA,16,"941",0.1708,0.2245,"844",1
"2H4002_3","2H4002","3","27RV258","72","4","Sun",26.2916666666667,1,314,NA,18.4117647058824,NA,NA,17,"1136",0.1995,0.2195,"688",1
"2H4002_4","2H4002","4","8RV223","66","4","Sun",23.2916666666667,1,362,NA,22.5625,NA,NA,16,"938",0.2614,0.1337,"82",1
"2H4002_5","2H4002","5","28RV313","83","4","Sun",26.2916666666667,1,444,NA,26.0588235294118,NA,NA,17,"1139",0.2415,0.3123,"849",1
"2H4002_6","2H4002","6","28RV017","8","4","Sun",26.2916666666667,1,391,NA,22.9411764705882,NA,NA,17,"1137",0.2127,0.303,"774",1
"2H4002_7","2H4002","7","21RV186","51","4","Sun",49.2916666666667,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,1
"2H4002_8","2H4002","8","13RV254","82","4","Sun",14.2916666666667,1,238,NA,19.75,NA,NA,12,"33",0.1057,0.0807,"248",1
"2H4002_9","2H4002","9","29RV192","40","4","Sun",21.2916666666667,1,124,289,17.5714285714286,20.625,19.2,15,"700",0.208,0.1248,"956",1
"2H4003_1","2H4003","1","28RV007","3","4","Sun",23.2916666666667,3,372,NA,23.0625,NA,NA,16,"947",0.3742,0.111,"769",1
"2H4003_10","2H4003","10","20RV189","53","4","Sun",43.2916666666667,16,128,128,18.6666666666667,NA,18.6666666666667,6,NA,NA,NA,NA,1
"2H4003_11","2H4003","11","20RV095","25","4","Sun",26.2916666666667,3,318,NA,18.5294117647059,NA,NA,17,"1132",0.2478,0.1638,"341",1
"2H4003_12","2H4003","12","27RV199","56","4","Sun",26.2916666666667,9,354,NA,20.2941176470588,NA,NA,17,"1131",0.2663,0.1814,"672",1
"2H4003_13","2H4003","13","13RV081","32","4","Sun",36.2916666666667,3,171,321,24,25,24.4615384615385,13,NA,NA,NA,NA,1
"2H4003_15","2H4003","15","29RV304","70","4","Sun",43.2916666666667,85,221,221,22.6666666666667,NA,22.6666666666667,6,NA,NA,NA,NA,1
"2H4003_16","2H4003","16","27RV171","49","4","Sun",39.2916666666667,10,204,NA,19.4,NA,NA,10,NA,NA,NA,NA,1
"2H4003_2","2H4003","2","13RV478","140","4","Sun",23.2916666666667,2,311,NA,19.3125,NA,NA,16,"946",0.288,0.158,"306",1
"2H4003_5","2H4003","5","21RV374","101","4","Sun",26.2916666666667,49,306,NA,15.1176470588235,NA,NA,17,"1134",0.283,0.0926,"567",1
"2H4003_6","2H4003","6","20RV151","39","4","Sun",26.2916666666667,11,369,NA,21.0588235294118,NA,NA,17,"1133",0.2941,0.1206,"355",1
"2H4003_7","2H4003","7","20RV323","90","4","Sun",32.2916666666667,5,174,389,24.1428571428571,21.5,22.5882352941176,17,"1486",0.2503,0.3733,"406",1
"2H4003_8","2H4003","8","13RV058","23","4","Sun",32.2916666666667,9,196,386,26.7142857142857,19,22.1764705882353,17,"1485",0.3406,0.2673,"189",1
"2H4003_9","2H4003","9","27RV278","79","4","Sun",26.2916666666667,5,316,NA,18.2941176470588,NA,NA,17,"1135",0.2684,0.128,"695",1
"2H4004_1","2H4004","1","8RV112","38","4","Sun",21.2916666666667,5,143,265,19.7142857142857,15.25,17.3333333333333,15,"694",0.2526,0.0794,"54",1
"2H4004_10","2H4004","10","21RV055","18","4","Sun",39.2916666666667,43,258,NA,21.5,NA,NA,10,NA,NA,NA,NA,1
"2H4004_11","2H4004","11","8RV402","127","4","Sun",43.2916666666667,39,116,116,12.8333333333333,NA,12.8333333333333,6,NA,NA,NA,NA,1
"2H4004_12","2H4004","12","28RV250","64","4","Sun",32.2916666666667,2,141,352,19.8571428571429,21.1,20.5882352941176,17,"1467",0.2241,0.2712,"830",1
"2H4004_13","2H4004","13","27RV235","65","4","Sun",26.2916666666667,1,303,NA,17.7647058823529,NA,NA,17,"1102",0.3011,0.2126,"681",1
"2H4004_14","2H4004","14","8RV224","67","4","Sun",49.2916666666667,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,1
"2H4004_15","2H4004","15","28RV092","29","4","Sun",32.2916666666667,2,158,387,22.2857142857143,22.9,22.6470588235294,17,"1468",0.3296,0.4103,"795",1
"2H4004_16","2H4004","16","20RV502","139","4","Sun",26.2916666666667,1,342,NA,20.0588235294118,NA,NA,17,"1099",0.2836,0.3151,"455",1
"2H4004_3","2H4004","3","21RV138","43","4","Sun",28.2916666666667,1,255,NA,15.875,NA,NA,16,"1301",0.1715,0.378,"509",1
"2H4004_3","2H4004","3","9057","VINSLOV","4","Sun",28.2916666666667,1,255,NA,15.875,NA,NA,16,"1301",0.1715,0.378,"1151",1
"2H4004_4","2H4004","4","13RV405","120","4","Sun",26.2916666666667,1,320,NA,18.7647058823529,NA,NA,17,"1098",0.3171,0.3016,"286",1
"2H4004_5","2H4004","5","8RV495","149","4","Sun",19.2916666666667,1,124,251,17.5714285714286,21.1666666666667,19.2307692307692,13,"406",0.0952,0.1385,"165",1
