"plant_id","tray","pot_pos","geno","geno2","shelf","treatment","envelope","rep","cross","bd","h3_h1","i_dry","r_dry"
"2H4001_1","2H4001",1,"13RV146","49",4,"Sun",1477,1,"sha_col",0.795860184772765,-0.81461360979976,0.23794934686053,1.7030266564989
"2H4001_10","2H4001",10,"27RV405","117",4,"Sun",953,1,"oy_col",-0.194996438790942,NA,0.599277785695537,0.275626534889178
"2H4001_11","2H4001",11,"29RV359","89",4,"Sun",NA,1,"ita_col",1.33234691292716,NA,NA,NA
"2H4001_12","2H4001",12,"28RV240","62",4,"Sun",156,1,"jea_col",-1.4358498330304,0.857541524320446,-0.180759430263269,-0.150410428958296
"2H4001_13","2H4001",13,"21RV093","28",4,"Sun",NA,1,"blh_col",1.33234691292716,NA,NA,NA
"2H4001_14","2H4001",14,"21RV060","19",4,"Sun",412,1,"blh_col",-0.827273937535105,0.658868078753377,0.232273744042276,-0.599998246737028
"2H4001_16","2H4001",16,"20RV276","73",4,"Sun",676,1,"bur_col",-0.490407063498618,0.642665649288038,0.498468389965447,0.335452408321339
"2H4001_2","2H4001",2,"20RV272","71",4,"Sun",NA,1,"bur_col",1.58249310859434,-1.3253898330175,NA,NA
"2H4001_3","2H4001",3,"29RV208","47",4,"Sun",950,1,"ita_col",-0.490407063498618,1.04054583969992,1.49891614387898,0.35943776332966
"2H4001_5","2H4001",5,"28RV127","38",4,"Sun",1478,1,"jea_col",0.795860184772765,0.181567439286344,0.975541535767561,1.52048535781182
"2H4001_6","2H4001",6,"27RV103","30",4,"Sun",952,1,"oy_col",-0.194996438790942,NA,0.755439121684672,0.457752639172659
"2H4001_7","2H4001",7,"20RV494","135",4,"Sun",951,1,"bur_col",-0.490407063498618,0.7254768892562,1.11641169113237,0.78956694788382
"2H4001_8","2H4001",8,"21RV061","20",4,"Sun",675,1,"blh_col",-0.490407063498618,0.868879349388265,0.126589829161566,0.00345834854181767
"2H4001_9","2H4001",9,"28RV398","109",4,"Sun",954,1,"jea_col",-0.194996438790942,NA,0.586339323358162,0.807361223094667
"2H4002_1","2H4002",1,"27RV369","103",4,"Sun",398,1,"oy_col",-0.827273937535105,0.745769154181619,-0.315776288298063,-0.847717363612914
"2H4002_10","2H4002",10,"27RV008","4",4,"Sun",699,1,"oy_col",-0.490407063498618,0.164073034219554,0.37293258449172,-0.136071581014945
