"plant_id","tray","pot_pos","geno","geno2","shelf","treatment","envelope","rep","cross","bd","h2_h1","h3_h2","h3_h1","i_dry","r_dry"
"2H4001_1","2H4001",1,"13RV146","49",4,"Sun",1477,1,"sha_col",0.804941549365692,-0.899508070064526,-0.422609050602343,-0.813995036453848,0.237084518997102,1.67950488819095
"2H4001_10","2H4001",10,"27RV405","117",4,"Sun",953,1,"oy_col",-0.177391632843378,0.734865021849829,NA,NA,0.598729242606887,0.289870652852872
"2H4001_11","2H4001",11,"29RV359","89",4,"Sun",NA,1,"ita_col",1.32049366001582,1.18057187340709,NA,NA,NA,NA
"2H4001_12","2H4001",12,"28RV240","62",4,"Sun",156,1,"jea_col",-1.45837633437157,0.675829789092,0.656038096917666,0.857564064518693,-0.181686198171625,-0.135839922492462
"2H4001_13","2H4001",13,"21RV093","28",4,"Sun",NA,1,"blh_col",1.32049366001582,0.512978324921036,NA,NA,NA,NA
"2H4001_14","2H4001",14,"21RV060","19",4,"Sun",412,1,"blh_col",-0.823373927890408,1.23550114173574,-0.502384070822564,0.659208367848691,0.231405882444134,-0.591176081978392
"2H4001_16","2H4001",16,"20RV276","73",4,"Sun",676,1,"bur_col",-0.477416775850869,0.556890021048638,0.345676921251071,0.643029279884946,0.497807280749059,0.349221592675648
"2H4001_2","2H4001",2,"20RV272","71",4,"Sun",NA,1,"bur_col",1.55672511375467,-0.500848108058878,NA,-1.32574477235578,NA,NA
"2H4001_3","2H4001",3,"29RV208","47",4,"Sun",950,1,"ita_col",-0.477416775850869,1.40463966796495,0.0995342604677288,1.040225653878,1.50019539211422,0.372987594982159
"2H4001_5","2H4001",5,"28RV127","38",4,"Sun",1478,1,"jea_col",0.804941549365692,0.0473794624130327,0.139020633256983,0.182423483417001,0.975578172025227,1.50471060742481
"2H4001_6","2H4001",6,"27RV103","30",4,"Sun",952,1,"oy_col",-0.177391632843378,1.09896313130193,NA,NA,0.755101926476739,0.47023174412373
"2H4001_7","2H4001",7,"20RV494","135",4,"Sun",951,1,"bur_col",-0.477416775850869,-0.1850541862995,0.876493672263711,0.725717103292164,1.11673398138664,0.796438454691005
"2H4001_8","2H4001",8,"21RV061","20",4,"Sun",675,1,"blh_col",-0.477416775850869,0.636313921440898,0.559985209967419,0.868882028302075,0.125676458388026,0.0185393830510863
"2H4001_9","2H4001",9,"28RV398","109",4,"Sun",954,1,"jea_col",-0.177391632843378,0.648676476620934,NA,NA,0.585775283569911,0.813846899889617
"2H4002_1","2H4002",1,"27RV369","103",4,"Sun",398,1,"oy_col",-0.823373927890408,1.25439283507142,-0.388634197016796,0.745977574987414,-0.316652662527918,-0.844896804615981
"2H4002_10","2H4002",10,"27RV008","4",4,"Sun",699,1,"oy_col",-0.477416775850869,0.832639191941222,-0.60312059209999,0.164940941573172,0.372157580013618,-0.121422854612842
"2H4002_11","2H4002",11,"8RV439","138",4,"Sun",940,1,"cvi_col",-0.177391632843378,1.31444382773345,NA,NA,1.24235677255749,0.59395680374345
"2H4002_12","2H4002",12,"13RV085","33",4,"Sun",397,1,"sha_col",-1.45837633437157,1.44196142345855,-0.304243555885595,0.805723825880972,0.668590626276754,-0.268541030104635
"2H4002_14","2H4002",14,"29RV253","59",4,"Sun",1138,1,"ita_col",0.206208781238798,1.58055398986414,NA,NA,1.36751342233765,1.25193955752642
"2H4002_15","2H4002",15,"29RV159","30",4,"Sun",1487,1,"ita_col",0.804941549365692,-1.81527002653197,-0.456711685026695,-1.29443995028758,0.24180175841718,1.66169108725468
"2H4002_16","2H4002",16,"28RV419","116",4,"Sun",939,1,"jea_col",-0.177391632843378,0.794841764306001,NA,NA,0.663488036363353,0.199042807823099
"2H4002_2","2H4002",2,"28RV300","78",4,"Sun",941,1,"jea_col",-0.177391632843378,1.17392790857146,NA,NA,0.294642265345494,0.689067987039264
"2H4002_3","2H4002",3,"27RV258","72",4,"Sun",1136,1,"oy_col",0.206208781238798,0.514625056353535,NA,NA,0.537656197878557,0.660199777078183
"2H4002_4","2H4002",4,"8RV223","66",4,"Sun",938,1,"cvi_col",-0.177391632843378,1.08224864988544,NA,NA,0.965246155493934,0.0423368423134469
"2H4002_5","2H4002",5,"28RV313","83",4,"Sun",1139,1,"jea_col",0.206208781238798,1.54248541800362,NA,NA,0.83932556534756,1.12033431454221
"2H4002_6","2H4002",6,"28RV017","8",4,"Sun",1137,1,"jea_col",0.206208781238798,1.13282115798462,NA,NA,0.638479157136622,1.08019076398678
"2H4002_7","2H4002",7,"21RV186","51",4,"Sun",NA,1,"blh_col",1.85516476995917,NA,NA,NA,NA,NA
"2H4002_8","2H4002",8,"13RV254","82",4,"Sun",33,1,"sha_col",-1.98971269837454,0.700462259983163,NA,NA,-0.443721430119469,-0.553633402170186
"2H4002_9","2H4002",9,"29RV192","40",4,"Sun",700,1,"ita_col",-0.477416775850869,0.396403687239879,0.126971562727164,0.358530399911605,0.603277225885519,-0.0409167664987144
"2H4003_1","2H4003",1,"28RV007","3",4,"Sun",947,1,"jea_col",-0.177391632843378,1.14898477108151,NA,NA,1.54237487030444,-0.18111803140257
"2H4003_10","2H4003",10,"20RV189","53",4,"Sun",NA,1,"bur_col",1.55672511375467,0.550247300022897,NA,0.239292847181516,NA,NA
"2H4003_11","2H4003",11,"20RV095","25",4,"Sun",1132,1,"bur_col",0.206208781238798,0.531079579238988,NA,NA,0.880221022123027,0.291385657712171
"2H4003_12","2H4003",12,"27RV199","56",4,"Sun",1131,1,"oy_col",0.206208781238798,0.775217149708648,NA,NA,0.994856278143731,0.418652936400638
"2H4003_13","2H4003",13,"13RV081","32",4,"Sun",NA,1,"sha_col",1.11801967953,1.27325948099862,0.808051525159321,1.55140412447217,NA,NA
"2H4003_15","2H4003",15,"29RV304","70",4,"Sun",NA,1,"ita_col",1.55672511375467,1.09617880417751,NA,1.14128876578086,NA,NA
"2H4003_16","2H4003",16,"27RV171","49",4,"Sun",NA,1,"oy_col",1.32049366001582,0.652135728229811,NA,NA,NA,NA
"2H4003_2","2H4003",2,"13RV478","140",4,"Sun",946,1,"sha_col",-0.177391632843378,0.640024016909399,NA,NA,1.12007427937115,0.246765475729471
"2H4003_5","2H4003",5,"21RV374","101",4,"Sun",1134,1,"blh_col",0.206208781238798,0.0436941595964942,NA,NA,1.092034678935,-0.394481427540482
"2H4003_6","2H4003",6,"20RV151","39",4,"Sun",1133,1,"bur_col",0.206208781238798,0.879532834556124,NA,NA,1.15366474168767,-0.0820590903773594
"2H4003_7","2H4003",7,"20RV323","90",4,"Sun",1486,1,"bur_col",0.804941549365692,1.2921012615241,0.266675864870105,1.12343963962236,0.896176987472135,1.35995151821768
"2H4003_8","2H4003",8,"13RV058","23",4,"Sun",1485,1,"sha_col",0.804941549365692,1.62719536931438,-0.13770887278823,1.02983345709467,1.38996005231821,0.915124941992527
"2H4003_9","2H4003",9,"27RV278","79",4,"Sun",1135,1,"oy_col",0.206208781238798,0.498147221697722,NA,NA,1.00738864202867,-0.0103907112094148
"2H4004_1","2H4004",1,"8RV112","38",4,"Sun",694,1,"cvi_col",-0.477416775850869,0.695539726983662,-0.778592580594326,-0.0572983760125556,0.910723708806547,-0.57226773876737
