lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
B4_bd_dir_sun,:=,0,0,0,B4_bd_dir_sun,0,0,,,0,0,0,0,0,B4,bd,dir,sun,bur
B4_bd_dir_shade,:=,0,0,0,B4_bd_dir_shade,0,0,,,0,0,0,0,0,B4,bd,dir,shade,bur
B4_bd_dir_diff,:=,0,0,0,B4_bd_dir_diff,0,0,,,0,0,0,0,0,B4,bd,dir,diff,bur
B4_bd_ind_sun,:=,0,0,0,B4_bd_ind_sun,0,0,,,0,0,0,0,0,B4,bd,ind,sun,bur
B4_bd_ind_shade,:=,0,0,0,B4_bd_ind_shade,0,0,,,0,0,0,0,0,B4,bd,ind,shade,bur
B4_bd_ind_diff,:=,0,0,0,B4_bd_ind_diff,0,0,,,0,0,0,0,0,B4,bd,ind,diff,bur
B4_rdry_dir_sun,:=,0,0,0,B4_rdry_dir_sun,0,0,,,0,0,0,0,0,B4,rdry,dir,sun,bur
B4_rdry_dir_shade,:=,0,0,0,B4_rdry_dir_shade,0,0,,,0,0,0,0,0,B4,rdry,dir,shade,bur
B4_rdry_dir_diff,:=,0,0,0,B4_rdry_dir_diff,0,0,,,0,0,0,0,0,B4,rdry,dir,diff,bur
B4_rdry_ind_sun,:=,0,0,0,B4_rdry_ind_sun,0,0,,,0,0,0,0,0,B4,rdry,ind,sun,bur
B4_rdry_ind_shade,:=,0,0,0,B4_rdry_ind_shade,0,0,,,0,0,0,0,0,B4,rdry,ind,shade,bur
B4_rdry_ind_diff,:=,0,0,0,B4_rdry_ind_diff,0,0,,,0,0,0,0,0,B4,rdry,ind,diff,bur
B4_h3h1_dir_sun,:=,0,0,0,B4_h3h1_dir_sun,0,0,,,0,0,0,0,0,B4,h3h1,dir,sun,bur
B4_h3h1_dir_shade,:=,0,0,0,B4_h3h1_dir_shade,0,0,,,0,0,0,0,0,B4,h3h1,dir,shade,bur
B4_h3h1_dir_diff,:=,0,0,0,B4_h3h1_dir_diff,0,0,,,0,0,0,0,0,B4,h3h1,dir,diff,bur
B4_h3h1_ind_sun,:=,0,0,0,B4_h3h1_ind_sun,0,0,,,0,0,0,0,0,B4,h3h1,ind,sun,bur
B4_h3h1_ind_shade,:=,0,0,0,B4_h3h1_ind_shade,0,0,,,0,0,0,0,0,B4,h3h1,ind,shade,bur
B4_h3h1_ind_diff,:=,0,0,0,B4_h3h1_ind_diff,0,0,,,0,0,0,0,0,B4,h3h1,ind,diff,bur
B4_idry_dir_sun,:=,0,0,0,B4_idry_dir_sun,0,0,,,0,0,0,0,0,B4,idry,dir,sun,bur
B4_idry_dir_shade,:=,0,0,0,B4_idry_dir_shade,0,0,,,0,0,0,0,0,B4,idry,dir,shade,bur
B4_idry_dir_diff,:=,0,0,0,B4_idry_dir_diff,0,0,,,0,0,0,0,0,B4,idry,dir,diff,bur
B4_idry_ind_sun,:=,0,0,0,B4_idry_ind_sun,0,0,,,0,0,0,0,0,B4,idry,ind,sun,bur
B4_idry_ind_shade,:=,0,0,0,B4_idry_ind_shade,0,0,,,0,0,0,0,0,B4,idry,ind,shade,bur
B4_idry_ind_diff,:=,0,0,0,B4_idry_ind_diff,0,0,,,0,0,0,0,0,B4,idry,ind,diff,bur
B42_bd_dir_sun,:=,a,0,0,B42_bd_dir_sun,0.276574963532068,0.0620074091212218,4.46035348761913,8.18245807554519e-06,0.155042674879833,0.398107252184303,0.276574963532068,0.351966388530836,0.711444682418496,B42,bd,dir,sun,bur
B42_bd_dir_shade,:=,A,0,0,B42_bd_dir_shade,0.0699163210841552,0.0235829764113573,2.9646945264502,0.00302983620335673,0.0236945366696372,0.116138105498673,0.0699163210841552,0.234663029243373,0.474218873204267,B42,bd,dir,shade,bur
B42_bd_dir_diff,:=,A-a,0,0,B42_bd_dir_diff,-0.206658642447913,0.066340602667938,-3.11511554217143,0.001838728698347,-0.336683834389753,-0.0766334505060725,-0.206658642447913,-0.117303359287464,-0.237225809214229,B42,bd,dir,diff,bur
B42_bd_ind_sun,:=,0,0,0,B42_bd_ind_sun,0,0,,,0,0,0,0,0,B42,bd,ind,sun,bur
B42_bd_ind_shade,:=,0,0,0,B42_bd_ind_shade,0,0,,,0,0,0,0,0,B42,bd,ind,shade,bur
B42_bd_ind_diff,:=,0,0,0,B42_bd_ind_diff,0,0,,,0,0,0,0,0,B42,bd,ind,diff,bur
B42_rdry_dir_sun,:=,0,0,0,B42_rdry_dir_sun,0,0,,,0,0,0,0,0,B42,rdry,dir,sun,bur
B42_rdry_dir_shade,:=,0,0,0,B42_rdry_dir_shade,0,0,,,0,0,0,0,0,B42,rdry,dir,shade,bur
B42_rdry_dir_diff,:=,0,0,0,B42_rdry_dir_diff,0,0,,,0,0,0,0,0,B42,rdry,dir,diff,bur
B42_rdry_ind_sun,:=,a*c,0,0,B42_rdry_ind_sun,0.0303494573133364,0.00866259763456155,3.5035053679799,0.000459177400646604,0.0133710779370339,0.0473278366896389,0.0303494573133364,0.165047705315965,0.33361797068907,B42,rdry,ind,sun,bur
B42_rdry_ind_shade,:=,A*C,0,0,B42_rdry_ind_shade,0.028308599997608,0.00992182908960368,2.85316343810743,0.00432863526763283,0.00886217232122294,0.047755027673993,0.028308599997608,0.155812089281741,0.314872920753777,B42,rdry,ind,shade,bur
B42_rdry_ind_diff,:=,(A*C)-(a*c),0,0,B42_rdry_ind_diff,-0.00204085731572837,0.0131713055640516,-0.154947230234979,0.876862918905631,-0.0278561418506416,0.0237744272191848,-0.00204085731572837,-0.00923561603422435,-0.0187450499352927,B42,rdry,ind,diff,bur
B42_h3h1_dir_sun,:=,0,0,0,B42_h3h1_dir_sun,0,0,,,0,0,0,0,0,B42,h3h1,dir,sun,bur
B42_h3h1_dir_shade,:=,0,0,0,B42_h3h1_dir_shade,0,0,,,0,0,0,0,0,B42,h3h1,dir,shade,bur
B42_h3h1_dir_diff,:=,0,0,0,B42_h3h1_dir_diff,0,0,,,0,0,0,0,0,B42,h3h1,dir,diff,bur
B42_h3h1_ind_sun,:=,a*c*e,0,0,B42_h3h1_ind_sun,-0.0118145355549406,0.00559085289830125,-2.11319020010889,0.0345844917460827,-0.0227724058784724,-0.000856665231408775,-0.0118145355549406,-0.0358351023142326,-0.0724350216843217,B42,h3h1,ind,sun,bur
B42_h3h1_ind_shade,:=,A*C*E,0,0,B42_h3h1_ind_shade,0.00202563714261028,0.00260163278498706,0.778602250978458,0.436214052689076,-0.003073469416963,0.00712474370218356,0.00202563714261028,0.00960356598180474,0.0194073700204008,B42,h3h1,ind,shade,bur
B42_h3h1_ind_diff,:=,(A*C*E)-(a*c*e),0,0,B42_h3h1_ind_diff,0.0138401726975509,0.00616653300310336,2.24440097711075,0.0248066137089287,0.00175399010199066,0.0259263552931111,0.0138401726975509,0.0454386682960373,0.0918423917047225,B42,h3h1,ind,diff,bur
B42_idry_dir_sun,:=,0,0,0,B42_idry_dir_sun,0,0,,,0,0,0,0,0,B42,idry,dir,sun,bur
B42_idry_dir_shade,:=,0,0,0,B42_idry_dir_shade,0,0,,,0,0,0,0,0,B42,idry,dir,shade,bur
B42_idry_dir_diff,:=,0,0,0,B42_idry_dir_diff,0,0,,,0,0,0,0,0,B42,idry,dir,diff,bur
B42_idry_ind_sun,:=,(a*c*g)+(a*c*e*h),0,0,B42_idry_ind_sun,0.00306728227107556,0.00241174237855964,1.27181174006961,0.203440016662054,-0.0016596459308903,0.00779421047304142,0.00306728227107556,0.0195229931100654,0.0394626591789803,B42,idry,ind,sun,bur
B42_idry_ind_shade,:=,(A*C*G)+(A*C*E*H),0,0,B42_idry_ind_shade,0.0155907992794577,0.00568215680496042,2.74381714806731,0.00607293545702548,0.00445397658722613,0.0267276219716893,0.0155907992794577,0.0976402733269583,0.197316384032721,B42,idry,ind,shade,bur
B42_idry_ind_diff,:=,((A*C*G)+(A*C*E*H))-((a*c*g)+(a*c*e*h)),0,0,B42_idry_ind_diff,0.0125235170083822,0.00617279574072385,2.02882413972661,0.0424762056359471,0.000425059672641177,0.0246219743441232,0.0125235170083822,0.0781172802168929,0.15785372485374,B42,idry,ind,diff,bur
B5_bd_dir_sun,:=,b,0,0,B5_bd_dir_sun,-0.027998811654738,0.0714610275174029,-0.391805332604816,0.695202054616618,-0.168059851887073,0.112062228577597,-0.027998811654738,-0.0309173495546562,-0.0720224470480342,B5,bd,dir,sun,bur
B5_bd_dir_shade,:=,B,0,0,B5_bd_dir_shade,-0.0834958306039068,0.026994962452606,-3.09301525240115,0.00198133951746504,-0.136404984775026,-0.0305866764327879,-0.0834958306039068,-0.244819937483556,-0.56632411563217,B5,bd,dir,shade,bur
B5_bd_dir_diff,:=,B-b,0,0,B5_bd_dir_diff,-0.0554970189491688,0.0763898321222178,-0.726497459247951,0.467533864509925,-0.205218338693777,0.094224300795439,-0.0554970189491688,-0.2139025879289,-0.494301668584136,B5,bd,dir,diff,bur
B5_bd_ind_sun,:=,0,0,0,B5_bd_ind_sun,0,0,,,0,0,0,0,0,B5,bd,ind,sun,bur
B5_bd_ind_shade,:=,0,0,0,B5_bd_ind_shade,0,0,,,0,0,0,0,0,B5,bd,ind,shade,bur
B5_bd_ind_diff,:=,0,0,0,B5_bd_ind_diff,0,0,,,0,0,0,0,0,B5,bd,ind,diff,bur
