lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
B4_bd_dir_sun,:=,a,0,0,B4_bd_dir_sun,0.370413718307443,0.0529378442462474,6.99714398237325,2.61235477694299e-12,0.266657450165607,0.474169986449279,0.370413718307443,0.521594243268723,1.05189096931432,B4,bd,dir,sun,blh
B4_bd_dir_shade,:=,A,0,0,B4_bd_dir_shade,0.521022300181714,0.0400213706483572,13.0186021053504,0,0.442581855099006,0.599462745264423,0.521022300181714,0.743636074267946,1.50216072992409,B4,bd,dir,shade,blh
B4_bd_dir_diff,:=,A-a,0,0,B4_bd_dir_diff,0.150608581874271,0.0663635853613497,2.26944612853883,0.0232412097287489,0.0205383446810765,0.280678819067466,0.150608581874271,0.222041830999223,0.450269760609771,B4,bd,dir,diff,blh
B4_bd_ind_sun,:=,0,0,0,B4_bd_ind_sun,0,0,,,0,0,0,0,0,B4,bd,ind,sun,blh
B4_bd_ind_shade,:=,0,0,0,B4_bd_ind_shade,0,0,,,0,0,0,0,0,B4,bd,ind,shade,blh
B4_bd_ind_diff,:=,0,0,0,B4_bd_ind_diff,0,0,,,0,0,0,0,0,B4,bd,ind,diff,blh
B4_rdry_dir_sun,:=,0,0,0,B4_rdry_dir_sun,0,0,,,0,0,0,0,0,B4,rdry,dir,sun,blh
B4_rdry_dir_shade,:=,0,0,0,B4_rdry_dir_shade,0,0,,,0,0,0,0,0,B4,rdry,dir,shade,blh
B4_rdry_dir_diff,:=,0,0,0,B4_rdry_dir_diff,0,0,,,0,0,0,0,0,B4,rdry,dir,diff,blh
B4_rdry_ind_sun,:=,a*b,0,0,B4_rdry_ind_sun,0.157744117389228,0.0283022493360289,5.57355408456595,2.49594116485952e-08,0.102272728009139,0.213215506769317,0.157744117389228,0.379966705274468,0.766272923975529,B4,rdry,ind,sun,blh
B4_rdry_ind_shade,:=,A*B,0,0,B4_rdry_ind_shade,0.303627323329408,0.0397843147119424,7.6318349462047,2.30926389122033e-14,0.225651499344394,0.381603147314422,0.303627323329408,0.475449599839302,0.960418331829584,B4,rdry,ind,shade,blh
B4_rdry_ind_diff,:=,(A*B)-(a*b),0,0,B4_rdry_ind_diff,0.14588320594018,0.0488242666568339,2.9879241600398,0.00280879243609955,0.0501894017212054,0.241577010159154,0.14588320594018,0.0954828945648342,0.194145407854055,B4,rdry,ind,diff,blh
B4_h3h1_dir_sun,:=,0,0,0,B4_h3h1_dir_sun,0,0,,,0,0,0,0,0,B4,h3h1,dir,sun,blh
B4_h3h1_dir_shade,:=,0,0,0,B4_h3h1_dir_shade,0,0,,,0,0,0,0,0,B4,h3h1,dir,shade,blh
B4_h3h1_dir_diff,:=,0,0,0,B4_h3h1_dir_diff,0,0,,,0,0,0,0,0,B4,h3h1,dir,diff,blh
B4_h3h1_ind_sun,:=,(a*d)+(a*b*e),0,0,B4_h3h1_ind_sun,-0.0207765349837726,0.0332014213073699,-0.625772456890593,0.531464200106756,-0.0858501249817584,0.0442970550142132,-0.0207765349837726,-0.0319793811939077,-0.06449231891695,B4,h3h1,ind,sun,blh
B4_h3h1_ind_shade,:=,(A*D)+(A*B*E),0,0,B4_h3h1_ind_shade,-0.0448628559660291,0.0238822836065847,-1.8784994226289,0.0603128759727261,-0.0916712717035065,0.00194555977144825,-0.0448628559660291,-0.116963708740371,-0.236269186199751,B4,h3h1,ind,shade,blh
B4_h3h1_ind_diff,:=,((A*D)+(A*B*E))-((a*d)+(a*b*e)),0,0,B4_h3h1_ind_diff,-0.0240863209822566,0.0408986289146082,-0.588927346013142,0.555910012524893,-0.104246160671957,0.0560735187074439,-0.0240863209822566,-0.0849843275464638,-0.171776867282801,B4,h3h1,ind,diff,blh
B4_idry_dir_sun,:=,j,0,0,B4_idry_dir_sun,0.014628941573548,0.0093155018534153,1.57038684589866,0.116325140818133,-0.0036291065570621,0.0328869897041581,0.014628941573548,0.143364472780432,0.289120894611851,B4,idry,dir,sun,blh
