lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
B4_bd_dir_sun,:=,0,0,0,B4_bd_dir_sun,0,0,,,0,0,0,0,0,B4,bd,dir,sun,bur
B4_bd_dir_shade,:=,0,0,0,B4_bd_dir_shade,0,0,,,0,0,0,0,0,B4,bd,dir,shade,bur
B4_bd_dir_diff,:=,0,0,0,B4_bd_dir_diff,0,0,,,0,0,0,0,0,B4,bd,dir,diff,bur
B4_bd_ind_sun,:=,0,0,0,B4_bd_ind_sun,0,0,,,0,0,0,0,0,B4,bd,ind,sun,bur
B4_bd_ind_shade,:=,0,0,0,B4_bd_ind_shade,0,0,,,0,0,0,0,0,B4,bd,ind,shade,bur
B4_bd_ind_diff,:=,0,0,0,B4_bd_ind_diff,0,0,,,0,0,0,0,0,B4,bd,ind,diff,bur
B4_rdry_dir_sun,:=,0,0,0,B4_rdry_dir_sun,0,0,,,0,0,0,0,0,B4,rdry,dir,sun,bur
B4_rdry_dir_shade,:=,0,0,0,B4_rdry_dir_shade,0,0,,,0,0,0,0,0,B4,rdry,dir,shade,bur
B4_rdry_dir_diff,:=,0,0,0,B4_rdry_dir_diff,0,0,,,0,0,0,0,0,B4,rdry,dir,diff,bur
B4_rdry_ind_sun,:=,0,0,0,B4_rdry_ind_sun,0,0,,,0,0,0,0,0,B4,rdry,ind,sun,bur
B4_rdry_ind_shade,:=,0,0,0,B4_rdry_ind_shade,0,0,,,0,0,0,0,0,B4,rdry,ind,shade,bur
B4_rdry_ind_diff,:=,0,0,0,B4_rdry_ind_diff,0,0,,,0,0,0,0,0,B4,rdry,ind,diff,bur
B4_h3h1_dir_sun,:=,0,0,0,B4_h3h1_dir_sun,0,0,,,0,0,0,0,0,B4,h3h1,dir,sun,bur
B4_h3h1_dir_shade,:=,0,0,0,B4_h3h1_dir_shade,0,0,,,0,0,0,0,0,B4,h3h1,dir,shade,bur
B4_h3h1_dir_diff,:=,0,0,0,B4_h3h1_dir_diff,0,0,,,0,0,0,0,0,B4,h3h1,dir,diff,bur
B4_h3h1_ind_sun,:=,0,0,0,B4_h3h1_ind_sun,0,0,,,0,0,0,0,0,B4,h3h1,ind,sun,bur
B4_h3h1_ind_shade,:=,0,0,0,B4_h3h1_ind_shade,0,0,,,0,0,0,0,0,B4,h3h1,ind,shade,bur
B4_h3h1_ind_diff,:=,0,0,0,B4_h3h1_ind_diff,0,0,,,0,0,0,0,0,B4,h3h1,ind,diff,bur
B4_idry_dir_sun,:=,0,0,0,B4_idry_dir_sun,0,0,,,0,0,0,0,0,B4,idry,dir,sun,bur
B4_idry_dir_shade,:=,0,0,0,B4_idry_dir_shade,0,0,,,0,0,0,0,0,B4,idry,dir,shade,bur
B4_idry_dir_diff,:=,0,0,0,B4_idry_dir_diff,0,0,,,0,0,0,0,0,B4,idry,dir,diff,bur
B4_idry_ind_sun,:=,0,0,0,B4_idry_ind_sun,0,0,,,0,0,0,0,0,B4,idry,ind,sun,bur
B4_idry_ind_shade,:=,0,0,0,B4_idry_ind_shade,0,0,,,0,0,0,0,0,B4,idry,ind,shade,bur
B4_idry_ind_diff,:=,0,0,0,B4_idry_ind_diff,0,0,,,0,0,0,0,0,B4,idry,ind,diff,bur
B42_bd_dir_sun,:=,a,0,0,B42_bd_dir_sun,0.266214986912527,0.0622305043115223,4.27788573879893,1.88676820387368e-05,0.144245439722178,0.388184534102875,0.266214986912527,0.3407420988979,0.684795241627971,B42,bd,dir,sun,bur
B42_bd_dir_shade,:=,A,0,0,B42_bd_dir_shade,0.0559520750252913,0.0224476282362699,2.49256065880878,0.0126825665398165,0.011955532143858,0.0999486179067246,0.0559520750252913,0.188864424311429,0.379504221578427,B42,bd,dir,shade,bur
B42_bd_dir_diff,:=,A-a,0,0,B42_bd_dir_diff,-0.210262911887235,0.0661553601781456,-3.17832011375997,0.00148131104999427,-0.339925035220676,-0.0806007885537946,-0.210262911887235,-0.151877674586472,-0.305291020049544,B42,bd,dir,diff,bur
B42_bd_ind_sun,:=,0,0,0,B42_bd_ind_sun,0,0,,,0,0,0,0,0,B42,bd,ind,sun,bur
B42_bd_ind_shade,:=,0,0,0,B42_bd_ind_shade,0,0,,,0,0,0,0,0,B42,bd,ind,shade,bur
B42_bd_ind_diff,:=,0,0,0,B42_bd_ind_diff,0,0,,,0,0,0,0,0,B42,bd,ind,diff,bur
B42_rdry_dir_sun,:=,0,0,0,B42_rdry_dir_sun,0,0,,,0,0,0,0,0,B42,rdry,dir,sun,bur
B42_rdry_dir_shade,:=,0,0,0,B42_rdry_dir_shade,0,0,,,0,0,0,0,0,B42,rdry,dir,shade,bur
B42_rdry_dir_diff,:=,0,0,0,B42_rdry_dir_diff,0,0,,,0,0,0,0,0,B42,rdry,dir,diff,bur
B42_rdry_ind_sun,:=,a*d,0,0,B42_rdry_ind_sun,0.0292126129922758,0.00855928569271925,3.41297323643781,0.000642582524541302,0.0124367213011572,0.0459885046833945,0.0292126129922758,0.159784245667148,0.321121139635769,B42,rdry,ind,sun,bur
B42_rdry_ind_shade,:=,A*D,0,0,B42_rdry_ind_shade,0.0226545930334638,0.00934142056943869,2.4251764348969,0.0153009485153939,0.00434574515292238,0.0409634409140053,0.0226545930334638,0.125402628740273,0.251984073641581,B42,rdry,ind,shade,bur
B42_rdry_ind_diff,:=,(A*D)-(a*d),0,0,B42_rdry_ind_diff,-0.00655801995881199,0.0126697872841149,-0.517610896832836,0.604729777416597,-0.0313903467274608,0.0182743068098368,-0.00655801995881199,-0.0343816169268751,-0.0691370659941884,B42,rdry,ind,diff,bur
B42_h3h1_dir_sun,:=,0,0,0,B42_h3h1_dir_sun,0,0,,,0,0,0,0,0,B42,h3h1,dir,sun,bur
B42_h3h1_dir_shade,:=,0,0,0,B42_h3h1_dir_shade,0,0,,,0,0,0,0,0,B42,h3h1,dir,shade,bur
B42_h3h1_dir_diff,:=,0,0,0,B42_h3h1_dir_diff,0,0,,,0,0,0,0,0,B42,h3h1,dir,diff,bur
B42_h3h1_ind_sun,:=,a*d*f,0,0,B42_h3h1_ind_sun,-0.0113719788115941,0.00543379375085666,-2.09282489049226,0.0363647890387773,-0.022022018862692,-0.000721938760496244,-0.0113719788115941,-0.0346922996198407,-0.0697217096966856,B42,h3h1,ind,sun,bur
B42_h3h1_ind_shade,:=,A*D*F,0,0,B42_h3h1_ind_shade,0.00162106380298145,0.00211158236543885,0.767700957118262,0.442664867429528,-0.00251756158366859,0.00575968918963149,0.00162106380298145,0.00772927250010942,0.0155312021002151,B42,h3h1,ind,shade,bur
B42_h3h1_ind_diff,:=,(A*D*F)-(a*d*f),0,0,B42_h3h1_ind_diff,0.0129930426145756,0.00582965647468881,2.22878357772687,0.025828308134902,0.00156712588194474,0.0244189593472064,0.0129930426145756,0.0424215721199501,0.0852529117969007,B42,h3h1,ind,diff,bur
B42_idry_dir_sun,:=,0,0,0,B42_idry_dir_sun,0,0,,,0,0,0,0,0,B42,idry,dir,sun,bur
B42_idry_dir_shade,:=,0,0,0,B42_idry_dir_shade,0,0,,,0,0,0,0,0,B42,idry,dir,shade,bur
B42_idry_dir_diff,:=,0,0,0,B42_idry_dir_diff,0,0,,,0,0,0,0,0,B42,idry,dir,diff,bur
B42_idry_ind_sun,:=,(a*d*h)+(a*d*f*i),0,0,B42_idry_ind_sun,0.00295238866255011,0.00232960969353028,1.26733189287003,0.205036641298979,-0.00161356243480463,0.00751833975990485,0.00295238866255011,0.018900411624638,0.0379844814809347,B42,idry,ind,sun,bur
B42_idry_ind_shade,:=,(A*D*H)+(A*D*F*I),0,0,B42_idry_ind_shade,0.0124768923937266,0.00529366285618649,2.35694881458976,0.0184257864398882,0.00210150384930363,0.0228522809381495,0.0124768923937266,0.0785840684938801,0.157906846940422,B42,idry,ind,shade,bur
B42_idry_ind_diff,:=,((A*D*H)+(A*D*F*I))-((a*d*h)+(a*d*f*i)),0,0,B42_idry_ind_diff,0.00952450373117647,0.00578359298007378,1.64681431836425,0.0995962173896563,-0.00181113021100682,0.0208601376733598,0.00952450373117647,0.059683656869242,0.119922365459488,B42,idry,ind,diff,bur
B5_bd_dir_sun,:=,b,0,0,B5_bd_dir_sun,-0.0262534828745997,0.071596440240741,-0.36668698592169,0.713852515123111,-0.166579927167726,0.114072961418527,-0.0262534828745997,-0.0289900886016003,-0.0675328626580841,B5,bd,dir,sun,bur
B5_bd_dir_shade,:=,B,0,0,B5_bd_dir_shade,-0.0787943360205283,0.0256372557713255,-3.07343097573873,0.0021161263491738,-0.129042433994768,-0.0285462380462887,-0.0787943360205283,-0.23103466183849,-0.534435642337537,B5,bd,dir,shade,bur
B5_bd_dir_diff,:=,B-b,0,0,B5_bd_dir_diff,-0.0525408531459286,0.0760481369832973,-0.690889418599015,0.489635036287318,-0.20159246272456,0.0965107564327027,-0.0525408531459286,-0.202044573236889,-0.466902779679453,B5,bd,dir,diff,bur
B5_bd_ind_sun,:=,0,0,0,B5_bd_ind_sun,0,0,,,0,0,0,0,0,B5,bd,ind,sun,bur
B5_bd_ind_shade,:=,0,0,0,B5_bd_ind_shade,0,0,,,0,0,0,0,0,B5,bd,ind,shade,bur
B5_bd_ind_diff,:=,0,0,0,B5_bd_ind_diff,0,0,,,0,0,0,0,0,B5,bd,ind,diff,bur
