lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
B4_bd_dir_sun,:=,a,0,0,B4_bd_dir_sun,0.210679070613171,0.0776980525008991,2.71151031244616,0.00669774576328597,0.0583936860425066,0.362964455183836,0.210679070613171,0.221447656286653,0.55080161383408,B4,bd,dir,sun,ita
B4_bd_dir_shade,:=,A,0,0,B4_bd_dir_shade,0.794505242944958,0.0870151510514959,9.13065406821815,0,0.623958680774713,0.965051805115202,0.794505242944958,0.658178801499401,1.58895281864355,B4,bd,dir,shade,ita
B4_bd_dir_diff,:=,A-a,0,0,B4_bd_dir_diff,0.583826172331787,0.116656006596091,5.00468162220935,5.59544338196716e-07,0.355184600823182,0.812467743840391,0.583826172331787,0.436731145212748,1.03815120480947,B4,bd,dir,diff,ita
B4_bd_ind_sun,:=,0,0,0,B4_bd_ind_sun,0,0,,,0,0,0,0,0,B4,bd,ind,sun,ita
B4_bd_ind_shade,:=,0,0,0,B4_bd_ind_shade,0,0,,,0,0,0,0,0,B4,bd,ind,shade,ita
B4_bd_ind_diff,:=,0,0,0,B4_bd_ind_diff,0,0,,,0,0,0,0,0,B4,bd,ind,diff,ita
B4_rdry_dir_sun,:=,0,0,0,B4_rdry_dir_sun,0,0,,,0,0,0,0,0,B4,rdry,dir,sun,ita
B4_rdry_dir_shade,:=,0,0,0,B4_rdry_dir_shade,0,0,,,0,0,0,0,0,B4,rdry,dir,shade,ita
B4_rdry_dir_diff,:=,0,0,0,B4_rdry_dir_diff,0,0,,,0,0,0,0,0,B4,rdry,dir,diff,ita
B4_rdry_ind_sun,:=,a*c,0,0,B4_rdry_ind_sun,0.117352212184816,0.0455307099841534,2.57742987591582,0.00995380757602016,0.0281136604253367,0.206590763944294,0.117352212184816,0.13183904930429,0.32792020625025,B4,rdry,ind,sun,ita
B4_rdry_ind_shade,:=,A*C,0,0,B4_rdry_ind_shade,0.294691400838335,0.0489914321981183,6.01516199090937,1.79706893810305e-09,0.198669958178987,0.390712843497682,0.294691400838335,0.393505220661068,0.949986885168507,B4,rdry,ind,shade,ita
B4_rdry_ind_diff,:=,(A*C)-(a*c),0,0,B4_rdry_ind_diff,0.177339188653519,0.0668820303256705,2.65152220693655,0.00801298434689635,0.0462528180022892,0.308425559304749,0.177339188653519,0.261666171356778,0.622066678918257,B4,rdry,ind,diff,ita
B4_h3h1_dir_sun,:=,g,0,0,B4_h3h1_dir_sun,0.230968450199383,0.0621894375688256,3.71394981573468,0.000204049275063234,0.109079392345683,0.352857508053083,0.230968450199383,0.365715524351496,0.90963573241087,B4,h3h1,dir,sun,ita
B4_h3h1_dir_shade,:=,G,0,0,B4_h3h1_dir_shade,0.0186012260591946,0.0150412950450568,1.23667716133976,0.216206960861056,-0.0108791705099575,0.0480816226283467,0.0186012260591946,0.141121445314361,0.340690581028245,B4,h3h1,dir,shade,ita
B4_h3h1_dir_diff,:=,G-g,0,0,B4_h3h1_dir_diff,-0.212367224140189,0.0639825499785629,-3.31914286334854,0.000902942215553315,-0.337770717737206,-0.0869637305431713,-0.212367224140189,-0.224594079037135,-0.568945151382625,B4,h3h1,dir,diff,ita
B4_h3h1_ind_sun,:=,(a*e)+(a*c*f),0,0,B4_h3h1_ind_sun,-0.0230387639292328,0.016038621009939,-1.4364554106588,0.150872795630026,-0.0544738834704006,0.008396355611935,-0.0230387639292328,-0.0364795868159322,-0.0907348292916969,B4,h3h1,ind,sun,ita
B4_h3h1_ind_shade,:=,(A*E)+(A*C*F),0,0,B4_h3h1_ind_shade,-0.00398004375472257,0.00987428806146042,-0.403071464995718,0.686895651763354,-0.0233332927281588,0.0153732052187137,-0.00398004375472257,-0.0301952960140071,-0.0728964539756247,B4,h3h1,ind,shade,ita
B4_h3h1_ind_diff,:=,((A*E)+(A*C*F))-((a*e)+(a*c*f)),0,0,B4_h3h1_ind_diff,0.0190587201745102,0.0188345142921488,1.01190399066755,0.311583961022077,-0.0178562495044062,0.0559736898534267,0.0190587201745102,0.00628429080192511,0.0178383753160722,B4,h3h1,ind,diff,ita
B4_idry_dir_sun,:=,0,0,0,B4_idry_dir_sun,0,0,,,0,0,0,0,0,B4,idry,dir,sun,ita
B4_idry_dir_shade,:=,0,0,0,B4_idry_dir_shade,0,0,,,0,0,0,0,0,B4,idry,dir,shade,ita
B4_idry_dir_diff,:=,0,0,0,B4_idry_dir_diff,0,0,,,0,0,0,0,0,B4,idry,dir,diff,ita
B4_idry_ind_sun,:=,(a*e*j)+(a*c*i)+(a*c*f*j)+(g*j),0,0,B4_idry_ind_sun,0.057502231758935,0.0139134477992198,4.13285280461968,3.58288195674295e-05,0.0302323751716861,0.0847720883461838,0.057502231758935,0.204782343123501,0.509350367344333,B4,idry,ind,sun,ita
B4_idry_ind_shade,:=,(A*E*J)+(A*C*I)+(A*C*F*J)+(G*J),0,0,B4_idry_ind_shade,0.0879714831818624,0.0176210251582786,4.99241573016723,5.96287330845158e-07,0.0534349085009622,0.122508057862763,0.0879714831818624,0.283418812123093,0.68422003162921,B4,idry,ind,shade,ita
B4_idry_ind_diff,:=,((A*E*J)+(A*C*I)+(A*C*F*J)+(G*J))-((a*e*j)+(a*c*i)+(a*c*f*j)+(g*j)),0,0,B4_idry_ind_diff,0.0304692514229274,0.0224518274821962,1.35709449251242,0.174751188210231,-0.0135355218292837,0.0744740246751386,0.0304692514229274,0.0786364689995922,0.174869664284877,B4,idry,ind,diff,ita
B42_bd_dir_sun,:=,0,0,0,B42_bd_dir_sun,0,0,,,0,0,0,0,0,B42,bd,dir,sun,ita
B42_bd_dir_shade,:=,0,0,0,B42_bd_dir_shade,0,0,,,0,0,0,0,0,B42,bd,dir,shade,ita
B42_bd_dir_diff,:=,0,0,0,B42_bd_dir_diff,0,0,,,0,0,0,0,0,B42,bd,dir,diff,ita
B42_bd_ind_sun,:=,0,0,0,B42_bd_ind_sun,0,0,,,0,0,0,0,0,B42,bd,ind,sun,ita
B42_bd_ind_shade,:=,0,0,0,B42_bd_ind_shade,0,0,,,0,0,0,0,0,B42,bd,ind,shade,ita
B42_bd_ind_diff,:=,0,0,0,B42_bd_ind_diff,0,0,,,0,0,0,0,0,B42,bd,ind,diff,ita
B42_rdry_dir_sun,:=,d,0,0,B42_rdry_dir_sun,-0.178376074965064,0.0534687963030577,-3.33607799872734,0.00084969320713002,-0.283172990015766,-0.0735791599143629,-0.178376074965064,-0.236626888921337,-0.49844070430078,B42,rdry,dir,sun,ita
B42_rdry_dir_shade,:=,D,0,0,B42_rdry_dir_shade,-0.142033809254084,0.0457269816701723,-3.10612693132845,0.00189555329139246,-0.231657046449345,-0.0524105720588235,-0.142033809254084,-0.21622892182951,-0.457869675389433,B42,rdry,dir,shade,ita
B42_rdry_dir_diff,:=,D-d,0,0,B42_rdry_dir_diff,0.03634226571098,0.0703553056333504,0.516553305878224,0.605468018601301,-0.101551599451695,0.174236130873655,0.03634226571098,0.0203979670918268,0.0405710289113472,B42,rdry,dir,diff,ita
B42_rdry_ind_sun,:=,0,0,0,B42_rdry_ind_sun,0,0,,,0,0,0,0,0,B42,rdry,ind,sun,ita
B42_rdry_ind_shade,:=,0,0,0,B42_rdry_ind_shade,0,0,,,0,0,0,0,0,B42,rdry,ind,shade,ita
B42_rdry_ind_diff,:=,0,0,0,B42_rdry_ind_diff,0,0,,,0,0,0,0,0,B42,rdry,ind,diff,ita
B42_h3h1_dir_sun,:=,0,0,0,B42_h3h1_dir_sun,0,0,,,0,0,0,0,0,B42,h3h1,dir,sun,ita
B42_h3h1_dir_shade,:=,0,0,0,B42_h3h1_dir_shade,0,0,,,0,0,0,0,0,B42,h3h1,dir,shade,ita
B42_h3h1_dir_diff,:=,0,0,0,B42_h3h1_dir_diff,0,0,,,0,0,0,0,0,B42,h3h1,dir,diff,ita
B42_h3h1_ind_sun,:=,d*f,0,0,B42_h3h1_ind_sun,-0.0353302603276888,0.0168870749989356,-2.0921480084571,0.0364252777013825,-0.0684283191298294,-0.00223220152554826,-0.0353302603276888,-0.0660560015994127,-0.13914310461754,B42,h3h1,ind,sun,ita
B42_h3h1_ind_shade,:=,D*F,0,0,B42_h3h1_ind_shade,-0.00722897603056545,0.00358144798264206,-2.01845065615963,0.0435443482430269,-0.0142484850890475,-0.000209466972083382,-0.00722897603056545,-0.0625269496746565,-0.132402242532567,B42,h3h1,ind,shade,ita
B42_h3h1_ind_diff,:=,(D*F)-(d*f),0,0,B42_h3h1_ind_diff,0.0281012842971234,0.017262678577557,1.62786349585733,0.103553833237873,-0.00573294399157956,0.0619355125858263,0.0281012842971234,0.00352905192475614,0.00674086208497285,B42,h3h1,ind,diff,ita
B42_idry_dir_sun,:=,0,0,0,B42_idry_dir_sun,0,0,,,0,0,0,0,0,B42,idry,dir,sun,ita
B42_idry_dir_shade,:=,0,0,0,B42_idry_dir_shade,0,0,,,0,0,0,0,0,B42,idry,dir,shade,ita
B42_idry_dir_diff,:=,0,0,0,B42_idry_dir_diff,0,0,,,0,0,0,0,0,B42,idry,dir,diff,ita
B42_idry_ind_sun,:=,(d*i)+(d*f*j),0,0,B42_idry_ind_sun,-0.0410150732344719,0.0128497493840344,-3.19189674511727,0.00141341849797527,-0.066200119237545,-0.0158300272313989,-0.0410150732344719,-0.172474941831152,-0.363308379163681,B42,idry,ind,sun,ita
B42_idry_ind_shade,:=,(D*I)+(D*F*J),0,0,B42_idry_ind_shade,-0.0425304830000927,0.0142472708483619,-2.98516701568727,0.0028342352832833,-0.0704546207408694,-0.0146063452593159,-0.0425304830000927,-0.156216206359792,-0.330791381149849,B42,idry,ind,shade,ita
B42_idry_ind_diff,:=,((D*I)+(D*F*J))-((d*i)+(d*f*j)),0,0,B42_idry_ind_diff,-0.00151540976562073,0.0191859528264581,-0.078985379528867,0.93704425217436,-0.039119186314563,0.0360883667833215,-0.00151540976562073,0.0162587354713603,0.0325169980138321,B42,idry,ind,diff,ita
B5_bd_dir_sun,:=,b,0,0,B5_bd_dir_sun,0.38611129477757,0.0642621851833833,6.00837481134098,1.87392235062589e-09,0.260159726250295,0.512062863304845,0.38611129477757,0.490700888723027,1.00945349561342,B5,bd,dir,sun,ita
B5_bd_dir_shade,:=,B,0,0,B5_bd_dir_shade,0.210199325048328,0.0746726233658841,2.81494496340893,0.00487855880304289,0.0638436726200706,0.356554977476584,0.210199325048328,0.202913952107446,0.420383393285739,B5,bd,dir,shade,ita
B5_bd_dir_diff,:=,B-b,0,0,B5_bd_dir_diff,-0.175911969729242,0.0985171514249505,-1.78559740293801,0.0741644677154667,-0.369002038381624,0.0171780989231394,-0.175911969729242,-0.287786936615581,-0.589070102327679,B5,bd,dir,diff,ita
B5_bd_ind_sun,:=,0,0,0,B5_bd_ind_sun,0,0,,,0,0,0,0,0,B5,bd,ind,sun,ita
B5_bd_ind_shade,:=,0,0,0,B5_bd_ind_shade,0,0,,,0,0,0,0,0,B5,bd,ind,shade,ita
B5_bd_ind_diff,:=,0,0,0,B5_bd_ind_diff,0,0,,,0,0,0,0,0,B5,bd,ind,diff,ita
B5_rdry_dir_sun,:=,0,0,0,B5_rdry_dir_sun,0,0,,,0,0,0,0,0,B5,rdry,dir,sun,ita
B5_rdry_dir_shade,:=,0,0,0,B5_rdry_dir_shade,0,0,,,0,0,0,0,0,B5,rdry,dir,shade,ita
B5_rdry_dir_diff,:=,0,0,0,B5_rdry_dir_diff,0,0,,,0,0,0,0,0,B5,rdry,dir,diff,ita
B5_rdry_ind_sun,:=,b*c,0,0,B5_rdry_ind_sun,0.215071266736728,0.0441914845493764,4.86680338825057,1.13417759428636e-06,0.128457548596592,0.301684984876864,0.215071266736728,0.292139188767351,0.600978991650708,B5,rdry,ind,sun,ita
B5_rdry_ind_shade,:=,B*C,0,0,B5_rdry_ind_shade,0.077965418232055,0.0293634027929579,2.65519016245464,0.0079263711478168,0.0204142062943146,0.135516630169795,0.077965418232055,0.121316121572661,0.251334530313499,B5,rdry,ind,shade,ita
B5_rdry_ind_diff,:=,(B*C)-(b*c),0,0,B5_rdry_ind_diff,-0.137105848504673,0.0530574851482735,-2.58410002135456,0.00976334757123221,-0.241096608505558,-0.0331150885037881,-0.137105848504673,-0.17082306719469,-0.34964446133721,B5,rdry,ind,diff,ita
B5_h3h1_dir_sun,:=,h,0,0,B5_h3h1_dir_sun,0.218372912738108,0.0532454179130599,4.10125267670302,4.10919551887545e-05,0.114013811286727,0.322732014189489,0.218372912738108,0.418065324026389,0.860030035469123,B5,h3h1,dir,sun,ita
B5_h3h1_dir_shade,:=,H,0,0,B5_h3h1_dir_shade,0.00966933192274332,0.0106601545217915,0.907053636321808,0.364378434206378,-0.0112241870095998,0.0305628508550864,0.00966933192274332,0.0854833204098108,0.177098557935434,B5,h3h1,dir,shade,ita
