lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
B4_bd_dir_sun,:=,a,0,0,B4_bd_dir_sun,0.839656171069871,0.0934778899352226,8.98240398506778,0,0.656442873446035,1.02286946869371,0.839656171069871,0.481972407950463,0.975465393934499,B4,bd,dir,sun,sha
B4_bd_dir_shade,:=,A,0,0,B4_bd_dir_shade,0.924599951844212,0.0985470614777819,9.38231884319219,0,0.731451260565505,1.11774864312292,0.924599951844212,0.485843895552702,0.983300909239388,B4,bd,dir,shade,sha
B4_bd_dir_diff,:=,A-a,0,0,B4_bd_dir_diff,0.0849437807743415,0.135829449062592,0.625370870312506,0.531727675989403,-0.181277047428257,0.35116460897694,0.0849437807743415,0.00387148760223849,0.00783551530488924,B4,bd,dir,diff,sha
B4_bd_ind_sun,:=,0,0,0,B4_bd_ind_sun,0,0,,,0,0,0,0,0,B4,bd,ind,sun,sha
B4_bd_ind_shade,:=,0,0,0,B4_bd_ind_shade,0,0,,,0,0,0,0,0,B4,bd,ind,shade,sha
B4_bd_ind_diff,:=,0,0,0,B4_bd_ind_diff,0,0,,,0,0,0,0,0,B4,bd,ind,diff,sha
B4_rdry_dir_sun,:=,0,0,0,B4_rdry_dir_sun,0,0,,,0,0,0,0,0,B4,rdry,dir,sun,sha
B4_rdry_dir_shade,:=,0,0,0,B4_rdry_dir_shade,0,0,,,0,0,0,0,0,B4,rdry,dir,shade,sha
B4_rdry_dir_diff,:=,0,0,0,B4_rdry_dir_diff,0,0,,,0,0,0,0,0,B4,rdry,dir,diff,sha
B4_rdry_ind_sun,:=,(a*e),0,0,B4_rdry_ind_sun,0.617065208917707,0.07523284271001,8.20207221593668,2.22044604925031e-16,0.469611546751521,0.764518871083894,0.617065208917707,0.46633701051033,0.943820866422813,B4,rdry,ind,sun,sha
B4_rdry_ind_shade,:=,(A*E),0,0,B4_rdry_ind_shade,0.780351837862482,0.0924799166681421,8.43806813389248,0,0.599094531899658,0.961609143825305,0.780351837862482,0.45757011212422,0.926077514631875,B4,rdry,ind,shade,sha
