lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
BA_bd_dir_sun,:=,a,0,0,BA_bd_dir_sun,0.190669757945315,0.129736851905118,1.46966536605004,0.14165240723824,-0.0636097992563225,0.444949315146952,0.190669757945315,0.0952754300904638,0.294295134366081,BA,bd,dir,sun,blh
BA_bd_dir_shade,:=,A,0,0,BA_bd_dir_shade,0.630812589309359,0.0889794608123476,7.08941797972575,1.34670052887032e-12,0.456416050753365,0.805209127865353,0.630812589309359,0.367488682094523,0.829195823071141,BA,bd,dir,shade,blh
BA_bd_dir_diff,:=,A-a,0,0,BA_bd_dir_diff,0.440142831364045,0.157318133693184,2.7977882843592,0.00514538272819531,0.131804955210347,0.748480707517742,0.440142831364045,0.27221325200406,0.534900688705059,BA,bd,dir,diff,blh
BA_bd_ind_sun,:=,0,0,0,BA_bd_ind_sun,0,0,,,0,0,0,0,0,BA,bd,ind,sun,blh
BA_bd_ind_shade,:=,0,0,0,BA_bd_ind_shade,0,0,,,0,0,0,0,0,BA,bd,ind,shade,blh
BA_bd_ind_diff,:=,0,0,0,BA_bd_ind_diff,0,0,,,0,0,0,0,0,BA,bd,ind,diff,blh
BA_rdry_dir_sun,:=,e,0,0,BA_rdry_dir_sun,0.424633917333873,0.140744387504455,3.01705755279537,0.00255241346475255,0.148779986798993,0.700487847868753,0.424633917333873,0.158285727318824,0.488926886452217,BA,rdry,dir,sun,blh
BA_rdry_dir_shade,:=,E,0,0,BA_rdry_dir_shade,0.479445616765549,0.133754366832444,3.58452309348641,0.000337694685805356,0.217291874999,0.741599358532099,0.479445616765549,0.187065243343448,0.422091144516597,BA,rdry,dir,shade,blh
BA_rdry_dir_diff,:=,E-e,0,0,BA_rdry_dir_diff,0.0548116994316759,0.19416285242227,0.282297559743664,0.777715356560973,-0.325740498451539,0.43536389731489,0.0548116994316759,0.0287795160246234,-0.0668357419356195,BA,rdry,dir,diff,blh
BA_rdry_ind_sun,:=,a*c,0,0,BA_rdry_ind_sun,0.187432184639413,0.127984603058988,1.46449010396215,0.143060085009497,-0.0634130279318593,0.438277397210685,0.187432184639413,0.0698668628612606,0.215810915510622,BA,rdry,ind,sun,blh
BA_rdry_ind_shade,:=,A*C,0,0,BA_rdry_ind_shade,0.709428538318158,0.10538421511997,6.73182921664826,1.67543756646182e-11,0.502879272143996,0.91597780449232,0.709428538318158,0.276797654446319,0.624561979962531,BA,rdry,ind,shade,blh
BA_rdry_ind_diff,:=,(A*C)-(a*c),0,0,BA_rdry_ind_diff,0.521996353678745,0.165788695080874,3.14856422160817,0.00164074666677294,0.19705648227634,0.84693622508115,0.521996353678745,0.206930791585058,0.408751064451908,BA,rdry,ind,diff,blh
