lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
FRIFLC_bd_dir_sun,:=,a,0,0,FRIFLC_bd_dir_sun,0.134629649287232,0.103440164436368,1.30152199603328,0.19307984045917,-0.0681093475629503,0.337368646137415,0.134629649287232,0.0838916848205635,0.207798293652128,FRIFLC,bd,dir,sun,blh
FRIFLC_bd_dir_shade,:=,A,0,0,FRIFLC_bd_dir_shade,0.621950151347415,0.0778437702064814,7.9897228731045,1.33226762955019e-15,0.469379165321899,0.77452113737293,0.621950151347415,0.401582012082781,0.817546263062336,FRIFLC,bd,dir,shade,blh
FRIFLC_bd_dir_diff,:=,A-a,0,0,FRIFLC_bd_dir_diff,0.487320502060183,0.129458565489435,3.76429709550545,0.000167018219716431,0.23358637621067,0.741054627909696,0.487320502060183,0.317690327262218,0.609747969410208,FRIFLC,bd,dir,diff,blh
FRIFLC_bd_ind_sun,:=,0,0,0,FRIFLC_bd_ind_sun,0,0,,,0,0,0,0,0,FRIFLC,bd,ind,sun,blh
FRIFLC_bd_ind_shade,:=,0,0,0,FRIFLC_bd_ind_shade,0,0,,,0,0,0,0,0,FRIFLC,bd,ind,shade,blh
FRIFLC_bd_ind_diff,:=,0,0,0,FRIFLC_bd_ind_diff,0,0,,,0,0,0,0,0,FRIFLC,bd,ind,diff,blh
FRIFLC_rdry_dir_sun,:=,c,0,0,FRIFLC_rdry_dir_sun,0.159317209334901,0.0936132188274997,1.70186658818424,0.0887803803966816,-0.0241613280438651,0.342795746713668,0.159317209334901,0.074413200663606,0.18432024766417,FRIFLC,rdry,dir,sun,blh
FRIFLC_rdry_dir_shade,:=,C,0,0,FRIFLC_rdry_dir_shade,0.25403855001396,0.0822155072156898,3.08991039059697,0.00200216891604432,0.0928991169005152,0.415177983127405,0.25403855001396,0.109876515366021,0.223688142977092,FRIFLC,rdry,dir,shade,blh
FRIFLC_rdry_dir_diff,:=,C-c,0,0,FRIFLC_rdry_dir_diff,0.0947213406790589,0.124590627119292,0.760260565896067,0.447098848385283,-0.149471801286013,0.338914482644131,0.0947213406790589,0.0354633147024146,0.0393678953129223,FRIFLC,rdry,dir,diff,blh
FRIFLC_rdry_ind_sun,:=,a*b,0,0,FRIFLC_rdry_ind_sun,0.13096150547133,0.100927821137195,1.29757587150632,0.194433117844937,-0.0668533889956723,0.328776399938333,0.13096150547133,0.061168939793318,0.151514436034376,FRIFLC,rdry,ind,sun,blh
