lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
B4_bd_dir_sun,:=,a,0,0,B4_bd_dir_sun,0.145711181404432,0.10596729908892,1.37505799107102,0.169113466764862,-0.0619809083488355,0.3534032711577,0.145711181404432,0.0885953486004213,0.224902465030508,B4,bd,dir,sun,blh
B4_bd_dir_shade,:=,A,0,0,B4_bd_dir_shade,0.634655953064588,0.0793034869130123,8.00287575955821,1.11022302462516e-15,0.47922397486664,0.790087931262535,0.634655953064588,0.402136272368354,0.83424804825445,B4,bd,dir,shade,blh
B4_bd_dir_diff,:=,A-a,0,0,B4_bd_dir_diff,0.488944771660156,0.13235600293437,3.69416392774118,0.000220611453703112,0.229531772771112,0.748357770549199,0.488944771660156,0.313540923767933,0.609345583223942,B4,bd,dir,diff,blh
B4_bd_ind_sun,:=,0,0,0,B4_bd_ind_sun,0,0,,,0,0,0,0,0,B4,bd,ind,sun,blh
B4_bd_ind_shade,:=,0,0,0,B4_bd_ind_shade,0,0,,,0,0,0,0,0,B4,bd,ind,shade,blh
B4_bd_ind_diff,:=,0,0,0,B4_bd_ind_diff,0,0,,,0,0,0,0,0,B4,bd,ind,diff,blh
B4_rdry_dir_sun,:=,c,0,0,B4_rdry_dir_sun,0.323754203395658,0.0992424369099781,3.26225567888193,0.00110529404030557,0.129242601314112,0.518265805477204,0.323754203395658,0.146560859598019,0.372049990448687,B4,rdry,dir,sun,blh
B4_rdry_dir_shade,:=,C,0,0,B4_rdry_dir_shade,0.223847744541245,0.0940637414001145,2.3797452792046,0.0173246089640835,0.0394861991459315,0.408209289936559,0.223847744541245,0.0950143391012526,0.197111109834926,B4,rdry,dir,shade,blh
B4_rdry_dir_diff,:=,C-c,0,0,B4_rdry_dir_diff,-0.0999064588544128,0.136737151974211,-0.730646041781352,0.464995381580392,-0.367906352072447,0.168093434363622,-0.0999064588544128,-0.0515465204967667,-0.17493888061376,B4,rdry,dir,diff,blh
B4_rdry_ind_sun,:=,a*b,0,0,B4_rdry_ind_sun,0.143333917399671,0.104561438715075,1.37081049343869,0.170434038945613,-0.0616027366535672,0.34827057145291,0.143333917399671,0.0648860830942621,0.164715645511942,B4,rdry,ind,sun,blh
B4_rdry_ind_shade,:=,A*B,0,0,B4_rdry_ind_shade,0.712973722640776,0.095215900129678,7.4879691487425,6.99440505513849e-14,0.526353987631045,0.899593457650507,0.712973722640776,0.302628588874574,0.627815312773758,B4,rdry,ind,shade,blh
B4_rdry_ind_diff,:=,(A*B)-(a*b),0,0,B4_rdry_ind_diff,0.569639805241105,0.141418393795401,4.0280460692068,5.62423246541766e-05,0.292464846650616,0.846814763831594,0.569639805241105,0.237742505780312,0.463099667261816,B4,rdry,ind,diff,blh
B4_h3h1_dir_sun,:=,0,0,0,B4_h3h1_dir_sun,0,0,,,0,0,0,0,0,B4,h3h1,dir,sun,blh
B4_h3h1_dir_shade,:=,0,0,0,B4_h3h1_dir_shade,0,0,,,0,0,0,0,0,B4,h3h1,dir,shade,blh
B4_h3h1_dir_diff,:=,0,0,0,B4_h3h1_dir_diff,0,0,,,0,0,0,0,0,B4,h3h1,dir,diff,blh
B4_h3h1_ind_sun,:=,a*e,0,0,B4_h3h1_ind_sun,0.00777056966605204,0.020478300459456,0.379453836095266,0.704350878909516,-0.0323661616990718,0.0479073010311759,0.00777056966605204,0.00223070572485499,0.00566272636434063,B4,h3h1,ind,sun,blh
B4_h3h1_ind_shade,:=,A*E,0,0,B4_h3h1_ind_shade,-0.12703244022976,0.0458499453425651,-2.7706126862452,0.0055950936328093,-0.216896681794318,-0.0371681986652023,-0.12703244022976,-0.064361585901837,-0.133520726953936,B4,h3h1,ind,shade,blh
B4_h3h1_ind_diff,:=,(A*E)-(a*e),0,0,B4_h3h1_ind_diff,-0.134803009895812,0.0502153191528638,-2.68449971383134,0.00726384454997286,-0.233223226907609,-0.0363827928840147,-0.134803009895812,-0.066592291626692,-0.139183453318277,B4,h3h1,ind,diff,blh
B4_idry_dir_sun,:=,j,0,0,B4_idry_dir_sun,-0.100410494535966,0.111486211222606,-0.900653932309841,0.367772349620887,-0.3189194533051,0.118098464233168,-0.100410494535966,-0.0505156903458857,-0.12823588891498,B4,idry,dir,sun,blh
B4_idry_dir_shade,:=,J,0,0,B4_idry_dir_shade,-0.258842399557882,0.0682351476622728,-3.79338813537874,0.000148605594326057,-0.392580831455709,-0.125103967660055,-0.258842399557882,-0.159560451943117,-0.331014645428982,B4,idry,dir,shade,blh
B4_idry_dir_diff,:=,J-j,0,0,B4_idry_dir_diff,-0.158431905021916,0.130710407654723,-1.21208332117226,0.225480487561304,-0.414619596429721,0.0977557863858891,-0.158431905021916,-0.109044761597231,-0.202778756514002,B4,idry,dir,diff,blh
B4_idry_ind_sun,:=,(a*g)+(a*b*h)+(c*h),0,0,B4_idry_ind_sun,0.207585298629386,0.0665925492282971,3.11724511277873,0.00182549725561509,0.0770663005032135,0.338104296755559,0.207585298629386,0.104434448952586,0.265110588474255,B4,idry,ind,sun,blh
B4_idry_ind_shade,:=,(A*G)+(A*B*H)+(C*H),0,0,B4_idry_ind_shade,0.422373159368618,0.0597162260677098,7.07300489635274,1.51612056242811e-12,0.305331506983255,0.539414811753981,0.422373159368618,0.260367128077208,0.54014219396022,B4,idry,ind,shade,blh
B4_idry_ind_diff,:=,((A*G)+(A*B*H)+(C*H))-((a*g)+(a*b*h)+(c*h)),0,0,B4_idry_ind_diff,0.214787860739232,0.0894460466901304,2.40131194935116,0.0163364032997253,0.0394768306670883,0.390098890811376,0.214787860739232,0.155932679124622,0.275031605485965,B4,idry,ind,diff,blh
B42_bd_dir_sun,:=,0,0,0,B42_bd_dir_sun,0,0,,,0,0,0,0,0,B42,bd,dir,sun,blh
B42_bd_dir_shade,:=,0,0,0,B42_bd_dir_shade,0,0,,,0,0,0,0,0,B42,bd,dir,shade,blh
