lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
B4_bd_dir_sun,:=,a,0,0,B4_bd_dir_sun,0.374385072971168,0.0535393562619742,6.99270777816713,2.69628763760466e-12,0.26944986294224,0.479320283000097,0.374385072971168,0.521353457328467,1.06316869693869,B4,bd,dir,sun,blh
B4_bd_dir_shade,:=,A,0,0,B4_bd_dir_shade,0.524990459562919,0.0405991607545814,12.9310667956031,0,0.445417566681388,0.60456335244445,0.524990459562919,0.741388483810755,1.51360139065915,B4,bd,dir,shade,blh
B4_bd_dir_diff,:=,A-a,0,0,B4_bd_dir_diff,0.150605386591751,0.0671919230482574,2.24142098870404,0.024998818224282,0.0189116373651796,0.282299135818322,0.150605386591751,0.220035026482288,0.450432693720464,B4,bd,dir,diff,blh
B4_bd_ind_sun,:=,0,0,0,B4_bd_ind_sun,0,0,,,0,0,0,0,0,B4,bd,ind,sun,blh
B4_bd_ind_shade,:=,0,0,0,B4_bd_ind_shade,0,0,,,0,0,0,0,0,B4,bd,ind,shade,blh
B4_bd_ind_diff,:=,0,0,0,B4_bd_ind_diff,0,0,,,0,0,0,0,0,B4,bd,ind,diff,blh
B4_rdry_dir_sun,:=,0,0,0,B4_rdry_dir_sun,0,0,,,0,0,0,0,0,B4,rdry,dir,sun,blh
B4_rdry_dir_shade,:=,0,0,0,B4_rdry_dir_shade,0,0,,,0,0,0,0,0,B4,rdry,dir,shade,blh
B4_rdry_dir_diff,:=,0,0,0,B4_rdry_dir_diff,0,0,,,0,0,0,0,0,B4,rdry,dir,diff,blh
B4_rdry_ind_sun,:=,a*b,0,0,B4_rdry_ind_sun,0.159436428974783,0.028617542272131,5.57128307730496,2.52870071548728e-08,0.103347076795354,0.215525781154212,0.159436428974783,0.379929426963054,0.774770106757891,B4,rdry,ind,sun,blh
B4_rdry_ind_shade,:=,A*B,0,0,B4_rdry_ind_shade,0.305924379754416,0.0401798395772355,7.61387758072936,2.66453525910038e-14,0.227173341278437,0.384675418230394,0.305924379754416,0.473921088301606,0.967546210900022,B4,rdry,ind,shade,blh
B4_rdry_ind_diff,:=,(A*B)-(a*b),0,0,B4_rdry_ind_diff,0.146487950779633,0.0493293344182707,2.96959106598803,0.00298196413191199,0.04980423193849,0.243171669620775,0.146487950779633,0.0939916613385519,0.192776104142131,B4,rdry,ind,diff,blh
B4_h3h1_dir_sun,:=,0,0,0,B4_h3h1_dir_sun,0,0,,,0,0,0,0,0,B4,h3h1,dir,sun,blh
B4_h3h1_dir_shade,:=,0,0,0,B4_h3h1_dir_shade,0,0,,,0,0,0,0,0,B4,h3h1,dir,shade,blh
B4_h3h1_dir_diff,:=,0,0,0,B4_h3h1_dir_diff,0,0,,,0,0,0,0,0,B4,h3h1,dir,diff,blh
B4_h3h1_ind_sun,:=,(a*d)+(a*b*e),0,0,B4_h3h1_ind_sun,-0.020856789090952,0.0335508111351807,-0.62164783459086,0.534173459993851,-0.0866151705680115,0.0449015923861076,-0.020856789090952,-0.0317451979959975,-0.0647363133648533,B4,h3h1,ind,sun,blh
B4_h3h1_ind_shade,:=,(A*D)+(A*B*E),0,0,B4_h3h1_ind_shade,-0.0451813309358383,0.0240661974690768,-1.87737722146977,0.0604664111894233,-0.0923502112200579,0.00198754934838127,-0.0451813309358383,-0.116546250813048,-0.237938100144226,B4,h3h1,ind,shade,blh
