lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
B4_bd_dir_sun,:=,0,0,0,B4_bd_dir_sun,0,0,,,0,0,0,0,0,B4,bd,dir,sun,bur
B4_bd_dir_shade,:=,0,0,0,B4_bd_dir_shade,0,0,,,0,0,0,0,0,B4,bd,dir,shade,bur
B4_bd_dir_diff,:=,0,0,0,B4_bd_dir_diff,0,0,,,0,0,0,0,0,B4,bd,dir,diff,bur
B4_bd_ind_sun,:=,0,0,0,B4_bd_ind_sun,0,0,,,0,0,0,0,0,B4,bd,ind,sun,bur
B4_bd_ind_shade,:=,0,0,0,B4_bd_ind_shade,0,0,,,0,0,0,0,0,B4,bd,ind,shade,bur
B4_bd_ind_diff,:=,0,0,0,B4_bd_ind_diff,0,0,,,0,0,0,0,0,B4,bd,ind,diff,bur
B4_rdry_dir_sun,:=,0,0,0,B4_rdry_dir_sun,0,0,,,0,0,0,0,0,B4,rdry,dir,sun,bur
B4_rdry_dir_shade,:=,0,0,0,B4_rdry_dir_shade,0,0,,,0,0,0,0,0,B4,rdry,dir,shade,bur
B4_rdry_dir_diff,:=,0,0,0,B4_rdry_dir_diff,0,0,,,0,0,0,0,0,B4,rdry,dir,diff,bur
B4_rdry_ind_sun,:=,0,0,0,B4_rdry_ind_sun,0,0,,,0,0,0,0,0,B4,rdry,ind,sun,bur
B4_rdry_ind_shade,:=,0,0,0,B4_rdry_ind_shade,0,0,,,0,0,0,0,0,B4,rdry,ind,shade,bur
B4_rdry_ind_diff,:=,0,0,0,B4_rdry_ind_diff,0,0,,,0,0,0,0,0,B4,rdry,ind,diff,bur
B4_h3h1_dir_sun,:=,0,0,0,B4_h3h1_dir_sun,0,0,,,0,0,0,0,0,B4,h3h1,dir,sun,bur
B4_h3h1_dir_shade,:=,0,0,0,B4_h3h1_dir_shade,0,0,,,0,0,0,0,0,B4,h3h1,dir,shade,bur
B4_h3h1_dir_diff,:=,0,0,0,B4_h3h1_dir_diff,0,0,,,0,0,0,0,0,B4,h3h1,dir,diff,bur
B4_h3h1_ind_sun,:=,0,0,0,B4_h3h1_ind_sun,0,0,,,0,0,0,0,0,B4,h3h1,ind,sun,bur
B4_h3h1_ind_shade,:=,0,0,0,B4_h3h1_ind_shade,0,0,,,0,0,0,0,0,B4,h3h1,ind,shade,bur
B4_h3h1_ind_diff,:=,0,0,0,B4_h3h1_ind_diff,0,0,,,0,0,0,0,0,B4,h3h1,ind,diff,bur
B4_idry_dir_sun,:=,0,0,0,B4_idry_dir_sun,0,0,,,0,0,0,0,0,B4,idry,dir,sun,bur
B4_idry_dir_shade,:=,0,0,0,B4_idry_dir_shade,0,0,,,0,0,0,0,0,B4,idry,dir,shade,bur
B4_idry_dir_diff,:=,0,0,0,B4_idry_dir_diff,0,0,,,0,0,0,0,0,B4,idry,dir,diff,bur
B4_idry_ind_sun,:=,0,0,0,B4_idry_ind_sun,0,0,,,0,0,0,0,0,B4,idry,ind,sun,bur
B4_idry_ind_shade,:=,0,0,0,B4_idry_ind_shade,0,0,,,0,0,0,0,0,B4,idry,ind,shade,bur
B4_idry_ind_diff,:=,0,0,0,B4_idry_ind_diff,0,0,,,0,0,0,0,0,B4,idry,ind,diff,bur
B42_bd_dir_sun,:=,a,0,0,B42_bd_dir_sun,0.253948960336962,0.0596144858931465,4.25985323084296,2.04561183072549e-05,0.137106715029524,0.370791205644401,0.253948960336962,0.362205223775237,0.737780882706437,B42,bd,dir,sun,bur
B42_bd_dir_shade,:=,A,0,0,B42_bd_dir_shade,0.0723732363301445,0.0237177392051427,3.05143908127853,0.00227747258005562,0.0258873216933511,0.118859150966938,0.0723732363301445,0.242541374391597,0.490119859144533,B42,bd,dir,shade,bur
B42_bd_dir_diff,:=,A-a,0,0,B42_bd_dir_diff,-0.181575724006818,0.0641593179616751,-2.83007565814961,0.00465369979005459,-0.307325676484355,-0.0558257715292809,-0.181575724006818,-0.11966384938364,-0.247661023561904,B42,bd,dir,diff,bur
B42_bd_ind_sun,:=,0,0,0,B42_bd_ind_sun,0,0,,,0,0,0,0,0,B42,bd,ind,sun,bur
B42_bd_ind_shade,:=,0,0,0,B42_bd_ind_shade,0,0,,,0,0,0,0,0,B42,bd,ind,shade,bur
B42_bd_ind_diff,:=,0,0,0,B42_bd_ind_diff,0,0,,,0,0,0,0,0,B42,bd,ind,diff,bur
B42_rdry_dir_sun,:=,0,0,0,B42_rdry_dir_sun,0,0,,,0,0,0,0,0,B42,rdry,dir,sun,bur
B42_rdry_dir_shade,:=,0,0,0,B42_rdry_dir_shade,0,0,,,0,0,0,0,0,B42,rdry,dir,shade,bur
B42_rdry_dir_diff,:=,0,0,0,B42_rdry_dir_diff,0,0,,,0,0,0,0,0,B42,rdry,dir,diff,bur
B42_rdry_ind_sun,:=,a*c,0,0,B42_rdry_ind_sun,0.0289919218183692,0.0085278592298303,3.39967171561134,0.000674668019650104,0.0122776248626743,0.045706218774064,0.0289919218183692,0.155552060032077,0.316846165168743,B42,rdry,ind,sun,bur
B42_rdry_ind_shade,:=,A*C,0,0,B42_rdry_ind_shade,0.0287058611050005,0.00980037809307965,2.92905649479693,0.00339992621048024,0.00949747300768908,0.047914249202312,0.0287058611050005,0.160199884258252,0.32372680704305,B42,rdry,ind,shade,bur
B42_rdry_ind_diff,:=,(A*C)-(a*c),0,0,B42_rdry_ind_diff,-0.000286060713368654,0.0129912198738655,-0.0220195421327695,0.982432366948903,-0.025748383781386,0.0251762623546487,-0.000286060713368654,0.00464782422617496,0.0068806418743072,B42,rdry,ind,diff,bur
B42_h3h1_dir_sun,:=,0,0,0,B42_h3h1_dir_sun,0,0,,,0,0,0,0,0,B42,h3h1,dir,sun,bur
B42_h3h1_dir_shade,:=,0,0,0,B42_h3h1_dir_shade,0,0,,,0,0,0,0,0,B42,h3h1,dir,shade,bur
B42_h3h1_dir_diff,:=,0,0,0,B42_h3h1_dir_diff,0,0,,,0,0,0,0,0,B42,h3h1,dir,diff,bur
B42_h3h1_ind_sun,:=,0,0,0,B42_h3h1_ind_sun,0,0,,,0,0,0,0,0,B42,h3h1,ind,sun,bur
B42_h3h1_ind_shade,:=,0,0,0,B42_h3h1_ind_shade,0,0,,,0,0,0,0,0,B42,h3h1,ind,shade,bur
B42_h3h1_ind_diff,:=,0,0,0,B42_h3h1_ind_diff,0,0,,,0,0,0,0,0,B42,h3h1,ind,diff,bur
B42_idry_dir_sun,:=,0,0,0,B42_idry_dir_sun,0,0,,,0,0,0,0,0,B42,idry,dir,sun,bur
B42_idry_dir_shade,:=,0,0,0,B42_idry_dir_shade,0,0,,,0,0,0,0,0,B42,idry,dir,shade,bur
B42_idry_dir_diff,:=,0,0,0,B42_idry_dir_diff,0,0,,,0,0,0,0,0,B42,idry,dir,diff,bur
B42_idry_ind_sun,:=,(a*c*f),0,0,B42_idry_ind_sun,0.0059492417194237,0.00262848033351088,2.26337691919393,0.0236124643054501,0.000797514931670547,0.0111009685071769,0.0059492417194237,0.0356626893161594,0.0726418303113396,B42,idry,ind,sun,bur
B42_idry_ind_shade,:=,(A*C*F),0,0,B42_idry_ind_shade,0.0153150144293792,0.00542439482715277,2.82335908749068,0.00475233114560081,0.00468339593023442,0.025946632928524,0.0153150144293792,0.0989658263189794,0.199986979447334,B42,idry,ind,shade,bur
B42_idry_ind_diff,:=,((A*C*F))-((a*c*f)),0,0,B42_idry_ind_diff,0.00936577270995552,0.00602768347746423,1.55379305250043,0.12023378828889,-0.00244826981608151,0.0211798152359925,0.00936577270995552,0.06330313700282,0.127345149135995,B42,idry,ind,diff,bur
B5_bd_dir_sun,:=,b,0,0,B5_bd_dir_sun,-0.00622890519893395,0.0736795085723718,-0.0845405367058821,0.932626674550959,-0.150638088399393,0.138180278001525,-0.00622890519893395,-0.00718828146329662,-0.0180964205164155,B5,bd,dir,sun,bur
B5_bd_dir_shade,:=,B,0,0,B5_bd_dir_shade,-0.0792292259469002,0.0273415065056497,-2.89776373260664,0.00375833600082087,-0.132817593981041,-0.0256408579127591,-0.0792292259469002,-0.23032660316917,-0.536549407353932,B5,bd,dir,shade,bur
B5_bd_dir_diff,:=,B-b,0,0,B5_bd_dir_diff,-0.0730003207479662,0.0785889811708022,-0.928887480921915,0.352947401555752,-0.227031893424435,0.0810312519285025,-0.0730003207479662,-0.223138321705874,-0.518452986837516,B5,bd,dir,diff,bur
B5_bd_ind_sun,:=,0,0,0,B5_bd_ind_sun,0,0,,,0,0,0,0,0,B5,bd,ind,sun,bur
B5_bd_ind_shade,:=,0,0,0,B5_bd_ind_shade,0,0,,,0,0,0,0,0,B5,bd,ind,shade,bur
B5_bd_ind_diff,:=,0,0,0,B5_bd_ind_diff,0,0,,,0,0,0,0,0,B5,bd,ind,diff,bur
B5_rdry_dir_sun,:=,d,0,0,B5_rdry_dir_sun,0.075930934846102,0.0175340227203971,4.33049141414495,1.48776947332951e-05,0.0415648818100167,0.110296987882187,0.075930934846102,0.329626858526153,0.829832036468233,B5,rdry,dir,sun,bur
B5_rdry_dir_shade,:=,D,0,0,B5_rdry_dir_shade,0.0773510051417305,0.0130595990594946,5.92292342125884,3.16268145006404e-09,0.0517546613325879,0.102947348950873,0.0773510051417305,0.374462583582224,0.87231641735147,B5,rdry,dir,shade,bur
