lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
B4_bd_dir_sun,:=,a,0,0,B4_bd_dir_sun,0.208336334565703,0.0768336759100582,2.71152371792783,0.00669747494031414,0.0577450969821658,0.358927572149239,0.208336334565703,0.22144865382978,0.544676504098097,B4,bd,dir,sun,ita
B4_bd_dir_shade,:=,A,0,0,B4_bd_dir_shade,0.785666244794764,0.0860471552602797,9.13064752016778,0,0.61701691951249,0.954315570077039,0.785666244794764,0.658178509712256,1.57127532385767,B4,bd,dir,shade,ita
B4_bd_dir_diff,:=,A-a,0,0,B4_bd_dir_diff,0.577329910229062,0.115358253637261,5.00466929782461,5.59580136894056e-07,0.351231887780595,0.803427932677529,0.577329910229062,0.436729855882476,1.02659881975958,B4,bd,dir,diff,ita
B4_bd_ind_sun,:=,0,0,0,B4_bd_ind_sun,0,0,,,0,0,0,0,0,B4,bd,ind,sun,ita
B4_bd_ind_shade,:=,0,0,0,B4_bd_ind_shade,0,0,,,0,0,0,0,0,B4,bd,ind,shade,ita
B4_bd_ind_diff,:=,0,0,0,B4_bd_ind_diff,0,0,,,0,0,0,0,0,B4,bd,ind,diff,ita
B4_rdry_dir_sun,:=,0,0,0,B4_rdry_dir_sun,0,0,,,0,0,0,0,0,B4,rdry,dir,sun,ita
B4_rdry_dir_shade,:=,0,0,0,B4_rdry_dir_shade,0,0,,,0,0,0,0,0,B4,rdry,dir,shade,ita
B4_rdry_dir_diff,:=,0,0,0,B4_rdry_dir_diff,0,0,,,0,0,0,0,0,B4,rdry,dir,diff,ita
B4_rdry_ind_sun,:=,a*c,0,0,B4_rdry_ind_sun,0.11621454007065,0.0450752613363632,2.57823330636793,0.00993069234924104,0.0278686512576475,0.204560428883653,0.11621454007065,0.131978064101937,0.324614077933992,B4,rdry,ind,sun,ita
B4_rdry_ind_shade,:=,A*C,0,0,B4_rdry_ind_shade,0.290378451698215,0.048361178313896,6.00437089877065,1.92075177984918e-09,0.19559228395306,0.385164619443371,0.290378451698215,0.392409853191275,0.936803481213057,B4,rdry,ind,shade,ita
B4_rdry_ind_diff,:=,(A*C)-(a*c),0,0,B4_rdry_ind_diff,0.174163911627565,0.066110383091084,2.63444111929603,0.00842759194106102,0.0445899417648945,0.303737881490235,0.174163911627565,0.260431789089338,0.612189403279065,B4,rdry,ind,diff,ita
B4_h3h1_dir_sun,:=,g,0,0,B4_h3h1_dir_sun,0.228430581939993,0.0614991027277106,3.71437259745687,0.000203708465685848,0.107894555512151,0.348966608367835,0.228430581939993,0.365756649165548,0.899617358574046,B4,h3h1,dir,sun,ita
B4_h3h1_dir_shade,:=,G,0,0,B4_h3h1_dir_shade,0.0183976962813559,0.0148735946287773,1.2369367823001,0.216110553203993,-0.010754013511696,0.0475494060744078,0.0183976962813559,0.141145689800182,0.336958342120367,B4,h3h1,dir,shade,ita
B4_h3h1_dir_diff,:=,G-g,0,0,B4_h3h1_dir_diff,-0.210032885658637,0.0632721380506041,-3.31951617457049,0.000901735808065851,-0.334043997462668,-0.086021773854607,-0.210032885658637,-0.224610959365366,-0.56265901645368,B4,h3h1,dir,diff,ita
B4_h3h1_ind_sun,:=,(a*e)+(a*c*f),0,0,B4_h3h1_ind_sun,-0.0227477688326294,0.0158540015492818,-1.4348282206179,0.15133605401156,-0.053821040880064,0.00832550321480517,-0.0227477688326294,-0.0364230902603079,-0.0895864622716712,B4,h3h1,ind,sun,ita
B4_h3h1_ind_shade,:=,(A*E)+(A*C*F),0,0,B4_h3h1_ind_shade,-0.00398382337015622,0.00976418963482159,-0.408003482024651,0.68327111852806,-0.0231212833926258,0.0151536366523134,-0.00398382337015622,-0.0305635819302341,-0.0729647069708707,B4,h3h1,ind,shade,ita
B4_h3h1_ind_diff,:=,((A*E)+(A*C*F))-((a*e)+(a*c*f)),0,0,B4_h3h1_ind_diff,0.0187639454624732,0.0186195801335419,1.0077534148405,0.313572855081472,-0.0177297610065264,0.0552576519314728,0.0187639454624732,0.00585950833007383,0.0166217553008005,B4,h3h1,ind,diff,ita
B4_idry_dir_sun,:=,0,0,0,B4_idry_dir_sun,0,0,,,0,0,0,0,0,B4,idry,dir,sun,ita
B4_idry_dir_shade,:=,0,0,0,B4_idry_dir_shade,0,0,,,0,0,0,0,0,B4,idry,dir,shade,ita
B4_idry_dir_diff,:=,0,0,0,B4_idry_dir_diff,0,0,,,0,0,0,0,0,B4,idry,dir,diff,ita
B4_idry_ind_sun,:=,(a*e*j)+(a*c*i)+(a*c*f*j)+(g*j),0,0,B4_idry_ind_sun,0.0569066583502171,0.0137654702607533,4.13401484092145,3.56480439780427e-05,0.0299268324088834,0.0838864842915507,0.0569066583502171,0.204907103338436,0.503990802296934,B4,idry,ind,sun,ita
B4_idry_ind_shade,:=,(A*E*J)+(A*C*I)+(A*C*F*J)+(G*J),0,0,B4_idry_ind_shade,0.0866886757918837,0.0173968392905527,4.98301296827865,6.26017532256995e-07,0.0525914973375691,0.120785854246198,0.0866886757918837,0.282518451351178,0.674458774621284,B4,idry,ind,shade,ita
