lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
B4_bd_dir_sun,:=,a,0,0,B4_bd_dir_sun,0.563945861840391,0.0950510179758096,5.93308597687944,2.9729305683901e-09,0.377649289913935,0.750242433766847,0.563945861840391,0.479346013590545,1.04849650130115,B4,bd,dir,sun,jea
B4_bd_dir_shade,:=,A,0,0,B4_bd_dir_shade,0.693634376402188,0.0513587397471757,13.5056736169297,0,0.592973096206358,0.794295656598018,0.693634376402188,0.751007165047368,1.53328687146415,B4,bd,dir,shade,jea
B4_bd_dir_diff,:=,A-a,0,0,B4_bd_dir_diff,0.129688514561797,0.108038956708475,1.20038658751343,0.2299892354588,-0.0820639495140962,0.341440978637691,0.129688514561797,0.271661151456824,0.484790370162997,B4,bd,dir,diff,jea
B4_bd_ind_sun,:=,0,0,0,B4_bd_ind_sun,0,0,,,0,0,0,0,0,B4,bd,ind,sun,jea
B4_bd_ind_shade,:=,0,0,0,B4_bd_ind_shade,0,0,,,0,0,0,0,0,B4,bd,ind,shade,jea
B4_bd_ind_diff,:=,0,0,0,B4_bd_ind_diff,0,0,,,0,0,0,0,0,B4,bd,ind,diff,jea
B4_rdry_dir_sun,:=,0,0,0,B4_rdry_dir_sun,0,0,,,0,0,0,0,0,B4,rdry,dir,sun,jea
B4_rdry_dir_shade,:=,0,0,0,B4_rdry_dir_shade,0,0,,,0,0,0,0,0,B4,rdry,dir,shade,jea
B4_rdry_dir_diff,:=,0,0,0,B4_rdry_dir_diff,0,0,,,0,0,0,0,0,B4,rdry,dir,diff,jea
B4_rdry_ind_sun,:=,a*b,0,0,B4_rdry_ind_sun,0.111752321856549,0.0263301515938754,4.24427187432312,2.19304338231474e-05,0.0601461730250737,0.163358470688025,0.111752321856549,0.233941787809039,0.511712080775614,B4,rdry,ind,sun,jea
B4_rdry_ind_shade,:=,A*B,0,0,B4_rdry_ind_shade,0.458657284976132,0.0530106087388145,8.65217917485074,0,0.354758401049511,0.562556168902752,0.458657284976132,0.51695364229872,1.05543364934768,B4,rdry,ind,shade,jea
B4_rdry_ind_diff,:=,(A*B)-(a*b),0,0,B4_rdry_ind_diff,0.346904963119582,0.0591895389559349,5.86091679777814,4.60318583250796e-09,0.23089559850442,0.462914327734745,0.346904963119582,0.283011854489681,0.543721568572068,B4,rdry,ind,diff,jea
B4_h3h1_dir_sun,:=,0,0,0,B4_h3h1_dir_sun,0,0,,,0,0,0,0,0,B4,h3h1,dir,sun,jea
B4_h3h1_dir_shade,:=,0,0,0,B4_h3h1_dir_shade,0,0,,,0,0,0,0,0,B4,h3h1,dir,shade,jea
B4_h3h1_dir_diff,:=,0,0,0,B4_h3h1_dir_diff,0,0,,,0,0,0,0,0,B4,h3h1,dir,diff,jea
B4_h3h1_ind_sun,:=,(a*c)+(a*b*d),0,0,B4_h3h1_ind_sun,-0.0637686188860776,0.0372355388886355,-1.71257408350655,0.0867909245656404,-0.136748934052744,0.00921169628058861,-0.0637686188860776,-0.0778822855310843,-0.170355654532327,B4,h3h1,ind,sun,jea
B4_h3h1_ind_shade,:=,(A*C)+(A*B*D),0,0,B4_h3h1_ind_shade,0.0193179565999713,0.0402190257975061,0.480318859467978,0.631000680560414,-0.0595098854564279,0.0981457986563705,0.0193179565999713,0.0303727090521819,0.0620101620968869,B4,h3h1,ind,shade,jea
B4_h3h1_ind_diff,:=,((A*C)+(A*B*D))-((a*c)+(a*b*d)),0,0,B4_h3h1_ind_diff,0.0830865754860489,0.0548092637464466,1.51592212350117,0.129539045419272,-0.0243376074761433,0.190510758448241,0.0830865754860489,0.108254994583266,0.232365816629214,B4,h3h1,ind,diff,jea
B4_idry_dir_sun,:=,0,0,0,B4_idry_dir_sun,0,0,,,0,0,0,0,0,B4,idry,dir,sun,jea
B4_idry_dir_shade,:=,0,0,0,B4_idry_dir_shade,0,0,,,0,0,0,0,0,B4,idry,dir,shade,jea
B4_idry_dir_diff,:=,0,0,0,B4_idry_dir_diff,0,0,,,0,0,0,0,0,B4,idry,dir,diff,jea
