lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
B4_bd_dir_sun,:=,a,0,0,B4_bd_dir_sun,0.829238946678989,0.0978020668156603,8.47874665309434,0,0.637550418106714,1.02092747525126,0.829238946678989,0.472164488722138,0.963362145830554,B4,bd,dir,sun,sha
B4_bd_dir_shade,:=,A,0,0,B4_bd_dir_shade,0.915742840526121,0.102264585525426,8.95464285921774,0,0.715307936002369,1.11617774504987,0.915742840526121,0.477320683917847,0.973882384829261,B4,bd,dir,shade,sha
B4_bd_dir_diff,:=,A-a,0,0,B4_bd_dir_diff,0.0865038938471322,0.141503673896129,0.61131906660339,0.540988370817069,-0.190838210669382,0.363845998363646,0.0865038938471322,0.00515619519570898,0.0105202389987075,B4,bd,dir,diff,sha
B4_bd_ind_sun,:=,0,0,0,B4_bd_ind_sun,0,0,,,0,0,0,0,0,B4,bd,ind,sun,sha
B4_bd_ind_shade,:=,0,0,0,B4_bd_ind_shade,0,0,,,0,0,0,0,0,B4,bd,ind,shade,sha
B4_bd_ind_diff,:=,0,0,0,B4_bd_ind_diff,0,0,,,0,0,0,0,0,B4,bd,ind,diff,sha
B4_rdry_dir_sun,:=,0,0,0,B4_rdry_dir_sun,0,0,,,0,0,0,0,0,B4,rdry,dir,sun,sha
B4_rdry_dir_shade,:=,0,0,0,B4_rdry_dir_shade,0,0,,,0,0,0,0,0,B4,rdry,dir,shade,sha
B4_rdry_dir_diff,:=,0,0,0,B4_rdry_dir_diff,0,0,,,0,0,0,0,0,B4,rdry,dir,diff,sha
B4_rdry_ind_sun,:=,(a*d),0,0,B4_rdry_ind_sun,0.609409471431939,0.0779967869900998,7.81326378879288,5.55111512312578e-15,0.456538578021501,0.762280364842376,0.609409471431939,0.456847361479147,0.932110450878435,B4,rdry,ind,sun,sha
B4_rdry_ind_shade,:=,(A*D),0,0,B4_rdry_ind_shade,0.772876359763337,0.0951478848308201,8.1228958598246,4.44089209850063e-16,0.586389932289765,0.959362787236909,0.772876359763337,0.449542788928499,0.917206855087458,B4,rdry,ind,shade,sha
B4_rdry_ind_diff,:=,(A*D)-(a*d),0,0,B4_rdry_ind_diff,0.163466888331398,0.123030966705777,1.32866458509037,0.183958653880349,-0.0776693753950711,0.404603152057868,0.163466888331398,-0.00730457255064887,-0.0149035957909769,B4,rdry,ind,diff,sha
B4_h3h1_dir_sun,:=,0,0,0,B4_h3h1_dir_sun,0,0,,,0,0,0,0,0,B4,h3h1,dir,sun,sha
B4_h3h1_dir_shade,:=,0,0,0,B4_h3h1_dir_shade,0,0,,,0,0,0,0,0,B4,h3h1,dir,shade,sha
B4_h3h1_dir_diff,:=,0,0,0,B4_h3h1_dir_diff,0,0,,,0,0,0,0,0,B4,h3h1,dir,diff,sha
B4_h3h1_ind_sun,:=,0,0,0,B4_h3h1_ind_sun,0,0,,,0,0,0,0,0,B4,h3h1,ind,sun,sha
B4_h3h1_ind_shade,:=,0,0,0,B4_h3h1_ind_shade,0,0,,,0,0,0,0,0,B4,h3h1,ind,shade,sha
B4_h3h1_ind_diff,:=,0,0,0,B4_h3h1_ind_diff,0,0,,,0,0,0,0,0,B4,h3h1,ind,diff,sha
B4_idry_dir_sun,:=,i,0,0,B4_idry_dir_sun,0.0751676718490374,0.0185461204401955,4.05301324831929,5.05621379012222e-05,0.0388179437333121,0.111517399964763,0.0751676718490374,0.303403845062811,0.619038039103693,B4,idry,dir,sun,sha
