"geno","plant_id","tray","pot_pos","geno2","shelf","treatment","envelope","rep","cross","bd","h2_h1","h3_h2","h3_h1","i_dry","r_dry","A4","B4","A5","B5","A42","B42","AA","AB","BA","BB"
"20RV_20RV002","2L3021_6","2L3021",6,"1",3,"Shade",NA,1,"bur_col",1.80934789899471,-1.6270218776616,NA,NA,NA,NA,0.999999999956817,4.31827906766102e-11,0.999999999999996,3.5527136788005e-15,0.999999999999998,1.88737914186277e-15,0.999999999956814,3.55271367864709e-15,4.31827906766101e-11,1.53416091125572e-25
"20RV_20RV002","5H6005_7","5H6005",7,"1",6,"Sun",1566,2,"bur_col",0.888521299216401,0.0264780277426945,0.141314085958641,0.0589579043528842,0.41341430486147,0.801735794661934,0.999999999956817,4.31827906766102e-11,0.999999999999996,3.5527136788005e-15,0.999999999999998,1.88737914186277e-15,0.999999999956814,3.55271367864709e-15,4.31827906766101e-11,1.53416091125572e-25
"20RV_20RV002","5L3005_7","5L3005",7,"1",3,"Shade",1123,2,"bur_col",0.206208781238798,-1.31128420118174,1.64182938542454,0.23397758096801,0.354658051282196,0.659032898593049,0.999999999956817,4.31827906766102e-11,0.999999999999996,3.5527136788005e-15,0.999999999999998,1.88737914186277e-15,0.999999999956814,3.55271367864709e-15,4.31827906766101e-11,1.53416091125572e-25
"20RV_20RV002","8H4018_12","8H4018",12,"1",4,"Sun",NA,3,"bur_col",1.25567441751391,-0.623855510808051,NA,NA,NA,NA,0.999999999956817,4.31827906766102e-11,0.999999999999996,3.5527136788005e-15,0.999999999999998,1.88737914186277e-15,0.999999999956814,3.55271367864709e-15,4.31827906766101e-11,1.53416091125572e-25
"20RV_20RV002","9H4011_3","9H4011",3,"1",4,"Sun",1685,4,"bur_col",1.25567441751391,-1.28622257423217,-0.0204953846712669,-0.958456726827559,-1.06516606631338,1.97909991827131,0.999999999956817,4.31827906766102e-11,0.999999999999996,3.5527136788005e-15,0.999999999999998,1.88737914186277e-15,0.999999999956814,3.55271367864709e-15,4.31827906766101e-11,1.53416091125572e-25
"20RV_20RV002","9L1011_3","9L1011",3,"1",1,"Shade",1066,4,"bur_col",0.206208781238798,-0.0998763334202285,0.915425197991654,0.52194987098399,0.435338645945186,0.15044878460679,0.999999999956817,4.31827906766102e-11,0.999999999999996,3.5527136788005e-15,0.999999999999998,1.88737914186277e-15,0.999999999956814,3.55271367864709e-15,4.31827906766101e-11,1.53416091125572e-25
"20RV_20RV007","2H6023_9","2H6023",9,"2",6,"Sun",NA,1,"bur_col",0.206208781238798,NA,NA,NA,NA,NA,4.31832347658201e-11,0.999999999956817,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-3.83544172118456e-26,4.31832347658201e-11,-8.88178419661771e-16,0.999999999956818
"20RV_20RV007","2L3023_9","2L3023",9,"2",3,"Shade",636,1,"bur_col",-0.477416775850869,0.6889732748077,-0.0555124332771052,0.441766536922712,0.252132232789044,-1.11805378620127,4.31832347658201e-11,0.999999999956817,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-3.83544172118456e-26,4.31832347658201e-11,-8.88178419661771e-16,0.999999999956818
"20RV_20RV007","5H4019_14","5H4019",14,"2",4,"Sun",1727,2,"bur_col",1.38286460619163,1.51632624382579,-0.184993419719517,1.05465100894484,1.45329695725547,1.69009631926118,4.31832347658201e-11,0.999999999956817,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-3.83544172118456e-26,4.31832347658201e-11,-8.88178419661771e-16,0.999999999956818
"20RV_20RV007","5L1019_14","5L1019",14,"2",1,"Shade",1407,2,"bur_col",0.625424487034454,1.32971094248721,0.232636017156687,1.1846622258815,1.36221700767259,0.757715832650486,4.31832347658201e-11,0.999999999956817,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-3.83544172118456e-26,4.31832347658201e-11,-8.88178419661771e-16,0.999999999956818
