lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
AB_bd_dir_sun,:=,0,0,0,AB_bd_dir_sun,0,0,,,0,0,0,0,0,AB,bd,dir,sun,bur
AB_bd_dir_shade,:=,0,0,0,AB_bd_dir_shade,0,0,,,0,0,0,0,0,AB,bd,dir,shade,bur
AB_bd_dir_diff,:=,0,0,0,AB_bd_dir_diff,0,0,,,0,0,0,0,0,AB,bd,dir,diff,bur
AB_bd_ind_sun,:=,0,0,0,AB_bd_ind_sun,0,0,,,0,0,0,0,0,AB,bd,ind,sun,bur
AB_bd_ind_shade,:=,0,0,0,AB_bd_ind_shade,0,0,,,0,0,0,0,0,AB,bd,ind,shade,bur
AB_bd_ind_diff,:=,0,0,0,AB_bd_ind_diff,0,0,,,0,0,0,0,0,AB,bd,ind,diff,bur
AB_rdry_dir_sun,:=,b,0,0,AB_rdry_dir_sun,0.30362570542316,0.0872988219257216,3.47800461364188,0.000505161230046847,0.13252315855597,0.47472825229035,0.30362570542316,0.142305139191065,0.303964394102688,AB,rdry,dir,sun,bur
AB_rdry_dir_shade,:=,B,0,0,AB_rdry_dir_shade,0.551158478695016,0.10183710413296,5.41215781210171,6.22697720054077e-08,0.351561422304559,0.750755535085474,0.551158478695016,0.270457922426032,0.564173969311417,AB,rdry,dir,shade,bur
AB_rdry_dir_diff,:=,B-b,0,0,AB_rdry_dir_diff,0.247532773271856,0.134133814110411,1.84541664541129,0.0649769536133571,-0.0153646714935397,0.510430218037252,0.247532773271856,0.128152783234967,0.260209575208729,AB,rdry,dir,diff,bur
AB_rdry_ind_sun,:=,0,0,0,AB_rdry_ind_sun,0,0,,,0,0,0,0,0,AB,rdry,ind,sun,bur
AB_rdry_ind_shade,:=,0,0,0,AB_rdry_ind_shade,0,0,,,0,0,0,0,0,AB,rdry,ind,shade,bur
AB_rdry_ind_diff,:=,0,0,0,AB_rdry_ind_diff,0,0,,,0,0,0,0,0,AB,rdry,ind,diff,bur
AB_h3h1_dir_sun,:=,f,0,0,AB_h3h1_dir_sun,0.62657489915443,0.109901081897391,5.70126233824913,1.18923453307218e-08,0.411172736773556,0.841977061535304,0.62657489915443,0.350229021891325,0.748090708751143,AB,h3h1,dir,sun,bur
AB_h3h1_dir_shade,:=,F,0,0,AB_h3h1_dir_shade,0.824401125255225,0.160413676652925,5.13921968785067,2.75881705924519e-07,0.509996096387838,1.13880615412261,0.824401125255225,0.413242453365249,0.862021837303815,AB,h3h1,dir,shade,bur
AB_h3h1_dir_diff,:=,F-f,0,0,AB_h3h1_dir_diff,0.197826226100795,0.194449981896441,1.0173630471519,0.308980754234505,-0.183288735210696,0.578941187412285,0.197826226100795,0.0630134314739236,0.113931128552671,AB,h3h1,dir,diff,bur
AB_h3h1_ind_sun,:=,b*e,0,0,AB_h3h1_ind_sun,0.0557700171916479,0.0242405587603035,2.3006902498872,0.0214091456022489,0.00825939505632614,0.10328063932697,0.0557700171916479,0.0311730945466412,0.0665858650646017,AB,h3h1,ind,sun,bur
AB_h3h1_ind_shade,:=,B*E,0,0,AB_h3h1_ind_shade,0.0164276157172909,0.0484552910371332,0.339026252152768,0.73458995371603,-0.0785430095758967,0.111398241010478,0.0164276157172909,0.0082345693303768,0.0171772733555598,AB,h3h1,ind,shade,bur
AB_h3h1_ind_diff,:=,(B*E)-(b*e),0,0,AB_h3h1_ind_diff,-0.039342401474357,0.0541804385226348,-0.726136638003051,0.467755010503195,-0.145534109645308,0.0668493066965937,-0.039342401474357,-0.0229385252162644,-0.0494085917090419,AB,h3h1,ind,diff,bur
AB_idry_dir_sun,:=,0,0,0,AB_idry_dir_sun,0,0,,,0,0,0,0,0,AB,idry,dir,sun,bur
AB_idry_dir_shade,:=,0,0,0,AB_idry_dir_shade,0,0,,,0,0,0,0,0,AB,idry,dir,shade,bur
AB_idry_dir_diff,:=,0,0,0,AB_idry_dir_diff,0,0,,,0,0,0,0,0,AB,idry,dir,diff,bur
AB_idry_ind_sun,:=,(b*i)+(b*e*j)+(f*j),0,0,AB_idry_ind_sun,0.450711874486424,0.0759169358499917,5.93690814098464,2.90447288442408e-09,0.301917414403803,0.599506334569046,0.450711874486424,0.21171893082955,0.452232553901425,AB,idry,ind,sun,bur
AB_idry_ind_shade,:=,(B*I)+(B*E*J)+(F*J),0,0,AB_idry_ind_shade,0.652335205549546,0.101412773189127,6.43247576252544,1.25542021223168e-10,0.453569822526529,0.851100588572563,0.652335205549546,0.328516564094902,0.685284026023155,AB,idry,ind,shade,bur
AB_idry_ind_diff,:=,((B*I)+(B*E*J)+(F*J))-((b*i)+(b*e*j)+(f*j)),0,0,AB_idry_ind_diff,0.201623331063122,0.126680431459484,1.59159018279478,0.111476817366565,-0.0466657521434611,0.449912414269705,0.201623331063122,0.116797633265352,0.233051472121729,AB,idry,ind,diff,bur
BB_bd_dir_sun,:=,0,0,0,BB_bd_dir_sun,0,0,,,0,0,0,0,0,BB,bd,dir,sun,bur
BB_bd_dir_shade,:=,0,0,0,BB_bd_dir_shade,0,0,,,0,0,0,0,0,BB,bd,dir,shade,bur
BB_bd_dir_diff,:=,0,0,0,BB_bd_dir_diff,0,0,,,0,0,0,0,0,BB,bd,dir,diff,bur
BB_bd_ind_sun,:=,0,0,0,BB_bd_ind_sun,0,0,,,0,0,0,0,0,BB,bd,ind,sun,bur
BB_bd_ind_shade,:=,0,0,0,BB_bd_ind_shade,0,0,,,0,0,0,0,0,BB,bd,ind,shade,bur
BB_bd_ind_diff,:=,0,0,0,BB_bd_ind_diff,0,0,,,0,0,0,0,0,BB,bd,ind,diff,bur
BB_rdry_dir_sun,:=,c,0,0,BB_rdry_dir_sun,0.467686305013122,0.08299977535708,5.63479000998559,1.75271774871533e-08,0.30500973458833,0.630362875437914,0.467686305013122,0.230232713626278,0.468208000160301,BB,rdry,dir,sun,bur
BB_rdry_dir_shade,:=,C,0,0,BB_rdry_dir_shade,0.650010548895454,0.0995879281684513,6.5270014232646,6.70994371176903e-11,0.454821796390328,0.84519930140058,0.650010548895454,0.327063183376704,0.665360410190777,BB,rdry,dir,shade,bur
BB_rdry_dir_diff,:=,C-c,0,0,BB_rdry_dir_diff,0.182324243882332,0.129640727189454,1.40638091003522,0.159611045841102,-0.0717669123385797,0.436415400103244,0.182324243882332,0.0968304697504265,0.197152410030477,BB,rdry,dir,diff,bur
BB_rdry_ind_sun,:=,0,0,0,BB_rdry_ind_sun,0,0,,,0,0,0,0,0,BB,rdry,ind,sun,bur
BB_rdry_ind_shade,:=,0,0,0,BB_rdry_ind_shade,0,0,,,0,0,0,0,0,BB,rdry,ind,shade,bur
BB_rdry_ind_diff,:=,0,0,0,BB_rdry_ind_diff,0,0,,,0,0,0,0,0,BB,rdry,ind,diff,bur
BB_h3h1_dir_sun,:=,g,0,0,BB_h3h1_dir_sun,0.520595040629269,0.106786366905083,4.87510771006938,1.08749102145644e-06,0.311297607455426,0.729892473803112,0.520595040629269,0.305639511396898,0.621557476116982,BB,h3h1,dir,sun,bur
BB_h3h1_dir_shade,:=,G,0,0,BB_h3h1_dir_shade,0.73411843935162,0.16007730436192,4.58602449783791,4.5176561640492e-06,0.42037268806,1.04786419064324,0.73411843935162,0.377329298234455,0.767619192286493,BB,h3h1,dir,shade,bur
BB_h3h1_dir_diff,:=,G-g,0,0,BB_h3h1_dir_diff,0.213523398722351,0.192426795245792,1.1096344376032,0.267156585250522,-0.163626189619864,0.590672987064565,0.213523398722351,0.0716897868375566,0.146061716169512,BB,h3h1,dir,diff,bur
BB_h3h1_ind_sun,:=,c*e,0,0,BB_h3h1_ind_sun,0.0859046938549838,0.0318831757346678,2.69435813326388,0.00705243419517809,0.0234148177022736,0.148394570007694,0.0859046938549838,0.0504343426414524,0.102564758654952,BB,h3h1,ind,sun,bur
BB_h3h1_ind_shade,:=,C*E,0,0,BB_h3h1_ind_shade,0.0193739621582571,0.057110864647253,0.339234264406974,0.73443325875812,-0.0925612756763006,0.131309199992815,0.0193739621582571,0.00995801651795129,0.0202580733382005,BB,h3h1,ind,shade,bur
BB_h3h1_ind_diff,:=,(C*E)-(c*e),0,0,BB_h3h1_ind_diff,-0.0665307316967266,0.065407856987403,-1.01716727563081,0.309073860614805,-0.194727775697983,0.0616663123045297,-0.0665307316967266,-0.0404763261235011,-0.0823066853167511,BB,h3h1,ind,diff,bur
BB_idry_dir_sun,:=,0,0,0,BB_idry_dir_sun,0,0,,,0,0,0,0,0,BB,idry,dir,sun,bur
BB_idry_dir_shade,:=,0,0,0,BB_idry_dir_shade,0,0,,,0,0,0,0,0,BB,idry,dir,shade,bur
BB_idry_dir_diff,:=,0,0,0,BB_idry_dir_diff,0,0,,,0,0,0,0,0,BB,idry,dir,diff,bur
BB_idry_ind_sun,:=,(c*i)+(c*e*j)+(g*j),0,0,BB_idry_ind_sun,0.511403471282116,0.0727394558167893,7.03061997838148,2.05613304160579e-12,0.368836757626166,0.653970184938065,0.511403471282116,0.2523217542407,0.513128921121717,BB,idry,ind,sun,bur
BB_idry_ind_shade,:=,(C*I)+(C*E*J)+(G*J),0,0,BB_idry_ind_shade,0.648146995859787,0.100215908298784,6.46750607625485,9.96336346759108e-11,0.451727424916201,0.844566566803373,0.648146995859787,0.334694061633194,0.680884273911647,BB,idry,ind,shade,bur
BB_idry_ind_diff,:=,((C*I)+(C*E*J)+(G*J))-((c*i)+(c*e*j)+(g*j)),0,0,BB_idry_ind_diff,0.136743524577671,0.123831565881535,1.10427033369253,0.269475887677798,-0.105961884699337,0.379448933854679,0.136743524577671,0.0823723073924937,0.167755352789931,BB,idry,ind,diff,bur
BA_bd_dir_sun,:=,0,0,0,BA_bd_dir_sun,0,0,,,0,0,0,0,0,BA,bd,dir,sun,bur
BA_bd_dir_shade,:=,0,0,0,BA_bd_dir_shade,0,0,,,0,0,0,0,0,BA,bd,dir,shade,bur
BA_bd_dir_diff,:=,0,0,0,BA_bd_dir_diff,0,0,,,0,0,0,0,0,BA,bd,dir,diff,bur
BA_bd_ind_sun,:=,0,0,0,BA_bd_ind_sun,0,0,,,0,0,0,0,0,BA,bd,ind,sun,bur
BA_bd_ind_shade,:=,0,0,0,BA_bd_ind_shade,0,0,,,0,0,0,0,0,BA,bd,ind,shade,bur
BA_bd_ind_diff,:=,0,0,0,BA_bd_ind_diff,0,0,,,0,0,0,0,0,BA,bd,ind,diff,bur
BA_rdry_dir_sun,:=,0,0,0,BA_rdry_dir_sun,0,0,,,0,0,0,0,0,BA,rdry,dir,sun,bur
BA_rdry_dir_shade,:=,0,0,0,BA_rdry_dir_shade,0,0,,,0,0,0,0,0,BA,rdry,dir,shade,bur
BA_rdry_dir_diff,:=,0,0,0,BA_rdry_dir_diff,0,0,,,0,0,0,0,0,BA,rdry,dir,diff,bur
BA_rdry_ind_sun,:=,0,0,0,BA_rdry_ind_sun,0,0,,,0,0,0,0,0,BA,rdry,ind,sun,bur
BA_rdry_ind_shade,:=,0,0,0,BA_rdry_ind_shade,0,0,,,0,0,0,0,0,BA,rdry,ind,shade,bur
BA_rdry_ind_diff,:=,0,0,0,BA_rdry_ind_diff,0,0,,,0,0,0,0,0,BA,rdry,ind,diff,bur
BA_h3h1_dir_sun,:=,0,0,0,BA_h3h1_dir_sun,0,0,,,0,0,0,0,0,BA,h3h1,dir,sun,bur
BA_h3h1_dir_shade,:=,0,0,0,BA_h3h1_dir_shade,0,0,,,0,0,0,0,0,BA,h3h1,dir,shade,bur
BA_h3h1_dir_diff,:=,0,0,0,BA_h3h1_dir_diff,0,0,,,0,0,0,0,0,BA,h3h1,dir,diff,bur
BA_h3h1_ind_sun,:=,0,0,0,BA_h3h1_ind_sun,0,0,,,0,0,0,0,0,BA,h3h1,ind,sun,bur
BA_h3h1_ind_shade,:=,0,0,0,BA_h3h1_ind_shade,0,0,,,0,0,0,0,0,BA,h3h1,ind,shade,bur
BA_h3h1_ind_diff,:=,0,0,0,BA_h3h1_ind_diff,0,0,,,0,0,0,0,0,BA,h3h1,ind,diff,bur
BA_idry_dir_sun,:=,h,0,0,BA_idry_dir_sun,0.156586372041508,0.0592547393529882,2.64259658807547,0.00822729954169454,0.040449216996343,0.272723527086673,0.156586372041508,0.0995052056571537,0.157114686661363,BA,idry,dir,sun,bur
BA_idry_dir_shade,:=,H,0,0,BA_idry_dir_shade,-0.165216048238927,0.0839382202251452,-1.96830535357757,0.049032914346173,-0.329731936806603,-0.000700159671250589,-0.165216048238927,-0.119856482932236,-0.173560951084079,BA,idry,dir,shade,bur
BA_idry_dir_diff,:=,H-h,0,0,BA_idry_dir_diff,-0.321802420280435,0.102746041044682,-3.13201771093534,0.00173609402063746,-0.523180960282086,-0.120423880278783,-0.321802420280435,-0.21936168858939,-0.330675637745442,BA,idry,dir,diff,bur
BA_idry_ind_sun,:=,0,0,0,BA_idry_ind_sun,0,0,,,0,0,0,0,0,BA,idry,ind,sun,bur
BA_idry_ind_shade,:=,0,0,0,BA_idry_ind_shade,0,0,,,0,0,0,0,0,BA,idry,ind,shade,bur
BA_idry_ind_diff,:=,0,0,0,BA_idry_ind_diff,0,0,,,0,0,0,0,0,BA,idry,ind,diff,bur
