lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
FRIFLC_bd_dir_sun,:=,0,0,0,FRIFLC_bd_dir_sun,0,0,,,0,0,0,0,0,FRIFLC,bd,dir,sun,bur
FRIFLC_bd_dir_shade,:=,0,0,0,FRIFLC_bd_dir_shade,0,0,,,0,0,0,0,0,FRIFLC,bd,dir,shade,bur
FRIFLC_bd_dir_diff,:=,0,0,0,FRIFLC_bd_dir_diff,0,0,,,0,0,0,0,0,FRIFLC,bd,dir,diff,bur
FRIFLC_bd_ind_sun,:=,0,0,0,FRIFLC_bd_ind_sun,0,0,,,0,0,0,0,0,FRIFLC,bd,ind,sun,bur
FRIFLC_bd_ind_shade,:=,0,0,0,FRIFLC_bd_ind_shade,0,0,,,0,0,0,0,0,FRIFLC,bd,ind,shade,bur
FRIFLC_bd_ind_diff,:=,0,0,0,FRIFLC_bd_ind_diff,0,0,,,0,0,0,0,0,FRIFLC,bd,ind,diff,bur
FRIFLC_rdry_dir_sun,:=,b,0,0,FRIFLC_rdry_dir_sun,-0.487283842505384,0.147679881894311,-3.2995952885046,0.000968243503115085,-0.776731092259362,-0.197836592751406,-0.487283842505384,-0.122822029324203,-0.498790965657262,FRIFLC,rdry,dir,sun,bur
FRIFLC_rdry_dir_shade,:=,B,0,0,FRIFLC_rdry_dir_shade,-0.304623908549727,0.105157979719156,-2.89682161413981,0.00376964034995564,-0.510729761486266,-0.098518055613188,-0.304623908549727,-0.0912422719213872,-0.304963717753216,FRIFLC,rdry,dir,shade,bur
FRIFLC_rdry_dir_diff,:=,B-b,0,0,FRIFLC_rdry_dir_diff,0.182659933955657,0.181294093160621,1.00753384057486,0.313678303965352,-0.17266995924901,0.537989827160323,0.182659933955657,0.0315797574028161,0.193827247904046,FRIFLC,rdry,dir,diff,bur
FRIFLC_rdry_ind_sun,:=,0,0,0,FRIFLC_rdry_ind_sun,0,0,,,0,0,0,0,0,FRIFLC,rdry,ind,sun,bur
FRIFLC_rdry_ind_shade,:=,0,0,0,FRIFLC_rdry_ind_shade,0,0,,,0,0,0,0,0,FRIFLC,rdry,ind,shade,bur
FRIFLC_rdry_ind_diff,:=,0,0,0,FRIFLC_rdry_ind_diff,0,0,,,0,0,0,0,0,FRIFLC,rdry,ind,diff,bur
FRIFLC_h3h1_dir_sun,:=,0,0,0,FRIFLC_h3h1_dir_sun,0,0,,,0,0,0,0,0,FRIFLC,h3h1,dir,sun,bur
FRIFLC_h3h1_dir_shade,:=,0,0,0,FRIFLC_h3h1_dir_shade,0,0,,,0,0,0,0,0,FRIFLC,h3h1,dir,shade,bur
FRIFLC_h3h1_dir_diff,:=,0,0,0,FRIFLC_h3h1_dir_diff,0,0,,,0,0,0,0,0,FRIFLC,h3h1,dir,diff,bur
FRIFLC_h3h1_ind_sun,:=,b*d,0,0,FRIFLC_h3h1_ind_sun,-0.0909812095536691,0.0500102581616774,-1.81925094766633,0.0688731532649678,-0.188999514408107,0.00703709530076879,-0.0909812095536691,-0.0234255111137959,-0.0951330422869234,FRIFLC,h3h1,ind,sun,bur
FRIFLC_h3h1_ind_shade,:=,B*D,0,0,FRIFLC_h3h1_ind_shade,-0.0784295210598363,0.0326741308590629,-2.40035523509823,0.0163791679836853,-0.142469640769748,-0.0143894013499242,-0.0784295210598363,-0.0280161709790405,-0.0936398829079928,FRIFLC,h3h1,ind,shade,bur
FRIFLC_h3h1_ind_diff,:=,(B*D)-(b*d),0,0,FRIFLC_h3h1_ind_diff,0.0125516884938328,0.0597379673975671,0.21011241327143,0.83357993733867,-0.104532576115027,0.129635953102692,0.0125516884938328,-0.00459065986524461,0.00149315937893059,FRIFLC,h3h1,ind,diff,bur
FRIFLC_idry_dir_sun,:=,h,0,0,FRIFLC_idry_dir_sun,-0.0375088630094107,0.180623508182288,-0.207663240443521,0.83549192180924,-0.39152443380797,0.316506707789149,-0.0375088630094107,-0.00972328161337269,-0.0394870940659173,FRIFLC,idry,dir,sun,bur
FRIFLC_idry_dir_shade,:=,H,0,0,FRIFLC_idry_dir_shade,-0.292584380728836,0.102740823758898,-2.84779087829239,0.00440238423283867,-0.493952695038254,-0.0912160664194185,-0.292584380728836,-0.0880262842359958,-0.294214757428877,FRIFLC,idry,dir,shade,bur
FRIFLC_idry_dir_diff,:=,H-h,0,0,FRIFLC_idry_dir_diff,-0.255075517719426,0.207799250659703,-1.22750932406943,0.21963121949931,-0.662354565026853,0.152203529588002,-0.255075517719426,-0.0783030026226231,-0.25472766336296,FRIFLC,idry,dir,diff,bur
FRIFLC_idry_ind_sun,:=,(b*f)+(b*d*g),0,0,FRIFLC_idry_ind_sun,-0.258396718958575,0.0880396833007633,-2.93500282225953,0.00333544654210649,-0.430951327438384,-0.0858421104787667,-0.258396718958575,-0.0669832104954871,-0.27202465575354,FRIFLC,idry,ind,sun,bur
FRIFLC_idry_ind_shade,:=,(B*F)+(B*D*G),0,0,FRIFLC_idry_ind_shade,-0.163954827943622,0.0588303051633104,-2.78691105695424,0.005321308203174,-0.279260107263211,-0.0486495486240325,-0.163954827943622,-0.0493270838671486,-0.164868438337562,FRIFLC,idry,ind,shade,bur
FRIFLC_idry_ind_diff,:=,((B*F)+(B*D*G))-((b*f)+(b*d*g)),0,0,FRIFLC_idry_ind_diff,0.0944418910149535,0.105886687743582,0.89191467811002,0.372438666565948,-0.113092203404707,0.301975985434614,0.0944418910149535,0.0176561266283385,0.107156217415978,FRIFLC,idry,ind,diff,bur
