lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
B4_bd_dir_sun,:=,0,0,0,B4_bd_dir_sun,0,0,,,0,0,0,0,0,B4,bd,dir,sun,bur
B4_bd_dir_shade,:=,0,0,0,B4_bd_dir_shade,0,0,,,0,0,0,0,0,B4,bd,dir,shade,bur
B4_bd_dir_diff,:=,0,0,0,B4_bd_dir_diff,0,0,,,0,0,0,0,0,B4,bd,dir,diff,bur
B4_bd_ind_sun,:=,0,0,0,B4_bd_ind_sun,0,0,,,0,0,0,0,0,B4,bd,ind,sun,bur
B4_bd_ind_shade,:=,0,0,0,B4_bd_ind_shade,0,0,,,0,0,0,0,0,B4,bd,ind,shade,bur
B4_bd_ind_diff,:=,0,0,0,B4_bd_ind_diff,0,0,,,0,0,0,0,0,B4,bd,ind,diff,bur
B4_rdry_dir_sun,:=,0,0,0,B4_rdry_dir_sun,0,0,,,0,0,0,0,0,B4,rdry,dir,sun,bur
B4_rdry_dir_shade,:=,0,0,0,B4_rdry_dir_shade,0,0,,,0,0,0,0,0,B4,rdry,dir,shade,bur
B4_rdry_dir_diff,:=,0,0,0,B4_rdry_dir_diff,0,0,,,0,0,0,0,0,B4,rdry,dir,diff,bur
B4_rdry_ind_sun,:=,0,0,0,B4_rdry_ind_sun,0,0,,,0,0,0,0,0,B4,rdry,ind,sun,bur
B4_rdry_ind_shade,:=,0,0,0,B4_rdry_ind_shade,0,0,,,0,0,0,0,0,B4,rdry,ind,shade,bur
B4_rdry_ind_diff,:=,0,0,0,B4_rdry_ind_diff,0,0,,,0,0,0,0,0,B4,rdry,ind,diff,bur
B4_h3h1_dir_sun,:=,0,0,0,B4_h3h1_dir_sun,0,0,,,0,0,0,0,0,B4,h3h1,dir,sun,bur
B4_h3h1_dir_shade,:=,0,0,0,B4_h3h1_dir_shade,0,0,,,0,0,0,0,0,B4,h3h1,dir,shade,bur
B4_h3h1_dir_diff,:=,0,0,0,B4_h3h1_dir_diff,0,0,,,0,0,0,0,0,B4,h3h1,dir,diff,bur
B4_h3h1_ind_sun,:=,0,0,0,B4_h3h1_ind_sun,0,0,,,0,0,0,0,0,B4,h3h1,ind,sun,bur
B4_h3h1_ind_shade,:=,0,0,0,B4_h3h1_ind_shade,0,0,,,0,0,0,0,0,B4,h3h1,ind,shade,bur
B4_h3h1_ind_diff,:=,0,0,0,B4_h3h1_ind_diff,0,0,,,0,0,0,0,0,B4,h3h1,ind,diff,bur
B4_idry_dir_sun,:=,0,0,0,B4_idry_dir_sun,0,0,,,0,0,0,0,0,B4,idry,dir,sun,bur
B4_idry_dir_shade,:=,0,0,0,B4_idry_dir_shade,0,0,,,0,0,0,0,0,B4,idry,dir,shade,bur
B4_idry_dir_diff,:=,0,0,0,B4_idry_dir_diff,0,0,,,0,0,0,0,0,B4,idry,dir,diff,bur
B4_idry_ind_sun,:=,0,0,0,B4_idry_ind_sun,0,0,,,0,0,0,0,0,B4,idry,ind,sun,bur
B4_idry_ind_shade,:=,0,0,0,B4_idry_ind_shade,0,0,,,0,0,0,0,0,B4,idry,ind,shade,bur
B4_idry_ind_diff,:=,0,0,0,B4_idry_ind_diff,0,0,,,0,0,0,0,0,B4,idry,ind,diff,bur
B5_bd_dir_sun,:=,0,0,0,B5_bd_dir_sun,0,0,,,0,0,0,0,0,B5,bd,dir,sun,bur
B5_bd_dir_shade,:=,0,0,0,B5_bd_dir_shade,0,0,,,0,0,0,0,0,B5,bd,dir,shade,bur
B5_bd_dir_diff,:=,0,0,0,B5_bd_dir_diff,0,0,,,0,0,0,0,0,B5,bd,dir,diff,bur
B5_bd_ind_sun,:=,0,0,0,B5_bd_ind_sun,0,0,,,0,0,0,0,0,B5,bd,ind,sun,bur
B5_bd_ind_shade,:=,0,0,0,B5_bd_ind_shade,0,0,,,0,0,0,0,0,B5,bd,ind,shade,bur
B5_bd_ind_diff,:=,0,0,0,B5_bd_ind_diff,0,0,,,0,0,0,0,0,B5,bd,ind,diff,bur
B5_rdry_dir_sun,:=,b,0,0,B5_rdry_dir_sun,0.604293098987722,0.0931374331970858,6.48818716862202,8.68753957661284e-11,0.421747084308929,0.786839113666516,0.604293098987722,0.230104807250899,0.618563471496326,B5,rdry,dir,sun,bur
B5_rdry_dir_shade,:=,B,0,0,B5_rdry_dir_shade,0.397763214578659,0.0778684387058493,5.10814421335996,3.25338307849421e-07,0.245143879182829,0.550382549974488,0.397763214578659,0.157767121756352,0.398206958570302,B5,rdry,dir,shade,bur
B5_rdry_dir_diff,:=,B-b,0,0,B5_rdry_dir_diff,-0.206529884409064,0.121400474500836,-1.7012279833193,0.0889001851060447,-0.444470442136776,0.0314106733186489,-0.206529884409064,-0.0723376854945476,-0.220356512926024,B5,rdry,dir,diff,bur
B5_rdry_ind_sun,:=,0,0,0,B5_rdry_ind_sun,0,0,,,0,0,0,0,0,B5,rdry,ind,sun,bur
B5_rdry_ind_shade,:=,0,0,0,B5_rdry_ind_shade,0,0,,,0,0,0,0,0,B5,rdry,ind,shade,bur
B5_rdry_ind_diff,:=,0,0,0,B5_rdry_ind_diff,0,0,,,0,0,0,0,0,B5,rdry,ind,diff,bur
B5_h3h1_dir_sun,:=,e,0,0,B5_h3h1_dir_sun,0.778904606774848,0.149335987899767,5.21578634680908,1.83039057466416e-07,0.486211448895596,1.0715977646541,0.778904606774848,0.30297399580063,0.814449071510297,B5,h3h1,dir,sun,bur
B5_h3h1_dir_shade,:=,E,0,0,B5_h3h1_dir_shade,0.568969023637896,0.0991131943161029,5.74059818739447,9.43427003186059e-09,0.374710732385614,0.763227314890178,0.568969023637896,0.269139513152281,0.679312810998574,B5,h3h1,dir,shade,bur
B5_h3h1_dir_diff,:=,E-e,0,0,B5_h3h1_dir_diff,-0.209935583136952,0.179233541976776,-1.17129629209779,0.241479701330417,-0.561226870232981,0.141355703959077,-0.209935583136952,-0.0338344826483489,-0.135136260511723,B5,h3h1,dir,diff,bur
B5_h3h1_ind_sun,:=,b*d,0,0,B5_h3h1_ind_sun,0.0149780875035226,0.0529804356377138,0.282709783776496,0.777399315719902,-0.0888616582316388,0.118817833238684,0.0149780875035226,0.00582609344061241,0.0156615962393072,B5,h3h1,ind,sun,bur
B5_h3h1_ind_shade,:=,B*D,0,0,B5_h3h1_ind_shade,0.0698588700155836,0.0273684416803507,2.55253371132705,0.0106942559852035,0.0162177100091114,0.123500030022056,0.0698588700155836,0.0330453530583213,0.0834070457123377,B5,h3h1,ind,shade,bur
B5_h3h1_ind_diff,:=,(B*D)-(b*d),0,0,B5_h3h1_ind_diff,0.054880782512061,0.059631855248455,0.920326598651027,0.357402113363068,-0.0619955061062166,0.171757071130339,0.054880782512061,0.0272192596177089,0.0677454494730305,B5,h3h1,ind,diff,bur
B5_idry_dir_sun,:=,i,0,0,B5_idry_dir_sun,-0.0169153156116354,0.131320914523881,-0.128808999487734,0.897508784296588,-0.274299578495305,0.240468947272034,-0.0169153156116354,-0.00662139897077553,-0.0177995218025116,B5,idry,dir,sun,bur
B5_idry_dir_shade,:=,I,0,0,B5_idry_dir_shade,0.221384391349915,0.0821966395039331,2.69335088010894,0.00707377807665144,0.0602819382719843,0.382486844427847,0.221384391349915,0.0878880842049282,0.221831052732672,B5,idry,dir,shade,bur
B5_idry_dir_diff,:=,I-i,0,0,B5_idry_dir_diff,0.238299706961551,0.154924078622815,1.53817088395747,0.124006838033598,-0.0653459074772172,0.541945321400319,0.238299706961551,0.0945094831757038,0.239630574535183,B5,idry,dir,diff,bur
B5_idry_ind_sun,:=,(b*g)+(b*d*h)+(e*h),0,0,B5_idry_ind_sun,0.672170863544012,0.101604429370372,6.61556654281073,3.70130592841633e-11,0.473029841308338,0.871311885779685,0.672170863544012,0.263117258125183,0.707306929137928,B5,idry,ind,sun,bur
B5_idry_ind_shade,:=,(B*G)+(B*D*H)+(E*H),0,0,B5_idry_ind_shade,0.419414808399925,0.0611561997230996,6.85809141671544,6.97863988818881e-12,0.299550859511311,0.539278757288539,0.419414808399925,0.166504800870012,0.420261012584087,B5,idry,ind,shade,bur
B5_idry_ind_diff,:=,((B*G)+(B*D*H)+(E*H))-((b*g)+(b*d*h)+(e*h)),0,0,B5_idry_ind_diff,-0.252756055144087,0.118589800709212,-2.13134733031432,0.033060538533696,-0.485187793467925,-0.0203243168202487,-0.252756055144087,-0.0966124572551717,-0.287045916553841,B5,idry,ind,diff,bur
