lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
AB_bd_dir_sun,:=,a,0,0,AB_bd_dir_sun,0.401089261850014,0.0848160984355702,4.72892846108334,2.25707889134341e-06,0.234852763607092,0.567325760092935,0.401089261850014,0.210845727015367,0.707609292781637,AB,bd,dir,sun,cvi
AB_bd_dir_shade,:=,A,0,0,AB_bd_dir_shade,0.268235193057916,0.0758235730419606,3.5376226982798,0.000403746546406625,0.119623720716531,0.416846665399301,0.268235193057916,0.157608063711325,0.503437434810098,AB,bd,dir,shade,cvi
AB_bd_dir_diff,:=,A-a,0,0,AB_bd_dir_diff,-0.132854068792098,0.113767239496623,-1.16777087481359,0.242899199268221,-0.355833760826021,0.0901256232418251,-0.132854068792098,-0.0532376633040427,-0.204171857971539,AB,bd,dir,diff,cvi
AB_bd_ind_sun,:=,0,0,0,AB_bd_ind_sun,0,0,,,0,0,0,0,0,AB,bd,ind,sun,cvi
AB_bd_ind_shade,:=,0,0,0,AB_bd_ind_shade,0,0,,,0,0,0,0,0,AB,bd,ind,shade,cvi
AB_bd_ind_diff,:=,0,0,0,AB_bd_ind_diff,0,0,,,0,0,0,0,0,AB,bd,ind,diff,cvi
AB_rdry_dir_sun,:=,d,0,0,AB_rdry_dir_sun,0.117243336551529,0.109543320949162,1.07029196792327,0.28448790867604,-0.0974576272557406,0.331944300358798,0.117243336551529,0.043015154185045,0.1443611082977,AB,rdry,dir,sun,cvi
AB_rdry_dir_shade,:=,D,0,0,AB_rdry_dir_shade,0.224315153209362,0.0902580931114445,2.48526359771852,0.0129455537332865,0.0474125413976679,0.401217765021056,0.224315153209362,0.0937980171420431,0.299613052963804,AB,rdry,dir,shade,cvi
AB_rdry_dir_diff,:=,D-d,0,0,AB_rdry_dir_diff,0.107071816657833,0.141937530402235,0.754358740457183,0.450633839452806,-0.171120630985106,0.385264264300772,0.107071816657833,0.050782862956998,0.155251944666104,AB,rdry,dir,diff,cvi
AB_rdry_ind_sun,:=,a*c,0,0,AB_rdry_ind_sun,0.29510774470724,0.0665418374860906,4.43492028258052,9.21063651460052e-06,0.164688139769385,0.425527349645095,0.29510774470724,0.108271442225663,0.363364625625851,AB,rdry,ind,sun,cvi
AB_rdry_ind_shade,:=,A*C,0,0,AB_rdry_ind_shade,0.204556292354245,0.0595472281584662,3.43519419258077,0.00059212934727082,0.0878458697844618,0.321266714924028,0.204556292354245,0.0855357934684346,0.273221556271812,AB,rdry,ind,shade,cvi
AB_rdry_ind_diff,:=,(A*C)-(a*c),0,0,AB_rdry_ind_diff,-0.0905514523529953,0.0892955123025884,-1.01406498510419,0.310551744586797,-0.265567440447122,0.0844645357411312,-0.0905514523529953,-0.0227356487572287,-0.0901430693540393,AB,rdry,ind,diff,cvi
AB_h3h1_dir_sun,:=,g,0,0,AB_h3h1_dir_sun,0.409890310707435,0.0981925384496077,4.174352931285,2.98834188894315e-05,0.217436471795639,0.60234414961923,0.409890310707435,0.195100854281099,0.654768676003946,AB,h3h1,dir,sun,cvi
AB_h3h1_dir_shade,:=,G,0,0,AB_h3h1_dir_shade,0.201833100914265,0.110864668673763,1.82053582379966,0.0686774459138169,-0.0154576568442764,0.419123858672806,0.201833100914265,0.082861005990676,0.264677652395603,AB,h3h1,dir,shade,cvi
AB_h3h1_dir_diff,:=,G-g,0,0,AB_h3h1_dir_diff,-0.20805720979317,0.148097094391892,-1.40487030246936,0.160059848948528,-0.498322181016307,0.0822077614299665,-0.20805720979317,-0.112239848290423,-0.390091023608342,AB,h3h1,dir,diff,cvi
AB_h3h1_ind_sun,:=,(a*e)+(a*c*f)+(d*f),0,0,AB_h3h1_ind_sun,-0.0478430038765047,0.0300330548147904,-1.59301157246726,0.111157594963299,-0.106706709659211,0.0110207019062016,-0.0478430038765047,-0.0227724605433341,-0.0764255691972922,AB,h3h1,ind,sun,cvi
AB_h3h1_ind_shade,:=,(A*E)+(A*C*F)+(D*F),0,0,AB_h3h1_ind_shade,0.087494234649736,0.030461016493875,2.87233469924843,0.00407451177548079,0.0277917393892604,0.147196729910212,0.087494234649736,0.0359200758875573,0.114737218624408,AB,h3h1,ind,shade,cvi
AB_h3h1_ind_diff,:=,((A*E)+(A*C*F)+(D*F))-((a*e)+(a*c*f)+(d*f)),0,0,AB_h3h1_ind_diff,0.135337238526241,0.0427768384449848,3.1637971258745,0.00155725304970034,0.0514961758015822,0.219178301250899,0.135337238526241,0.0586925364308913,0.1911627878217,AB,h3h1,ind,diff,cvi
AB_idry_dir_sun,:=,l,0,0,AB_idry_dir_sun,-0.240908116407789,0.0894705011551024,-2.69259826755817,0.00708976391651461,-0.416267076350539,-0.0655491564650395,-0.240908116407789,-0.0978630584443179,-0.328433545016469,AB,idry,dir,sun,cvi
AB_idry_dir_shade,:=,L,0,0,AB_idry_dir_shade,-0.00437674894720418,0.0720127524140465,-0.060777415117249,0.951536477188423,-0.145519150106335,0.136765652211927,-0.00437674894720418,-0.00198390556673175,-0.00633706363685972,AB,idry,dir,shade,cvi
AB_idry_dir_diff,:=,L-l,0,0,AB_idry_dir_diff,0.236531367460585,0.114851238944958,2.05945856251443,0.0394503306563143,0.0114270755486627,0.461635659372508,0.236531367460585,0.0958791528775861,0.322096481379609,AB,idry,dir,diff,cvi
AB_idry_ind_sun,:=,(a*i)+(a*c*j)+(a*e*k)+(a*c*f*k)+(d*j)+(d*f*k)+(g*k),0,0,AB_idry_ind_sun,0.367194388852141,0.078025145897604,4.70610320080692,2.52496731811824e-06,0.214267913004354,0.520120864699928,0.367194388852141,0.149163782742111,0.500601460171331,AB,idry,ind,sun,cvi
AB_idry_ind_shade,:=,(A*I)+(A*C*J)+(A*E*K)+(A*C*F*K)+(D*J)+(D*F*K)+(G*K),0,0,AB_idry_ind_shade,0.319054012695042,0.0703501398885359,4.53522925754742,5.75409481529121e-06,0.181170272206157,0.456937753183927,0.319054012695042,0.144621736249718,0.461956033218554,AB,idry,ind,shade,cvi
AB_idry_ind_diff,:=,((A*I)+(A*C*J)+(A*E*K)+(A*C*F*K)+(D*J)+(D*F*K)+(G*K))-((a*i)+(a*c*j)+(a*e*k)+(a*c*f*k)+(d*j)+(d*f*k)+(g*k)),0,0,AB_idry_ind_diff,-0.0481403761570992,0.105057439406636,-0.458229102374815,0.646787853638424,-0.254049173702104,0.157768421387906,-0.0481403761570992,-0.00454204649239262,-0.0386454269527771,AB,idry,ind,diff,cvi
BA_bd_dir_sun,:=,0,0,0,BA_bd_dir_sun,0,0,,,0,0,0,0,0,BA,bd,dir,sun,cvi
BA_bd_dir_shade,:=,0,0,0,BA_bd_dir_shade,0,0,,,0,0,0,0,0,BA,bd,dir,shade,cvi
BA_bd_dir_diff,:=,0,0,0,BA_bd_dir_diff,0,0,,,0,0,0,0,0,BA,bd,dir,diff,cvi
BA_bd_ind_sun,:=,0,0,0,BA_bd_ind_sun,0,0,,,0,0,0,0,0,BA,bd,ind,sun,cvi
BA_bd_ind_shade,:=,0,0,0,BA_bd_ind_shade,0,0,,,0,0,0,0,0,BA,bd,ind,shade,cvi
BA_bd_ind_diff,:=,0,0,0,BA_bd_ind_diff,0,0,,,0,0,0,0,0,BA,bd,ind,diff,cvi
BA_rdry_dir_sun,:=,0,0,0,BA_rdry_dir_sun,0,0,,,0,0,0,0,0,BA,rdry,dir,sun,cvi
BA_rdry_dir_shade,:=,0,0,0,BA_rdry_dir_shade,0,0,,,0,0,0,0,0,BA,rdry,dir,shade,cvi
BA_rdry_dir_diff,:=,0,0,0,BA_rdry_dir_diff,0,0,,,0,0,0,0,0,BA,rdry,dir,diff,cvi
BA_rdry_ind_sun,:=,0,0,0,BA_rdry_ind_sun,0,0,,,0,0,0,0,0,BA,rdry,ind,sun,cvi
BA_rdry_ind_shade,:=,0,0,0,BA_rdry_ind_shade,0,0,,,0,0,0,0,0,BA,rdry,ind,shade,cvi
BA_rdry_ind_diff,:=,0,0,0,BA_rdry_ind_diff,0,0,,,0,0,0,0,0,BA,rdry,ind,diff,cvi
BA_h3h1_dir_sun,:=,0,0,0,BA_h3h1_dir_sun,0,0,,,0,0,0,0,0,BA,h3h1,dir,sun,cvi
BA_h3h1_dir_shade,:=,0,0,0,BA_h3h1_dir_shade,0,0,,,0,0,0,0,0,BA,h3h1,dir,shade,cvi
BA_h3h1_dir_diff,:=,0,0,0,BA_h3h1_dir_diff,0,0,,,0,0,0,0,0,BA,h3h1,dir,diff,cvi
BA_h3h1_ind_sun,:=,0,0,0,BA_h3h1_ind_sun,0,0,,,0,0,0,0,0,BA,h3h1,ind,sun,cvi
BA_h3h1_ind_shade,:=,0,0,0,BA_h3h1_ind_shade,0,0,,,0,0,0,0,0,BA,h3h1,ind,shade,cvi
BA_h3h1_ind_diff,:=,0,0,0,BA_h3h1_ind_diff,0,0,,,0,0,0,0,0,BA,h3h1,ind,diff,cvi
BA_idry_dir_sun,:=,0,0,0,BA_idry_dir_sun,0,0,,,0,0,0,0,0,BA,idry,dir,sun,cvi
BA_idry_dir_shade,:=,0,0,0,BA_idry_dir_shade,0,0,,,0,0,0,0,0,BA,idry,dir,shade,cvi
BA_idry_dir_diff,:=,0,0,0,BA_idry_dir_diff,0,0,,,0,0,0,0,0,BA,idry,dir,diff,cvi
BA_idry_ind_sun,:=,0,0,0,BA_idry_ind_sun,0,0,,,0,0,0,0,0,BA,idry,ind,sun,cvi
BA_idry_ind_shade,:=,0,0,0,BA_idry_ind_shade,0,0,,,0,0,0,0,0,BA,idry,ind,shade,cvi
BA_idry_ind_diff,:=,0,0,0,BA_idry_ind_diff,0,0,,,0,0,0,0,0,BA,idry,ind,diff,cvi
BB_bd_dir_sun,:=,b,0,0,BB_bd_dir_sun,0.409946099643287,0.0581665609922012,7.04779675212793,1.81765713591631e-12,0.29594173499402,0.523950464292554,0.409946099643287,0.314235633354989,0.723234694215403,BB,bd,dir,sun,cvi
BB_bd_dir_shade,:=,B,0,0,BB_bd_dir_shade,0.313758845884792,0.0553252085754507,5.67117330352037,1.41822840138417e-08,0.205323429639742,0.422194262129842,0.313758845884792,0.252661948311738,0.588878538719977,BB,bd,dir,shade,cvi
BB_bd_dir_diff,:=,B-b,0,0,BB_bd_dir_diff,-0.0961872537584949,0.080275946095805,-1.19820766289943,0.230836182929394,-0.253525216931151,0.0611507094141616,-0.0961872537584949,-0.0615736850432517,-0.134356155495427,BB,bd,dir,diff,cvi
BB_bd_ind_sun,:=,0,0,0,BB_bd_ind_sun,0,0,,,0,0,0,0,0,BB,bd,ind,sun,cvi
BB_bd_ind_shade,:=,0,0,0,BB_bd_ind_shade,0,0,,,0,0,0,0,0,BB,bd,ind,shade,cvi
BB_bd_ind_diff,:=,0,0,0,BB_bd_ind_diff,0,0,,,0,0,0,0,0,BB,bd,ind,diff,cvi
BB_rdry_dir_sun,:=,0,0,0,BB_rdry_dir_sun,0,0,,,0,0,0,0,0,BB,rdry,dir,sun,cvi
BB_rdry_dir_shade,:=,0,0,0,BB_rdry_dir_shade,0,0,,,0,0,0,0,0,BB,rdry,dir,shade,cvi
BB_rdry_dir_diff,:=,0,0,0,BB_rdry_dir_diff,0,0,,,0,0,0,0,0,BB,rdry,dir,diff,cvi
BB_rdry_ind_sun,:=,b*c,0,0,BB_rdry_ind_sun,0.301624302678289,0.0488759588027518,6.17122016768102,6.77649714120321e-10,0.205829183715032,0.397419421641546,0.301624302678289,0.161363218992623,0.371388429439839,BB,rdry,ind,sun,cvi
BB_rdry_ind_shade,:=,B*C,0,0,BB_rdry_ind_shade,0.23927265276366,0.0453537418816455,5.27569816373834,1.3225161210606e-07,0.150380952111509,0.328164353415811,0.23927265276366,0.137122680903618,0.319591471907197,BB,rdry,ind,shade,cvi
BB_rdry_ind_diff,:=,(B*C)-(b*c),0,0,BB_rdry_ind_diff,-0.0623516499146291,0.066676991920416,-0.935129916914225,0.349721350466729,-0.193036152676113,0.0683328528468544,-0.0623516499146291,-0.0242405380890043,-0.051796957532642,BB,rdry,ind,diff,cvi
BB_h3h1_dir_sun,:=,h,0,0,BB_h3h1_dir_sun,0.208536814058697,0.0691355533158082,3.01634693087809,0.0025584035349806,0.0730336195084638,0.344040008608929,0.208536814058697,0.144736863272804,0.333121740310553,BB,h3h1,dir,sun,cvi
BB_h3h1_dir_shade,:=,H,0,0,BB_h3h1_dir_shade,0.214145367449089,0.0819783579326014,2.6122183079728,0.0089956791010708,0.0534707383894568,0.374819996508721,0.214145367449089,0.120489077366604,0.280823575870715,BB,h3h1,dir,shade,cvi
BB_h3h1_dir_diff,:=,H-h,0,0,BB_h3h1_dir_diff,0.00560855339039237,0.107238873089979,0.0522996300575305,0.958289948086584,-0.204575775608629,0.215792882389413,0.00560855339039237,-0.0242477859061996,-0.0522981644398373,BB,h3h1,dir,diff,cvi
BB_h3h1_ind_sun,:=,(b*e)+(b*c*f),0,0,BB_h3h1_ind_sun,-0.0662442416908906,0.0237682727807015,-2.78708689950231,0.00531842149738893,-0.112829200315789,-0.019659283065992,-0.0662442416908906,-0.0459774155249455,-0.105820150639738,BB,h3h1,ind,sun,cvi
