lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
B4_bd_dir_sun,:=,0,0,0,B4_bd_dir_sun,0,0,,,0,0,0,0,0,B4,bd,dir,sun,cvi
B4_bd_dir_shade,:=,0,0,0,B4_bd_dir_shade,0,0,,,0,0,0,0,0,B4,bd,dir,shade,cvi
B4_bd_dir_diff,:=,0,0,0,B4_bd_dir_diff,0,0,,,0,0,0,0,0,B4,bd,dir,diff,cvi
B4_bd_ind_sun,:=,0,0,0,B4_bd_ind_sun,0,0,,,0,0,0,0,0,B4,bd,ind,sun,cvi
B4_bd_ind_shade,:=,0,0,0,B4_bd_ind_shade,0,0,,,0,0,0,0,0,B4,bd,ind,shade,cvi
B4_bd_ind_diff,:=,0,0,0,B4_bd_ind_diff,0,0,,,0,0,0,0,0,B4,bd,ind,diff,cvi
B4_rdry_dir_sun,:=,0,0,0,B4_rdry_dir_sun,0,0,,,0,0,0,0,0,B4,rdry,dir,sun,cvi
B4_rdry_dir_shade,:=,0,0,0,B4_rdry_dir_shade,0,0,,,0,0,0,0,0,B4,rdry,dir,shade,cvi
B4_rdry_dir_diff,:=,0,0,0,B4_rdry_dir_diff,0,0,,,0,0,0,0,0,B4,rdry,dir,diff,cvi
B4_rdry_ind_sun,:=,0,0,0,B4_rdry_ind_sun,0,0,,,0,0,0,0,0,B4,rdry,ind,sun,cvi
B4_rdry_ind_shade,:=,0,0,0,B4_rdry_ind_shade,0,0,,,0,0,0,0,0,B4,rdry,ind,shade,cvi
B4_rdry_ind_diff,:=,0,0,0,B4_rdry_ind_diff,0,0,,,0,0,0,0,0,B4,rdry,ind,diff,cvi
B4_h3h1_dir_sun,:=,0,0,0,B4_h3h1_dir_sun,0,0,,,0,0,0,0,0,B4,h3h1,dir,sun,cvi
B4_h3h1_dir_shade,:=,0,0,0,B4_h3h1_dir_shade,0,0,,,0,0,0,0,0,B4,h3h1,dir,shade,cvi
B4_h3h1_dir_diff,:=,0,0,0,B4_h3h1_dir_diff,0,0,,,0,0,0,0,0,B4,h3h1,dir,diff,cvi
B4_h3h1_ind_sun,:=,0,0,0,B4_h3h1_ind_sun,0,0,,,0,0,0,0,0,B4,h3h1,ind,sun,cvi
B4_h3h1_ind_shade,:=,0,0,0,B4_h3h1_ind_shade,0,0,,,0,0,0,0,0,B4,h3h1,ind,shade,cvi
B4_h3h1_ind_diff,:=,0,0,0,B4_h3h1_ind_diff,0,0,,,0,0,0,0,0,B4,h3h1,ind,diff,cvi
B4_idry_dir_sun,:=,0,0,0,B4_idry_dir_sun,0,0,,,0,0,0,0,0,B4,idry,dir,sun,cvi
B4_idry_dir_shade,:=,0,0,0,B4_idry_dir_shade,0,0,,,0,0,0,0,0,B4,idry,dir,shade,cvi
B4_idry_dir_diff,:=,0,0,0,B4_idry_dir_diff,0,0,,,0,0,0,0,0,B4,idry,dir,diff,cvi
B4_idry_ind_sun,:=,0,0,0,B4_idry_ind_sun,0,0,,,0,0,0,0,0,B4,idry,ind,sun,cvi
B4_idry_ind_shade,:=,0,0,0,B4_idry_ind_shade,0,0,,,0,0,0,0,0,B4,idry,ind,shade,cvi
B4_idry_ind_diff,:=,0,0,0,B4_idry_ind_diff,0,0,,,0,0,0,0,0,B4,idry,ind,diff,cvi
