lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
AB_bd_dir_sun,:=,a,0,0,AB_bd_dir_sun,0.477535984667252,0.0814158006785565,5.86539689700585,4.48059611635188e-09,0.31796394756479,0.637108021769714,0.477535984667252,0.324399664589427,0.706387041449625,AB,bd,dir,sun,ita
AB_bd_dir_shade,:=,A,0,0,AB_bd_dir_shade,0.680217576735102,0.0946204767573777,7.18890455899193,6.53033183084517e-13,0.494764850090633,0.865670303379572,0.680217576735102,0.424252473301001,0.922983846045257,AB,bd,dir,shade,ita
AB_bd_dir_diff,:=,A-a,0,0,AB_bd_dir_diff,0.20268159206785,0.12482614798961,1.62371101994369,0.10443749800231,-0.041973162320651,0.447336346456352,0.20268159206785,0.0998528087115738,0.216596804595631,AB,bd,dir,diff,ita
AB_bd_ind_sun,:=,0,0,0,AB_bd_ind_sun,0,0,,,0,0,0,0,0,AB,bd,ind,sun,ita
AB_bd_ind_shade,:=,0,0,0,AB_bd_ind_shade,0,0,,,0,0,0,0,0,AB,bd,ind,shade,ita
AB_bd_ind_diff,:=,0,0,0,AB_bd_ind_diff,0,0,,,0,0,0,0,0,AB,bd,ind,diff,ita
AB_rdry_dir_sun,:=,d,0,0,AB_rdry_dir_sun,-0.110051311300417,0.0845994884560214,-1.30085078892205,0.193309533404405,-0.275863261784731,0.0557606391838966,-0.110051311300417,-0.0534352518127151,-0.116356376276999,AB,rdry,dir,sun,ita
AB_rdry_dir_shade,:=,D,0,0,AB_rdry_dir_shade,0.375222882484144,0.106464021969048,3.52441017673776,0.00042442668561371,0.16655723377553,0.583888531192759,0.375222882484144,0.180309220394647,0.392272309981793,AB,rdry,dir,shade,ita
AB_rdry_dir_diff,:=,D-d,0,0,AB_rdry_dir_diff,0.485274193784562,0.135984048405857,3.56861116780563,0.000358878575465571,0.218750356437131,0.751798031131992,0.485274193784562,0.233744472207362,0.508628686258792,AB,rdry,dir,diff,ita
AB_rdry_ind_sun,:=,a*c,0,0,AB_rdry_ind_sun,0.442985085770437,0.0803568705085488,5.51272197345353,3.53326143898158e-08,0.285488513663333,0.600481657877542,0.442985085770437,0.215090754737156,0.468364608435229,AB,rdry,ind,sun,ita
AB_rdry_ind_shade,:=,A*C,0,0,AB_rdry_ind_shade,0.477657472164123,0.0803422714963477,5.94528214435457,2.75981082431542e-09,0.320189513595142,0.635125430733103,0.477657472164123,0.229533033410429,0.499361336242072,AB,rdry,ind,shade,ita
AB_rdry_ind_diff,:=,(A*C)-(a*c),0,0,AB_rdry_ind_diff,0.0346723863936856,0.113631453511431,0.305130184664915,0.760267002678759,-0.188041169999657,0.257385942787028,0.0346723863936856,0.0144422786732726,0.0309967278068433,AB,rdry,ind,diff,ita
AB_h3h1_dir_sun,:=,g,0,0,AB_h3h1_dir_sun,0.250941404907252,0.124685885543582,2.01258870491432,0.0441579162106733,0.00656155986134918,0.495321249953156,0.250941404907252,0.122747198100364,0.267284586197358,AB,h3h1,dir,sun,ita
AB_h3h1_dir_shade,:=,G,0,0,AB_h3h1_dir_shade,0.669328344800355,0.128896445905587,5.19276028208427,2.07198899371264e-07,0.41669595309019,0.921960736510521,0.669328344800355,0.338660787894351,0.736774576900757,AB,h3h1,dir,shade,ita
AB_h3h1_dir_diff,:=,G-g,0,0,AB_h3h1_dir_diff,0.418386939893103,0.179334502594674,2.33299746473621,0.0196482783790435,0.0668977736221379,0.769876106164068,0.418386939893103,0.215913589793988,0.469489990703399,AB,h3h1,dir,diff,ita
AB_h3h1_ind_sun,:=,(a*e)+(a*c*f)+(d*f),0,0,AB_h3h1_ind_sun,-0.060219169676137,0.0416950532774083,-1.44427611773231,0.148661320908457,-0.141939972433336,0.021501633081062,-0.060219169676137,-0.0294560172419859,-0.0641410924354381,AB,h3h1,ind,sun,ita
AB_h3h1_ind_shade,:=,(A*E)+(A*C*F)+(D*F),0,0,AB_h3h1_ind_shade,-0.16587531068816,0.0707093026129511,-2.34587677375535,0.01898238211742,-0.304462997181488,-0.0272876241948322,-0.16587531068816,-0.0839281106892738,-0.182590073765671,AB,h3h1,ind,shade,ita
AB_h3h1_ind_diff,:=,((A*E)+(A*C*F)+(D*F))-((a*e)+(a*c*f)+(d*f)),0,0,AB_h3h1_ind_diff,-0.105656141012023,0.082087044920717,-1.28712321309739,0.198051345716458,-0.26654379265395,0.0552315106299036,-0.105656141012023,-0.0544720934472879,-0.118448981330232,AB,h3h1,ind,diff,ita
AB_idry_dir_sun,:=,0,0,0,AB_idry_dir_sun,0,0,,,0,0,0,0,0,AB,idry,dir,sun,ita
AB_idry_dir_shade,:=,0,0,0,AB_idry_dir_shade,0,0,,,0,0,0,0,0,AB,idry,dir,shade,ita
AB_idry_dir_diff,:=,0,0,0,AB_idry_dir_diff,0,0,,,0,0,0,0,0,AB,idry,dir,diff,ita
AB_idry_ind_sun,:=,(a*i)+(a*c*j)+(a*e*k)+(a*c*f*k)+(d*j)+(d*f*k)+(g*k),0,0,AB_idry_ind_sun,0.281077206420826,0.0865672953207053,3.24692143123475,0.00116660590085704,0.1114084253532,0.450745987488451,0.281077206420826,0.139875194420398,0.304581155729211,AB,idry,ind,sun,ita
AB_idry_ind_shade,:=,(A*I)+(A*C*J)+(A*E*K)+(A*C*F*K)+(D*J)+(D*F*K)+(G*K),0,0,AB_idry_ind_shade,0.626405095718891,0.102996281987717,6.08182240785732,1.18824150519004e-09,0.424536092481433,0.828274098956348,0.626405095718891,0.295094992262233,0.641994868733859,AB,idry,ind,shade,ita
AB_idry_ind_diff,:=,((A*I)+(A*C*J)+(A*E*K)+(A*C*F*K)+(D*J)+(D*F*K)+(G*K))-((a*i)+(a*c*j)+(a*e*k)+(a*c*f*k)+(d*j)+(d*f*k)+(g*k)),0,0,AB_idry_ind_diff,0.345327889298065,0.134544159005271,2.56665091856226,0.0102685929481943,0.081626183317504,0.609029595278626,0.345327889298065,0.155219797841835,0.337413713004648,AB,idry,ind,diff,ita
BA_bd_dir_sun,:=,b,0,0,BA_bd_dir_sun,0.694686191108314,0.108572143809135,6.3983832936885,1.57030610736797e-10,0.481888699518107,0.907483682698522,0.694686191108314,0.353877739364358,1.0276028174397,BA,bd,dir,sun,ita
BA_bd_dir_shade,:=,B,0,0,BA_bd_dir_shade,0.116163462762797,0.160363702125216,0.724375037638464,0.468835520625262,-0.198143617830136,0.43047054335573,0.116163462762797,0.0427489193650831,0.157621624753303,BA,bd,dir,shade,ita
BA_bd_dir_diff,:=,B-b,0,0,BA_bd_dir_diff,-0.578522728345518,0.19366059839476,-2.98730218299879,0.00281451373422303,-0.958090526423722,-0.198954930267313,-0.578522728345518,-0.311128819999274,-0.869981192686401,BA,bd,dir,diff,ita
BA_bd_ind_sun,:=,0,0,0,BA_bd_ind_sun,0,0,,,0,0,0,0,0,BA,bd,ind,sun,ita
BA_bd_ind_shade,:=,0,0,0,BA_bd_ind_shade,0,0,,,0,0,0,0,0,BA,bd,ind,shade,ita
BA_bd_ind_diff,:=,0,0,0,BA_bd_ind_diff,0,0,,,0,0,0,0,0,BA,bd,ind,diff,ita
BA_rdry_dir_sun,:=,0,0,0,BA_rdry_dir_sun,0,0,,,0,0,0,0,0,BA,rdry,dir,sun,ita
BA_rdry_dir_shade,:=,0,0,0,BA_rdry_dir_shade,0,0,,,0,0,0,0,0,BA,rdry,dir,shade,ita
BA_rdry_dir_diff,:=,0,0,0,BA_rdry_dir_diff,0,0,,,0,0,0,0,0,BA,rdry,dir,diff,ita
BA_rdry_ind_sun,:=,b*c,0,0,BA_rdry_ind_sun,0.644423942556048,0.108340903801313,5.94811303898535,2.71251243688653e-09,0.432079673052956,0.856768212059141,0.644423942556048,0.234635970234104,0.681344309812636,BA,rdry,ind,sun,ita
BA_rdry_ind_shade,:=,B*C,0,0,BA_rdry_ind_shade,0.0815714675404762,0.112873306978622,0.722681648336267,0.469875492827027,-0.139656148953557,0.302799084034509,0.0815714675404762,0.0231284194068179,0.0852779227878235,BA,rdry,ind,shade,ita
BA_rdry_ind_diff,:=,(B*C)-(b*c),0,0,BA_rdry_ind_diff,-0.562852475015572,0.156454897222093,-3.59753823631729,0.00032124328254457,-0.86949843877579,-0.256206511255354,-0.562852475015572,-0.211507550827286,-0.596066387024813,BA,rdry,ind,diff,ita
