lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
FRIFLC_bd_dir_sun,:=,a,0,0,FRIFLC_bd_dir_sun,-0.292949076584334,0.163502584717645,-1.79170914692408,0.0731795685713199,-0.613408254010128,0.0275101008414592,-0.292949076584334,-0.10780716799327,-0.397501065091975,FRIFLC,bd,dir,sun,ita
FRIFLC_bd_dir_shade,:=,A,0,0,FRIFLC_bd_dir_shade,0.421182232314663,0.102780920307658,4.09786399123418,4.16980155457658e-05,0.219735330213771,0.622629134415555,0.421182232314663,0.21455300222786,0.623026670102274,FRIFLC,bd,dir,shade,ita
FRIFLC_bd_dir_diff,:=,A-a,0,0,FRIFLC_bd_dir_diff,0.714131308898997,0.193124345406373,3.69777982882645,0.000217493403572799,0.335614547364633,1.09264807043336,0.714131308898997,0.32236017022113,1.02052773519425,FRIFLC,bd,dir,diff,ita
FRIFLC_bd_ind_sun,:=,0,0,0,FRIFLC_bd_ind_sun,0,0,,,0,0,0,0,0,FRIFLC,bd,ind,sun,ita
FRIFLC_bd_ind_shade,:=,0,0,0,FRIFLC_bd_ind_shade,0,0,,,0,0,0,0,0,FRIFLC,bd,ind,shade,ita
FRIFLC_bd_ind_diff,:=,0,0,0,FRIFLC_bd_ind_diff,0,0,,,0,0,0,0,0,FRIFLC,bd,ind,diff,ita
FRIFLC_rdry_dir_sun,:=,0,0,0,FRIFLC_rdry_dir_sun,0,0,,,0,0,0,0,0,FRIFLC,rdry,dir,sun,ita
FRIFLC_rdry_dir_shade,:=,0,0,0,FRIFLC_rdry_dir_shade,0,0,,,0,0,0,0,0,FRIFLC,rdry,dir,shade,ita
FRIFLC_rdry_dir_diff,:=,0,0,0,FRIFLC_rdry_dir_diff,0,0,,,0,0,0,0,0,FRIFLC,rdry,dir,diff,ita
FRIFLC_rdry_ind_sun,:=,a*b,0,0,FRIFLC_rdry_ind_sun,-0.233758518698849,0.131723138095071,-1.77462002560351,0.0759606483995654,-0.491931125295784,0.0244140878980861,-0.233758518698849,-0.0662788630783055,-0.244380027387013,FRIFLC,rdry,ind,sun,ita
FRIFLC_rdry_ind_shade,:=,A*B,0,0,FRIFLC_rdry_ind_shade,0.385279672394828,0.0970099989749725,3.97154598975129,7.14077115451239e-05,0.195143568263615,0.575415776526042,0.385279672394828,0.140281060675183,0.407353153781809,FRIFLC,rdry,ind,shade,ita
FRIFLC_rdry_ind_diff,:=,(A*B)-(a*b),0,0,FRIFLC_rdry_ind_diff,0.619038191093677,0.163590724097478,3.78406657534453,0.000154286523400993,0.298406263657791,0.939670118529564,0.619038191093677,0.206559923753488,0.651733181168821,FRIFLC,rdry,ind,diff,ita
FRIFLC_h3h1_dir_sun,:=,0,0,0,FRIFLC_h3h1_dir_sun,0,0,,,0,0,0,0,0,FRIFLC,h3h1,dir,sun,ita
FRIFLC_h3h1_dir_shade,:=,0,0,0,FRIFLC_h3h1_dir_shade,0,0,,,0,0,0,0,0,FRIFLC,h3h1,dir,shade,ita
FRIFLC_h3h1_dir_diff,:=,0,0,0,FRIFLC_h3h1_dir_diff,0,0,,,0,0,0,0,0,FRIFLC,h3h1,dir,diff,ita
FRIFLC_h3h1_ind_sun,:=,(a*c)+(a*b*d),0,0,FRIFLC_h3h1_ind_sun,0.0608493431539777,0.0402591583574646,1.51144101458086,0.130676126273487,-0.0180571572745476,0.139755843582503,0.0608493431539777,0.0181035077207608,0.066750325927794,FRIFLC,h3h1,ind,sun,ita
FRIFLC_h3h1_ind_shade,:=,(A*C)+(A*B*D),0,0,FRIFLC_h3h1_ind_shade,-0.00185373675114385,0.0314075986383857,-0.0590219192650486,0.952934649494727,-0.063411498923269,0.0597040254209813,-0.00185373675114385,-0.000678892763175072,-0.0019713930506938,FRIFLC,h3h1,ind,shade,ita
FRIFLC_h3h1_ind_diff,:=,((A*C)+(A*B*D))-((a*c)+(a*b*d)),0,0,FRIFLC_h3h1_ind_diff,-0.0627030799051215,0.0510611112675913,-1.22800069071194,0.219446708690039,-0.162781019000193,0.0373748591899497,-0.0627030799051215,-0.0187824004839359,-0.0687217189784878,FRIFLC,h3h1,ind,diff,ita
FRIFLC_idry_dir_sun,:=,h,0,0,FRIFLC_idry_dir_sun,-0.00722438043195935,0.144552838128,-0.0499774374928719,0.960140368120699,-0.290542737025887,0.276093976161969,-0.00722438043195935,-0.00199920287403201,-0.00737135838511472,FRIFLC,idry,dir,sun,ita
FRIFLC_idry_dir_shade,:=,H,0,0,FRIFLC_idry_dir_shade,-0.299290279387848,0.100833558347947,-2.96816143644445,0.00299586938716656,-0.496920422182843,-0.101660136592854,-0.299290279387848,-0.11065370844846,-0.321320190317803,FRIFLC,idry,dir,shade,ita
FRIFLC_idry_dir_diff,:=,H-h,0,0,FRIFLC_idry_dir_diff,-0.292065898955889,0.176246785786205,-1.65714170419072,0.0974908292467001,-0.637503251487797,0.0533714535760197,-0.292065898955889,-0.108654505574428,-0.313948831932688,FRIFLC,idry,dir,diff,ita
FRIFLC_idry_ind_sun,:=,(a*e)+(a*b*f)+(a*c*g)+(a*b*d*g),0,0,FRIFLC_idry_ind_sun,-0.0522995884423375,0.0374264874757943,-1.3973950527995,0.16229480601692,-0.125654155962734,0.0210549790780588,-0.0522995884423375,-0.0144728656677698,-0.0533636086074603,FRIFLC,idry,ind,sun,ita
FRIFLC_idry_ind_shade,:=,(A*E)+(A*B*F)+(A*C*G)+(A*B*D*G),0,0,FRIFLC_idry_ind_shade,0.221370748861166,0.061419706037151,3.60423002883253,0.000313079686504292,0.100990337087313,0.34175116063502,0.221370748861166,0.0818452719333301,0.237665223542681,FRIFLC,idry,ind,shade,ita
FRIFLC_idry_ind_diff,:=,((A*E)+(A*B*F)+(A*C*G)+(A*B*D*G))-((a*e)+(a*b*f)+(a*c*g)+(a*b*d*g)),0,0,FRIFLC_idry_ind_diff,0.273670337303504,0.0719244204319078,3.80497104683092,0.000141820778829072,0.132701063648048,0.41463961095896,0.273670337303504,0.0963181376010999,0.291028832150142,FRIFLC,idry,ind,diff,ita
