lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
B4_bd_dir_sun,:=,a,0,0,B4_bd_dir_sun,-0.0855623182975066,0.14698467987222,-0.582117254477744,0.560487703681819,-0.373646997126206,0.202522360531193,-0.0855623182975066,-0.033106103385208,-0.116099081360134,B4,bd,dir,sun,ita
B4_bd_dir_shade,:=,A,0,0,B4_bd_dir_shade,0.56215490135163,0.100538300574503,5.59145020494004,2.25180876167741e-08,0.365103453158741,0.759206349544519,0.56215490135163,0.29503890153157,0.831558294553424,B4,bd,dir,shade,ita
B4_bd_dir_diff,:=,A-a,0,0,B4_bd_dir_diff,0.647717219649136,0.17807988656653,3.63722839304007,0.000275587549226408,0.29868705560776,0.996747383690512,0.647717219649136,0.328145004916778,0.947657375913558,B4,bd,dir,diff,ita
B4_bd_ind_sun,:=,0,0,0,B4_bd_ind_sun,0,0,,,0,0,0,0,0,B4,bd,ind,sun,ita
B4_bd_ind_shade,:=,0,0,0,B4_bd_ind_shade,0,0,,,0,0,0,0,0,B4,bd,ind,shade,ita
B4_bd_ind_diff,:=,0,0,0,B4_bd_ind_diff,0,0,,,0,0,0,0,0,B4,bd,ind,diff,ita
B4_rdry_dir_sun,:=,0,0,0,B4_rdry_dir_sun,0,0,,,0,0,0,0,0,B4,rdry,dir,sun,ita
B4_rdry_dir_shade,:=,0,0,0,B4_rdry_dir_shade,0,0,,,0,0,0,0,0,B4,rdry,dir,shade,ita
B4_rdry_dir_diff,:=,0,0,0,B4_rdry_dir_diff,0,0,,,0,0,0,0,0,B4,rdry,dir,diff,ita
B4_rdry_ind_sun,:=,a*c,0,0,B4_rdry_ind_sun,-0.0613372628815049,0.105519772482848,-0.581286913705913,0.561047098857162,-0.268152216604748,0.145477690841738,-0.0613372628815049,-0.0182852949234041,-0.0641243071800124,B4,rdry,ind,sun,ita
B4_rdry_ind_shade,:=,A*C,0,0,B4_rdry_ind_shade,0.5184083833957,0.0981978656313029,5.27922251734202,1.29733180420644e-07,0.325944103399643,0.710872663391757,0.5184083833957,0.194470536930589,0.54810937537871,B4,rdry,ind,shade,ita
B4_rdry_ind_diff,:=,(A*C)-(a*c),0,0,B4_rdry_ind_diff,0.579745646277205,0.144143134416369,4.02201359519881,5.77027264634378e-05,0.297230294202406,0.862260998352004,0.579745646277205,0.212755831853993,0.612233682558722,B4,rdry,ind,diff,ita
B4_h3h1_dir_sun,:=,g,0,0,B4_h3h1_dir_sun,0.557220439498902,0.177222670276427,3.14418261856547,0.00166551467538412,0.209870388513087,0.904570490484717,0.557220439498902,0.174599664925364,0.61229980670812,B4,h3h1,dir,sun,ita
B4_h3h1_dir_shade,:=,G,0,0,B4_h3h1_dir_shade,0.346245577733171,0.151799087916871,2.28094636459728,0.0225516208975631,0.0487248325300742,0.643766322936268,0.346245577733171,0.130909707110107,0.368965082976763,B4,h3h1,dir,shade,ita
B4_h3h1_dir_diff,:=,G-g,0,0,B4_h3h1_dir_diff,-0.210974861765731,0.233347033305121,-0.904124894057958,0.365929179568026,-0.668326642943037,0.246376919411574,-0.210974861765731,-0.0436899578152568,-0.243334723731356,B4,h3h1,dir,diff,ita
B4_h3h1_ind_sun,:=,(a*e)+(a*c*f),0,0,B4_h3h1_ind_sun,0.0301135246673867,0.0521256658644454,0.577710119726776,0.563459845756031,-0.0720509030970953,0.132277952431869,0.0301135246673867,0.00943578329857325,0.0330901453466467,B4,h3h1,ind,sun,ita
B4_h3h1_ind_shade,:=,(A*E)+(A*C*F),0,0,B4_h3h1_ind_shade,-0.03437353401516,0.0443869006824324,-0.77440716712993,0.438690046616071,-0.121370260738084,0.0526231927077638,-0.03437353401516,-0.0129960627937077,-0.0366290131794312,B4,h3h1,ind,shade,ita
B4_h3h1_ind_diff,:=,((A*E)+(A*C*F))-((a*e)+(a*c*f)),0,0,B4_h3h1_ind_diff,-0.0644870586825467,0.0684637275789445,-0.941915682405513,0.346235810390011,-0.19867349898464,0.0696993816195462,-0.0644870586825467,-0.022431846092281,-0.069719158526078,B4,h3h1,ind,diff,ita
B4_idry_dir_sun,:=,l,0,0,B4_idry_dir_sun,-0.0158674432881261,0.138779985917404,-0.114335242097299,0.908972046513443,-0.287871217461215,0.256136330884963,-0.0158674432881261,-0.00462628687238225,-0.0162238258529697,B4,idry,dir,sun,ita
B4_idry_dir_shade,:=,L,0,0,B4_idry_dir_shade,-0.316232939991881,0.0983752325767918,-3.21455849921401,0.00130645291413578,-0.509044852813144,-0.123421027170617,-0.316232939991881,-0.121294417927772,-0.341864678817872,B4,idry,dir,shade,ita
B4_idry_dir_diff,:=,L-l,0,0,B4_idry_dir_diff,-0.300365496703754,0.170110466684954,-1.76570849846667,0.0774447662746969,-0.633775884799565,0.0330448913920561,-0.300365496703754,-0.116668131055389,-0.325640852964903,B4,idry,dir,diff,ita
