lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
BA_bd_dir_sun,:=,a,0,0,BA_bd_dir_sun,-0.0798932180906777,0.122456442374267,-0.652421518555126,0.514129286358922,-0.319903434819146,0.160116998637791,-0.0798932180906777,-0.0370146460856775,-0.131931695442628,BA,bd,dir,sun,jea
BA_bd_dir_shade,:=,A,0,0,BA_bd_dir_shade,0.771548395037081,0.0867400401202792,8.89495086660329,0,0.601541040383774,0.941555749690387,0.771548395037081,0.406033539955097,1.09756978569644,BA,bd,dir,shade,jea
BA_bd_dir_diff,:=,A-a,0,0,BA_bd_dir_diff,0.851441613127758,0.150064702175528,5.6738300265431,1.3963968870101e-08,0.557320201512994,1.14556302474252,0.851441613127758,0.443048186040775,1.22950148113907,BA,bd,dir,diff,jea
BA_bd_ind_sun,:=,0,0,0,BA_bd_ind_sun,0,0,,,0,0,0,0,0,BA,bd,ind,sun,jea
BA_bd_ind_shade,:=,0,0,0,BA_bd_ind_shade,0,0,,,0,0,0,0,0,BA,bd,ind,shade,jea
BA_bd_ind_diff,:=,0,0,0,BA_bd_ind_diff,0,0,,,0,0,0,0,0,BA,bd,ind,diff,jea
BA_rdry_dir_sun,:=,d,0,0,BA_rdry_dir_sun,0.360938207245611,0.14092996497643,2.56111755442483,0.0104336045559321,0.0847205515493171,0.637155862941904,0.360938207245611,0.128039914622459,0.456374025064817,BA,rdry,dir,sun,jea
BA_rdry_dir_shade,:=,D,0,0,BA_rdry_dir_shade,0.488241541639067,0.100950089436334,4.83646467640812,1.32168747102313e-06,0.290383002107756,0.686100081170378,0.488241541639067,0.176615691139203,0.477418802140634,BA,rdry,dir,shade,jea
BA_rdry_dir_diff,:=,D-d,0,0,BA_rdry_dir_diff,0.127303334393456,0.17335563326717,0.734347837415014,0.46273676948444,-0.21246746332733,0.467074132114243,0.127303334393456,0.0485757765167441,0.0210447770758169,BA,rdry,dir,diff,jea
BA_rdry_ind_sun,:=,a*c,0,0,BA_rdry_ind_sun,-0.0528319847733838,0.0811461427897989,-0.651072040605058,0.51499998398933,-0.211875502125734,0.106211532578967,-0.0528319847733838,-0.0187417200061504,-0.0668013113025332,BA,rdry,ind,sun,jea
BA_rdry_ind_shade,:=,A*C,0,0,BA_rdry_ind_shade,0.742400713143742,0.0929849843899147,7.98409246411902,1.33226762955019e-15,0.56015349263649,0.924647933650994,0.742400713143742,0.268554811239412,0.725944084945264,BA,rdry,ind,shade,jea
BA_rdry_ind_diff,:=,(A*C)-(a*c),0,0,BA_rdry_ind_diff,0.795232697917126,0.123413547925887,6.44364181471135,1.16640253011724e-10,0.553346588778081,1.03711880705617,0.795232697917126,0.287296531245562,0.792745396247797,BA,rdry,ind,diff,jea
BA_h3h1_dir_sun,:=,0,0,0,BA_h3h1_dir_sun,0,0,,,0,0,0,0,0,BA,h3h1,dir,sun,jea
BA_h3h1_dir_shade,:=,0,0,0,BA_h3h1_dir_shade,0,0,,,0,0,0,0,0,BA,h3h1,dir,shade,jea
BA_h3h1_dir_diff,:=,0,0,0,BA_h3h1_dir_diff,0,0,,,0,0,0,0,0,BA,h3h1,dir,diff,jea
BA_h3h1_ind_sun,:=,(a*e)+(a*c*f)+(d*f),0,0,BA_h3h1_ind_sun,0.0996247380424214,0.0513436013727542,1.94035352758266,0.0523367402852537,-0.001006871484758,0.200256347569601,0.0996247380424214,0.0374065240419714,0.13332847019662,BA,h3h1,ind,sun,jea
BA_h3h1_ind_shade,:=,(A*E)+(A*C*F)+(D*F),0,0,BA_h3h1_ind_shade,0.0848116017697376,0.0638784837285888,1.3277021748057,0.18427651481749,-0.0403879257253243,0.2100111292648,0.0848116017697376,0.0354205423294422,0.0957470583786669,BA,h3h1,ind,shade,jea
BA_h3h1_ind_diff,:=,((A*E)+(A*C*F)+(D*F))-((a*e)+(a*c*f)+(d*f)),0,0,BA_h3h1_ind_diff,-0.0148131362726838,0.0819550247720533,-0.180747139225258,0.856566056355815,-0.175442033177996,0.145815760632629,-0.0148131362726838,-0.0019859817125292,-0.0375814118179533,BA,h3h1,ind,diff,jea
BA_idry_dir_sun,:=,k,0,0,BA_idry_dir_sun,-0.12253344352531,0.11259241068184,-1.08829221066738,0.276466128136776,-0.34321051339426,0.0981436263436403,-0.12253344352531,-0.0462612311368432,-0.16488939656534,BA,idry,dir,sun,jea
BA_idry_dir_shade,:=,K,0,0,BA_idry_dir_shade,-0.436165299273231,0.0967064478440906,-4.51019874058878,6.47669192166411e-06,-0.62570645412045,-0.246624144426013,-0.436165299273231,-0.17989561205902,-0.486284922169691,BA,idry,dir,shade,jea
BA_idry_dir_diff,:=,K-k,0,0,BA_idry_dir_diff,-0.313631855747922,0.148422329848881,-2.11310424831124,0.0345918461528929,-0.604534276753253,-0.022729434742591,-0.313631855747922,-0.133634380922177,-0.321395525604351,BA,idry,dir,diff,jea
BA_idry_ind_sun,:=,(a*g)+(a*c*h)+(a*e*i)+(a*c*f*i)+(d*h)+(d*f*i),0,0,BA_idry_ind_sun,0.203733345962785,0.0879115910833111,2.31747990739597,0.0204776039285537,0.0314297936158823,0.376036898309687,0.203733345962785,0.0769174123954173,0.274157548417404,BA,idry,ind,sun,jea
BA_idry_ind_shade,:=,(A*G)+(A*C*H)+(A*E*I)+(D*H)+(D*F*I),0,0,BA_idry_ind_shade,0.621192465337984,0.0832272576621394,7.46381032833873,8.41549052665869e-14,0.458070037788156,0.784314892887813,0.621192465337984,0.256209741913521,0.692573504042208,BA,idry,ind,shade,jea
BA_idry_ind_diff,:=,((A*G)+(A*C*H)+(A*E*I)+(D*H)+(D*F*I))-((a*g)+(a*c*h)+(a*e*i)+(d*h)+(d*f*i)),0,0,BA_idry_ind_diff,0.412782939607431,0.120333323584616,3.43032941591753,0.000602848890714158,0.176933959241579,0.648631919973283,0.412782939607431,0.177526886330918,0.412123367756912,BA,idry,ind,diff,jea
BB_bd_dir_sun,:=,b,0,0,BB_bd_dir_sun,0.54957465758447,0.132538258491664,4.14653598016784,3.37543157613585e-05,0.289804444367149,0.809344870801791,0.54957465758447,0.235250612406758,0.907540315438626,BB,bd,dir,sun,jea
BB_bd_dir_shade,:=,B,0,0,BB_bd_dir_shade,0.681707823566879,0.0951262029287652,7.16635167365372,7.70272734484934e-13,0.495263891840451,0.868151755293308,0.681707823566879,0.327127061436812,0.96976665965837,BB,bd,dir,shade,jea
BB_bd_dir_diff,:=,B-b,0,0,BB_bd_dir_diff,0.13213316598241,0.163142221535836,0.809926239440017,0.417982569991124,-0.187619712585683,0.451886044550502,0.13213316598241,0.0918764490300542,0.0622263442197443,BB,bd,dir,diff,jea
BB_bd_ind_sun,:=,0,0,0,BB_bd_ind_sun,0,0,,,0,0,0,0,0,BB,bd,ind,sun,jea
BB_bd_ind_shade,:=,0,0,0,BB_bd_ind_shade,0,0,,,0,0,0,0,0,BB,bd,ind,shade,jea
BB_bd_ind_diff,:=,0,0,0,BB_bd_ind_diff,0,0,,,0,0,0,0,0,BB,bd,ind,diff,jea
BB_rdry_dir_sun,:=,0,0,0,BB_rdry_dir_sun,0,0,,,0,0,0,0,0,BB,rdry,dir,sun,jea
BB_rdry_dir_shade,:=,0,0,0,BB_rdry_dir_shade,0,0,,,0,0,0,0,0,BB,rdry,dir,shade,jea
BB_rdry_dir_diff,:=,0,0,0,BB_rdry_dir_diff,0,0,,,0,0,0,0,0,BB,rdry,dir,diff,jea
BB_rdry_ind_sun,:=,b*c,0,0,BB_rdry_ind_sun,0.363424088242207,0.0947064152846607,3.83737561124932,0.000124356188885733,0.177802925179378,0.549045251305035,0.363424088242207,0.119115041618861,0.459517198864305,BB,rdry,ind,sun,jea
BB_rdry_ind_shade,:=,B*C,0,0,BB_rdry_ind_shade,0.655954153527073,0.0984368759976874,6.66370348387004,2.67010857868399e-11,0.46302142182097,0.848886885233175,0.655954153527073,0.216365244716439,0.64141376660566,BB,rdry,ind,shade,jea
BB_rdry_ind_diff,:=,(B*C)-(b*c),0,0,BB_rdry_ind_diff,0.292530065284866,0.136598402817363,2.14153357031552,0.0322310342885794,0.0248021154171389,0.560258015152593,0.292530065284866,0.0972502030975784,0.181896567741355,BB,rdry,ind,diff,jea
BB_h3h1_dir_sun,:=,0,0,0,BB_h3h1_dir_sun,0,0,,,0,0,0,0,0,BB,h3h1,dir,sun,jea
BB_h3h1_dir_shade,:=,0,0,0,BB_h3h1_dir_shade,0,0,,,0,0,0,0,0,BB,h3h1,dir,shade,jea
BB_h3h1_dir_diff,:=,0,0,0,BB_h3h1_dir_diff,0,0,,,0,0,0,0,0,BB,h3h1,dir,diff,jea
BB_h3h1_ind_sun,:=,(b*e)+(b*c*f),0,0,BB_h3h1_ind_sun,-0.157978138341769,0.0540697695255792,-2.92174610189587,0.00348075162065675,-0.263952939264286,-0.0520033374192525,-0.157978138341769,-0.0548046654844523,-0.211423226032968,BB,h3h1,ind,sun,jea
