lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
AB_bd_dir_sun,:=,0,0,0,AB_bd_dir_sun,0,0,,,0,0,0,0,0,AB,bd,dir,sun,oy
AB_bd_dir_shade,:=,0,0,0,AB_bd_dir_shade,0,0,,,0,0,0,0,0,AB,bd,dir,shade,oy
AB_bd_dir_diff,:=,0,0,0,AB_bd_dir_diff,0,0,,,0,0,0,0,0,AB,bd,dir,diff,oy
AB_bd_ind_sun,:=,0,0,0,AB_bd_ind_sun,0,0,,,0,0,0,0,0,AB,bd,ind,sun,oy
AB_bd_ind_shade,:=,0,0,0,AB_bd_ind_shade,0,0,,,0,0,0,0,0,AB,bd,ind,shade,oy
AB_bd_ind_diff,:=,0,0,0,AB_bd_ind_diff,0,0,,,0,0,0,0,0,AB,bd,ind,diff,oy
AB_rdry_dir_sun,:=,0,0,0,AB_rdry_dir_sun,0,0,,,0,0,0,0,0,AB,rdry,dir,sun,oy
AB_rdry_dir_shade,:=,0,0,0,AB_rdry_dir_shade,0,0,,,0,0,0,0,0,AB,rdry,dir,shade,oy
AB_rdry_dir_diff,:=,0,0,0,AB_rdry_dir_diff,0,0,,,0,0,0,0,0,AB,rdry,dir,diff,oy
AB_rdry_ind_sun,:=,0,0,0,AB_rdry_ind_sun,0,0,,,0,0,0,0,0,AB,rdry,ind,sun,oy
AB_rdry_ind_shade,:=,0,0,0,AB_rdry_ind_shade,0,0,,,0,0,0,0,0,AB,rdry,ind,shade,oy
AB_rdry_ind_diff,:=,0,0,0,AB_rdry_ind_diff,0,0,,,0,0,0,0,0,AB,rdry,ind,diff,oy
AB_h3h1_dir_sun,:=,0,0,0,AB_h3h1_dir_sun,0,0,,,0,0,0,0,0,AB,h3h1,dir,sun,oy
AB_h3h1_dir_shade,:=,0,0,0,AB_h3h1_dir_shade,0,0,,,0,0,0,0,0,AB,h3h1,dir,shade,oy
AB_h3h1_dir_diff,:=,0,0,0,AB_h3h1_dir_diff,0,0,,,0,0,0,0,0,AB,h3h1,dir,diff,oy
AB_h3h1_ind_sun,:=,0,0,0,AB_h3h1_ind_sun,0,0,,,0,0,0,0,0,AB,h3h1,ind,sun,oy
AB_h3h1_ind_shade,:=,0,0,0,AB_h3h1_ind_shade,0,0,,,0,0,0,0,0,AB,h3h1,ind,shade,oy
AB_h3h1_ind_diff,:=,0,0,0,AB_h3h1_ind_diff,0,0,,,0,0,0,0,0,AB,h3h1,ind,diff,oy
AB_idry_dir_sun,:=,0,0,0,AB_idry_dir_sun,0,0,,,0,0,0,0,0,AB,idry,dir,sun,oy
AB_idry_dir_shade,:=,0,0,0,AB_idry_dir_shade,0,0,,,0,0,0,0,0,AB,idry,dir,shade,oy
AB_idry_dir_diff,:=,0,0,0,AB_idry_dir_diff,0,0,,,0,0,0,0,0,AB,idry,dir,diff,oy
AB_idry_ind_sun,:=,0,0,0,AB_idry_ind_sun,0,0,,,0,0,0,0,0,AB,idry,ind,sun,oy
AB_idry_ind_shade,:=,0,0,0,AB_idry_ind_shade,0,0,,,0,0,0,0,0,AB,idry,ind,shade,oy
AB_idry_ind_diff,:=,0,0,0,AB_idry_ind_diff,0,0,,,0,0,0,0,0,AB,idry,ind,diff,oy
BA_bd_dir_sun,:=,0,0,0,BA_bd_dir_sun,0,0,,,0,0,0,0,0,BA,bd,dir,sun,oy
BA_bd_dir_shade,:=,0,0,0,BA_bd_dir_shade,0,0,,,0,0,0,0,0,BA,bd,dir,shade,oy
