lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
AB_bd_dir_sun,:=,a,0,0,AB_bd_dir_sun,-0.418011615433857,0.0224614569058226,-18.6101737383517,0,-0.462035262009568,-0.373987968858146,-0.418011615433857,-0.673240785313288,-0.413387561106093,AB,bd,dir,sun,sha
AB_bd_dir_shade,:=,A,0,0,AB_bd_dir_shade,-0.43172245117421,0.0203598494172874,-21.2045994214298,0,-0.471627022762753,-0.391817879585668,-0.43172245117421,-0.658916072419394,-0.413126198319476,AB,bd,dir,shade,sha
AB_bd_dir_diff,:=,A-a,0,0,AB_bd_dir_diff,-0.0137108357403533,0.0303156810021933,-0.452268769398955,0.651075371699764,-0.0731284786714573,0.0457068071907508,-0.0137108357403533,0.0143247128938943,0.000261362786616814,AB,bd,dir,diff,sha
AB_bd_ind_sun,:=,0,0,0,AB_bd_ind_sun,0,0,,,0,0,0,0,0,AB,bd,ind,sun,sha
AB_bd_ind_shade,:=,0,0,0,AB_bd_ind_shade,0,0,,,0,0,0,0,0,AB,bd,ind,shade,sha
AB_bd_ind_diff,:=,0,0,0,AB_bd_ind_diff,0,0,,,0,0,0,0,0,AB,bd,ind,diff,sha
AB_rdry_dir_sun,:=,0,0,0,AB_rdry_dir_sun,0,0,,,0,0,0,0,0,AB,rdry,dir,sun,sha
AB_rdry_dir_shade,:=,0,0,0,AB_rdry_dir_shade,0,0,,,0,0,0,0,0,AB,rdry,dir,shade,sha
AB_rdry_dir_diff,:=,0,0,0,AB_rdry_dir_diff,0,0,,,0,0,0,0,0,AB,rdry,dir,diff,sha
AB_rdry_ind_sun,:=,a*c,0,0,AB_rdry_ind_sun,-0.231904875058018,0.0160175285733057,-14.4781933115764,0,-0.263298654183038,-0.200511095932998,-0.231904875058018,-0.396650896440132,-0.243554089809976,AB,rdry,ind,sun,sha
AB_rdry_ind_shade,:=,A*C,0,0,AB_rdry_ind_shade,-0.295298348713511,0.0171056658867188,-17.2631893238829,0,-0.328824837783055,-0.261771859643967,-0.295298348713511,-0.440106256544328,-0.275937152291905,AB,rdry,ind,shade,sha
AB_rdry_ind_diff,:=,(A*C)-(a*c),0,0,AB_rdry_ind_diff,-0.0633934736554933,0.0234342703540076,-2.70516097569269,0.00682712966230947,-0.109323799553323,-0.0174631477576638,-0.0633934736554933,-0.0434553601041967,-0.0323830624819292,AB,rdry,ind,diff,sha
AB_h3h1_dir_sun,:=,h,0,0,AB_h3h1_dir_sun,0.280378278099489,0.0384063116476676,7.30031773609576,2.87103674168066e-13,0.205103290491039,0.355653265707938,0.280378278099489,0.524204804635804,0.321875546514389,AB,h3h1,dir,sun,sha
AB_h3h1_dir_shade,:=,H,0,0,AB_h3h1_dir_shade,0.248922953858414,0.0380020167561439,6.55025641022511,5.74382763574022e-11,0.174440369676484,0.323405538040344,0.248922953858414,0.448572454450566,0.281245276196642,AB,h3h1,dir,shade,sha
