lhs,op,rhs,block,group,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all,std.nox,allele_comb,trait,effect_type,env,pop
B4_bd_dir_sun,:=,a,0,0,B4_bd_dir_sun,0.796007052710294,0.0550991344837759,14.4468159104147,0,0.688014733542764,0.903999371877823,0.796007052710294,0.386772798609091,0.787201887924558,B4,bd,dir,sun,sha
B4_bd_dir_shade,:=,A,0,0,B4_bd_dir_shade,0.820327436167551,0.052557935036276,15.6080606211289,0,0.717315776394654,0.923339095940448,0.820327436167551,0.385619330031464,0.784992115954891,B4,bd,dir,shade,sha
B4_bd_dir_diff,:=,A-a,0,0,B4_bd_dir_diff,0.0243203834572574,0.0761462484705493,0.31939043545479,0.74943046273577,-0.124923521102857,0.173564288017372,0.0243203834572574,-0.00115346857762677,-0.00220977196966676,B4,bd,dir,diff,sha
B4_bd_ind_sun,:=,0,0,0,B4_bd_ind_sun,0,0,,,0,0,0,0,0,B4,bd,ind,sun,sha
B4_bd_ind_shade,:=,0,0,0,B4_bd_ind_shade,0,0,,,0,0,0,0,0,B4,bd,ind,shade,sha
B4_bd_ind_diff,:=,0,0,0,B4_bd_ind_diff,0,0,,,0,0,0,0,0,B4,bd,ind,diff,sha
B4_rdry_dir_sun,:=,e,0,0,B4_rdry_dir_sun,0.319276607248905,0.0495149553285695,6.44808432382219,1.13272724533431e-10,0.222229078108799,0.41632413638901,0.319276607248905,0.164502154289112,0.334812600290764,B4,rdry,dir,sun,sha
B4_rdry_dir_shade,:=,e,0,0,B4_rdry_dir_shade,0.319276607248905,0.0495149553285695,6.44808432382219,1.13272724533431e-10,0.222229078108799,0.41632413638901,0.319276607248905,0.164502154289112,0.334812600290764,B4,rdry,dir,shade,sha
B4_rdry_dir_diff,:=,e,0,0,B4_rdry_dir_diff,0.319276607248905,0.0495149553285695,6.44808432382219,1.13272724533431e-10,0.222229078108799,0.41632413638901,0.319276607248905,0.164502154289112,0.334812600290764,B4,rdry,dir,diff,sha
B4_rdry_ind_sun,:=,(a*d),0,0,B4_rdry_ind_sun,0.434468923493588,0.0364194345674005,11.9295900294533,0,0.36308814340417,0.505849703583006,0.434468923493588,0.223853148848604,0.455610172238562,B4,rdry,ind,sun,sha
