Indiv	family
21RV_21RV001	A
21RV_21RV005	A
21RV_21RV016	A
21RV_21RV019	A
21RV_21RV028	A
21RV_21RV030	A
21RV_21RV031	A
21RV_21RV033	A
21RV_21RV037	A
21RV_21RV038	A
21RV_21RV040	A
21RV_21RV046	A
21RV_21RV048	A
21RV_21RV049	A
21RV_21RV050	A
21RV_21RV051	A
21RV_21RV052	A
21RV_21RV055	A
21RV_21RV060	A
21RV_21RV061	A
21RV_21RV062	A
21RV_21RV065	A
21RV_21RV067	A
21RV_21RV070	A
21RV_21RV081	A
21RV_21RV082	A
21RV_21RV083	A
21RV_21RV093	A
21RV_21RV095	A
21RV_21RV096	A
21RV_21RV097	A
21RV_21RV099	A
21RV_21RV101	A
21RV_21RV103	A
21RV_21RV113	A
21RV_21RV114	A
21RV_21RV115	A
21RV_21RV122	A
21RV_21RV130	A
21RV_21RV131	A
21RV_21RV136	A
21RV_21RV137	A
21RV_21RV138	A
21RV_21RV143	A
21RV_21RV162	A
21RV_21RV163	A
21RV_21RV166	A
21RV_21RV179	A
21RV_21RV181	A
21RV_21RV185	A
21RV_21RV186	A
21RV_21RV188	A
21RV_21RV195	A
21RV_21RV202	A
21RV_21RV204	A
21RV_21RV208	A
21RV_21RV209	A
21RV_21RV210	A
21RV_21RV212	A
21RV_21RV214	A
21RV_21RV216	A
21RV_21RV218	A
21RV_21RV219	A
21RV_21RV222	A
21RV_21RV227	A
21RV_21RV228	A
21RV_21RV229	A
21RV_21RV230	A
21RV_21RV231	A
21RV_21RV234	A
21RV_21RV235	A
21RV_21RV237	A
21RV_21RV250	A
21RV_21RV253	A
21RV_21RV255	A
21RV_21RV262	A
21RV_21RV266	A
21RV_21RV268	A
21RV_21RV272	A
21RV_21RV274	A
21RV_21RV279	A
21RV_21RV280	A
21RV_21RV283	A
21RV_21RV288	A
21RV_21RV291	A
21RV_21RV299	A
21RV_21RV302	A
21RV_21RV303	A
21RV_21RV307	A
21RV_21RV308	A
21RV_21RV311	A
21RV_21RV323	A
21RV_21RV339	A
21RV_21RV341	A
21RV_21RV342	A
21RV_21RV348	A
21RV_21RV350	A
21RV_21RV355	A
21RV_21RV359	A
21RV_21RV366	A
21RV_21RV374	A
21RV_21RV375	A
21RV_21RV377	A
21RV_21RV378	A
21RV_21RV379	A
21RV_21RV380	A
21RV_21RV386	A
21RV_21RV387	A
21RV_21RV390	A
21RV_21RV393	A
21RV_21RV400	A
21RV_21RV404	A
21RV_21RV407	A
21RV_21RV408	A
21RV_21RV414	A
21RV_21RV418	A
21RV_21RV423	A
21RV_21RV433	A
21RV_21RV434	A
21RV_21RV438	A
21RV_21RV439	A
21RV_21RV440	A
21RV_21RV442	A
21RV_21RV447	A
21RV_21RV450	A
21RV_21RV451	A
21RV_21RV452	A
21RV_21RV453	A
21RV_21RV456	A
21RV_21RV457	A
21RV_21RV459	A
21RV_21RV461	A
21RV_21RV467	A
21RV_21RV473	A
21RV_21RV475	A
21RV_21RV478	A
21RV_21RV479	A
21RV_21RV481	A
21RV_21RV482	A
21RV_21RV484	A
21RV_21RV485	A
21RV_21RV487	A
21RV_21RV489	A
21RV_21RV490	A
21RV_21RV491	A
21RV_21RV492	A
21RV_21RV498	A
21RV_21RV505	A
21RV_21RV507	A
21RV_21RV508	A
20RV_20RV002	B
20RV_20RV007	B
20RV_20RV012	B
20RV_20RV013	B
20RV_20RV014	B
20RV_20RV015	B
20RV_20RV017	B
20RV_20RV019	B
20RV_20RV021	B
20RV_20RV024	B
20RV_20RV026	B
20RV_20RV043	B
20RV_20RV045	B
20RV_20RV056	B
20RV_20RV057	B
20RV_20RV059	B
20RV_20RV063	B
20RV_20RV064	B
20RV_20RV067	B
20RV_20RV080	B
20RV_20RV081	B
20RV_20RV084	B
20RV_20RV085	B
20RV_20RV091	B
20RV_20RV095	B
20RV_20RV099	B
20RV_20RV103	B
20RV_20RV109	B
20RV_20RV111	B
20RV_20RV117	B
20RV_20RV123	B
20RV_20RV133	B
20RV_20RV135	B
20RV_20RV137	B
20RV_20RV141	B
20RV_20RV143	B
20RV_20RV146	B
20RV_20RV147	B
20RV_20RV151	B
20RV_20RV153	B
20RV_20RV156	B
20RV_20RV161	B
20RV_20RV165	B
20RV_20RV166	B
20RV_20RV168	B
20RV_20RV172	B
20RV_20RV180	B
20RV_20RV182	B
20RV_20RV183	B
20RV_20RV184	B
20RV_20RV186	B
20RV_20RV188	B
20RV_20RV189	B
20RV_20RV191	B
20RV_20RV192	B
20RV_20RV194	B
20RV_20RV200	B
20RV_20RV201	B
20RV_20RV203	B
20RV_20RV204	B
20RV_20RV207	B
20RV_20RV220	B
20RV_20RV221	B
20RV_20RV232	B
20RV_20RV243	B
20RV_20RV244	B
20RV_20RV246	B
20RV_20RV249	B
20RV_20RV256	B
20RV_20RV258	B
20RV_20RV272	B
20RV_20RV274	B
20RV_20RV276	B
20RV_20RV277	B
20RV_20RV281	B
20RV_20RV285	B
20RV_20RV288	B
20RV_20RV289	B
20RV_20RV290	B
20RV_20RV292	B
20RV_20RV294	B
20RV_20RV300	B
20RV_20RV301	B
20RV_20RV302	B
20RV_20RV303	B
20RV_20RV307	B
20RV_20RV309	B
20RV_20RV310	B
20RV_20RV321	B
20RV_20RV323	B
20RV_20RV324	B
20RV_20RV325	B
20RV_20RV327	B
20RV_20RV328	B
20RV_20RV332	B
20RV_20RV339	B
20RV_20RV342	B
20RV_20RV345	B
20RV_20RV346	B
20RV_20RV351	B
20RV_20RV353	B
20RV_20RV354	B
20RV_20RV355	B
20RV_20RV356	B
20RV_20RV364	B
20RV_20RV371	B
20RV_20RV372	B
20RV_20RV376	B
20RV_20RV379	B
20RV_20RV382	B
20RV_20RV384	B
20RV_20RV404	B
20RV_20RV406	B
20RV_20RV409	B
20RV_20RV419	B
20RV_20RV421	B
20RV_20RV428	B
20RV_20RV438	B
20RV_20RV440	B
20RV_20RV445	B
20RV_20RV449	B
20RV_20RV455	B
20RV_20RV456	B
20RV_20RV460	B
20RV_20RV462	B
20RV_20RV463	B
20RV_20RV467	B
20RV_20RV473	B
20RV_20RV477	B
20RV_20RV478	B
20RV_20RV479	B
20RV_20RV485	B
20RV_20RV488	B
20RV_20RV489	B
20RV_20RV494	B
20RV_20RV497	B
20RV_20RV498	B
20RV_20RV499	B
20RV_20RV502	B
20RV_20RV504	B
20RV_20RV507	B
20RV_20RV509	B
20RV_20RV511	B
20RV_20RV514	B
20RV_20RV517	B
20RV_20RV519	B
20RV_20RV524	B
20RV_20RV525	B
20RV_20RV530	B
20RV_20RV534	B
8RV_8RV006	C
8RV_8RV008	C
8RV_8RV009	C
8RV_8RV010	C
8RV_8RV017	C
8RV_8RV020	C
8RV_8RV022	C
8RV_8RV024	C
8RV_8RV026	C
8RV_8RV031	C
8RV_8RV034	C
8RV_8RV039	C
8RV_8RV042	C
8RV_8RV047	C
8RV_8RV049	C
8RV_8RV051	C
8RV_8RV053	C
8RV_8RV055	C
8RV_8RV056	C
8RV_8RV057	C
8RV_8RV058	C
8RV_8RV059	C
8RV_8RV064	C
8RV_8RV065	C
8RV_8RV068	C
8RV_8RV069	C
8RV_8RV073	C
8RV_8RV076	C
8RV_8RV079	C
8RV_8RV081	C
8RV_8RV082	C
8RV_8RV084	C
8RV_8RV091	C
8RV_8RV093	C
8RV_8RV096	C
8RV_8RV097	C
8RV_8RV106	C
8RV_8RV112	C
8RV_8RV114	C
8RV_8RV122	C
8RV_8RV124	C
8RV_8RV125	C
8RV_8RV134	C
8RV_8RV136	C
8RV_8RV138	C
8RV_8RV139	C
8RV_8RV140	C
8RV_8RV145	C
8RV_8RV146	C
8RV_8RV155	C
8RV_8RV158	C
8RV_8RV161	C
8RV_8RV165	C
8RV_8RV168	C
8RV_8RV170	C
8RV_8RV179	C
8RV_8RV182	C
8RV_8RV196	C
8RV_8RV197	C
8RV_8RV198	C
8RV_8RV200	C
8RV_8RV202	C
8RV_8RV208	C
8RV_8RV211	C
8RV_8RV218	C
8RV_8RV223	C
8RV_8RV224	C
8RV_8RV227	C
8RV_8RV230	C
8RV_8RV232	C
8RV_8RV233	C
8RV_8RV236	C
8RV_8RV239	C
8RV_8RV242	C
8RV_8RV245	C
8RV_8RV248	C
8RV_8RV255	C
8RV_8RV257	C
8RV_8RV258	C
8RV_8RV259	C
8RV_8RV264	C
8RV_8RV272	C
8RV_8RV273	C
8RV_8RV275	C
8RV_8RV277	C
8RV_8RV280	C
8RV_8RV281	C
8RV_8RV283	C
8RV_8RV284	C
8RV_8RV285	C
8RV_8RV286	C
8RV_8RV292	C
8RV_8RV293	C
8RV_8RV296	C
8RV_8RV297	C
8RV_8RV298	C
8RV_8RV299	C
8RV_8RV302	C
8RV_8RV303	C
8RV_8RV304	C
8RV_8RV307	C
8RV_8RV309	C
8RV_8RV310	C
8RV_8RV311	C
8RV_8RV315	C
8RV_8RV318	C
8RV_8RV319	C
8RV_8RV321	C
8RV_8RV323	C
8RV_8RV330	C
8RV_8RV331	C
8RV_8RV332	C
8RV_8RV339	C
8RV_8RV342	C
8RV_8RV344	C
8RV_8RV346	C
8RV_8RV352	C
8RV_8RV356	C
8RV_8RV361	C
8RV_8RV362	C
8RV_8RV363	C
8RV_8RV377	C
8RV_8RV380	C
8RV_8RV385	C
8RV_8RV398	C
8RV_8RV401	C
8RV_8RV402	C
8RV_8RV403	C
8RV_8RV405	C
8RV_8RV408	C
8RV_8RV411	C
8RV_8RV413	C
8RV_8RV416	C
8RV_8RV418	C
8RV_8RV422	C
8RV_8RV433	C
8RV_8RV436	C
8RV_8RV439	C
8RV_8RV440	C
8RV_8RV463	C
8RV_8RV464	C
8RV_8RV472	C
8RV_8RV474	C
8RV_8RV475	C
8RV_8RV477	C
8RV_8RV492	C
8RV_8RV493	C
8RV_8RV494	C
8RV_8RV495	C
8RV_8RV499	C
29RV_29RV012	D
29RV_29RV013	D
29RV_29RV014	D
29RV_29RV022	D
29RV_29RV034	D
29RV_29RV039	D
29RV_29RV046	D
29RV_29RV057	D
29RV_29RV058	D
29RV_29RV060	D
29RV_29RV063	D
29RV_29RV071	D
29RV_29RV072	D
29RV_29RV083	D
29RV_29RV084	D
29RV_29RV087	D
29RV_29RV090	D
29RV_29RV093	D
29RV_29RV112	D
29RV_29RV120	D
29RV_29RV122	D
29RV_29RV129	D
29RV_29RV133	D
29RV_29RV139	D
29RV_29RV143	D
29RV_29RV147	D
29RV_29RV151	D
29RV_29RV153	D
29RV_29RV156	D
29RV_29RV159	D
29RV_29RV162	D
29RV_29RV163	D
29RV_29RV168	D
29RV_29RV170	D
29RV_29RV171	D
29RV_29RV178	D
29RV_29RV179	D
29RV_29RV180	D
29RV_29RV187	D
29RV_29RV192	D
29RV_29RV194	D
29RV_29RV196	D
29RV_29RV198	D
29RV_29RV200	D
29RV_29RV201	D
29RV_29RV205	D
29RV_29RV208	D
29RV_29RV213	D
29RV_29RV221	D
29RV_29RV222	D
29RV_29RV227	D
29RV_29RV231	D
29RV_29RV232	D
29RV_29RV234	D
29RV_29RV236	D
29RV_29RV246	D
29RV_29RV249	D
29RV_29RV253	D
29RV_29RV254	D
29RV_29RV255	D
29RV_29RV259	D
29RV_29RV261	D
29RV_29RV262	D
29RV_29RV270	D
29RV_29RV276	D
29RV_29RV280	D
29RV_29RV291	D
29RV_29RV292	D
29RV_29RV304	D
29RV_29RV305	D
29RV_29RV308	D
29RV_29RV311	D
29RV_29RV314	D
29RV_29RV315	D
29RV_29RV320	D
29RV_29RV323	D
29RV_29RV326	D
29RV_29RV329	D
29RV_29RV331	D
29RV_29RV335	D
29RV_29RV338	D
29RV_29RV339	D
29RV_29RV340	D
29RV_29RV341	D
29RV_29RV346	D
29RV_29RV347	D
29RV_29RV348	D
29RV_29RV359	D
29RV_29RV364	D
29RV_29RV368	D
29RV_29RV388	D
29RV_29RV390	D
29RV_29RV392	D
29RV_29RV393	D
29RV_29RV398	D
29RV_29RV399	D
29RV_29RV403	D
29RV_29RV405	D
29RV_29RV409	D
29RV_29RV423	D
29RV_29RV427	D
29RV_29RV430	D
29RV_29RV438	D
29RV_29RV441	D
29RV_29RV442	D
29RV_29RV452	D
29RV_29RV453	D
29RV_29RV457	D
29RV_29RV461	D
29RV_29RV464	D
29RV_29RV466	D
29RV_29RV483	D
29RV_29RV485	D
29RV_29RV494	D
29RV_29RV496	D
29RV_29RV511	D
29RV_29RV518	D
29RV_29RV522	D
29RV_29RV528	D
29RV_29RV531	D
29RV_29RV540	D
29RV_29RV541	D
29RV_29RV542	D
29RV_29RV548	D
29RV_29RV553	D
29RV_29RV556	D
29RV_29RV570	D
29RV_29RV577	D
29RV_29RV580	D
29RV_29RV590	D
29RV_29RV591	D
29RV_29RV592	D
29RV_29RV594	D
29RV_29RV599	D
29RV_29RV602	D
29RV_29RV604	D
29RV_29RV606	D
29RV_29RV610	D
29RV_29RV614	D
29RV_29RV617	D
29RV_29RV621	D
29RV_29RV625	D
29RV_29RV628	D
29RV_29RV630	D
29RV_29RV631	D
29RV_29RV637	D
29RV_29RV638	D
29RV_29RV640	D
28RV_28RV003	E
28RV_28RV005	E
28RV_28RV007	E
28RV_28RV010	E
28RV_28RV011	E
28RV_28RV012	E
28RV_28RV015	E
28RV_28RV017	E
28RV_28RV018	E
28RV_28RV020	E
28RV_28RV025	E
28RV_28RV026	E
28RV_28RV028	E
28RV_28RV032	E
28RV_28RV034	E
28RV_28RV035	E
28RV_28RV036	E
28RV_28RV037	E
28RV_28RV041	E
28RV_28RV047	E
28RV_28RV051	E
28RV_28RV053	E
28RV_28RV055	E
28RV_28RV057	E
28RV_28RV059	E
28RV_28RV074	E
28RV_28RV077	E
28RV_28RV080	E
28RV_28RV092	E
28RV_28RV096	E
28RV_28RV100	E
28RV_28RV110	E
28RV_28RV111	E
28RV_28RV112	E
28RV_28RV114	E
28RV_28RV117	E
28RV_28RV125	E
28RV_28RV127	E
28RV_28RV128	E
28RV_28RV130	E
28RV_28RV138	E
28RV_28RV141	E
28RV_28RV154	E
28RV_28RV174	E
28RV_28RV175	E
28RV_28RV178	E
28RV_28RV185	E
28RV_28RV190	E
28RV_28RV192	E
28RV_28RV193	E
28RV_28RV200	E
28RV_28RV201	E
28RV_28RV203	E
28RV_28RV210	E
28RV_28RV211	E
28RV_28RV213	E
28RV_28RV216	E
28RV_28RV224	E
28RV_28RV233	E
28RV_28RV237	E
28RV_28RV238	E
28RV_28RV240	E
28RV_28RV242	E
28RV_28RV250	E
28RV_28RV259	E
28RV_28RV260	E
28RV_28RV261	E
28RV_28RV263	E
28RV_28RV266	E
28RV_28RV270	E
28RV_28RV271	E
28RV_28RV276	E
28RV_28RV284	E
28RV_28RV287	E
28RV_28RV292	E
28RV_28RV296	E
28RV_28RV298	E
28RV_28RV300	E
28RV_28RV301	E
28RV_28RV302	E
28RV_28RV304	E
28RV_28RV311	E
28RV_28RV313	E
28RV_28RV320	E
28RV_28RV323	E
28RV_28RV325	E
28RV_28RV326	E
28RV_28RV328	E
28RV_28RV333	E
28RV_28RV339	E
28RV_28RV340	E
28RV_28RV346	E
28RV_28RV348	E
28RV_28RV357	E
28RV_28RV360	E
28RV_28RV362	E
28RV_28RV364	E
28RV_28RV365	E
28RV_28RV366	E
28RV_28RV367	E
28RV_28RV369	E
28RV_28RV370	E
28RV_28RV371	E
28RV_28RV381	E
28RV_28RV382	E
28RV_28RV385	E
28RV_28RV389	E
28RV_28RV394	E
28RV_28RV398	E
28RV_28RV401	E
28RV_28RV407	E
28RV_28RV408	E
28RV_28RV409	E
28RV_28RV411	E
28RV_28RV417	E
28RV_28RV419	E
28RV_28RV421	E
28RV_28RV426	E
28RV_28RV430	E
28RV_28RV431	E
28RV_28RV432	E
28RV_28RV436	E
28RV_28RV437	E
28RV_28RV440	E
28RV_28RV441	E
28RV_28RV446	E
28RV_28RV449	E
28RV_28RV452	E
28RV_28RV454	E
28RV_28RV455	E
28RV_28RV457	E
28RV_28RV461	E
28RV_28RV465	E
28RV_28RV468	E
28RV_28RV470	E
28RV_28RV474	E
28RV_28RV476	E
28RV_28RV483	E
28RV_28RV489	E
28RV_28RV492	E
28RV_28RV498	E
28RV_28RV501	E
28RV_28RV502	E
28RV_28RV504	E
28RV_28RV508	E
28RV_28RV509	E
28RV_28RV511	E
28RV_28RV512	E
28RV_28RV513	E
28RV_28RV515	E
27RV_27RV001	F
27RV_27RV002	F
27RV_27RV003	F
27RV_27RV008	F
27RV_27RV019	F
27RV_27RV020	F
27RV_27RV021	F
27RV_27RV023	F
27RV_27RV024	F
27RV_27RV026	F
27RV_27RV027	F
27RV_27RV030	F
27RV_27RV034	F
27RV_27RV042	F
27RV_27RV047	F
27RV_27RV049	F
27RV_27RV051	F
27RV_27RV053	F
27RV_27RV059	F
27RV_27RV062	F
27RV_27RV064	F
27RV_27RV066	F
27RV_27RV068	F
27RV_27RV078	F
27RV_27RV085	F
27RV_27RV091	F
27RV_27RV093	F
27RV_27RV094	F
