"ID","feature","chr","source","type","start","end","score","strand","phase","attributes","Alias","full_name","Note","symbol","curator_summary","chr_num","qtl","left_bound","right_bound","chr","left_pos","right_pos"
"AT4G00820",490431,"Chr4","Araport11","gene",349025,351550,".","+",".","ID=AT4G00820;Name=AT4G00820;Note=IQ-domain 17;symbol=iqd17;full_name=IQ-domain 17;computational_description=IQ-domain 17 (iqd17)%3B CONTAINS InterPro DOMAIN/s: IQ calmodulin-binding region (InterPro:IPR000048)%3B BEST Arabidopsis thaliana protein match is: IQ-domain 18 (TAIR:AT1G01110.2)%3B Has 1332 Blast hits to 1131 proteins in 120 species: Archae - 0%3B Bacteria - 14%3B Metazoa - 172%3B Fungi - 58%3B Plants - 857%3B Viruses - 43%3B Other Eukaryotes - 188 (source: NCBI BLink).;Dbxref=PMID:16368012,PMID:17551672,locus:2134628;locus_type=protein_coding","","IQ-domain 17","IQ-domain 17","iqd17","",4,"m_4_407208","m_4_41028","m_4_527682",4,41028,527682
"AT4G00880",490623,"Chr4","Araport11","gene",366373,367274,".","-",".","ID=AT4G00880;Name=AT4G00880;Note=SAUR-like auxin-responsive protein family;Alias=SAUR31,SMALL AUXIN UPREGULATED RNA 31;computational_description=SAUR-like auxin-responsive protein family %3B CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676)%3B BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT2G46690.1)%3B Has 1421 Blast hits to 1407 proteins in 27 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 0%3B Fungi - 0%3B Plants - 1420%3B Viruses - 0%3B Other Eukaryotes - 1 (source: NCBI BLink).;Dbxref=PMID:16673935,PMID:16901781,PMID:18552355,PMID:18650403,locus:2134598;locus_type=protein_coding","SAUR31,SMALL AUXIN UPREGULATED RNA 31","","SAUR-like auxin-responsive protein family","","",4,"m_4_407208","m_4_41028","m_4_527682",4,41028,527682
"AT5G64850",779671,"Chr5","Araport11","gene",25921402,25923418,".","+",".","ID=AT5G64850;Name=AT5G64850;Note=sorbin/SH3 domain protein;computational_description=FUNCTIONS IN: molecular_function unknown%3B INVOLVED IN: biological_process unknown%3B LOCATED IN: plasma membrane%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: RPM1-interacting protein 4%2C defence response (InterPro:IPR008700)%3B BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G09960.1)%3B Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12%3B Bacteria - 1396%3B Metazoa - 17338%3B Fungi - 3422%3B Plants - 5037%3B Viruses - 0%3B Other Eukaryotes - 2996 (source: NCBI BLink).;Dbxref=locus:2177704;locus_type=protein_coding","","","sorbin/SH3 domain protein","","",5,"m_5_26130021","m_5_25852375","m_5_26182104",5,25852375,26182104
"AT5G11190",638247,"Chr5","Araport11","gene",3564824,3566260,".","+",".","ID=AT5G11190;Name=AT5G11190;Note=Integrase-type DNA-binding superfamily protein;curator_summary=encodes a member of the ERF (ethylene response factor) subfamily B-6 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 12 members in this subfamily including RAP2.11.;symbol=SHN2;full_name=shine2;computational_description=shine3 (SHN3)%3B FUNCTIONS IN: DNA binding%2C sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: regulation of transcription%2C DNA-dependent%3B LOCATED IN: mitochondrion%2C nucleus%3B EXPRESSED IN: anther dehiscence zone%2C fruit dehiscence zone%3B CONTAINS InterPro DOMAIN/s: DNA-binding%2C integrase-type (InterPro:IPR016177)%2C Pathogenesis-related transcriptional factor/ERF%2C DNA-binding (InterPro:IPR001471)%3B BEST Arabidopsis thaliana protein match is: Integrase-type DNA-binding superfamily protein (TAIR:AT5G25390.2)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).;Dbxref=PMID:11118137,PMID:15078338,PMID:15070782,PMID:15319479,PMID:21637781,PMID:22516817,PMID:23505340,PMID:25687296,locus:2148022;locus_type=protein_coding","","shine2","Integrase-type DNA-binding superfamily protein","SHN2","encodes a member of the ERF (ethylene response factor) subfamily B-6 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 12 members in this subfamily including RAP2.11.",5,"m_5_3799350","m_5_3549678","m_5_3811043",5,3549678,3811043
"AT5G11260",638522,"Chr5","Araport11","gene",3593335,3595073,".","-",".","ID=AT5G11260;Name=AT5G11260;Note=Basic-leucine zipper (bZIP) transcription factor family protein;curator_summary=Basic leucine zipper (bZIP) transcription factor. Nuclear localization. Involved in light-regulated transcriptional activation of G-box-containing promoters. Negatively regulated by Cop1. Although cytokinins do not appear to affect the gene's promoter activity%2C they appear to stabilize the protein. HY5 plays a role in anthocyanin accumulation in far-red light and blue light%2C but not in red light or in the dark. Mutant studies showed that the gene product is involved in the positive regulation of the PHYA-mediated inhibition of hypocotyl elongation. Binds to G- and Z-boxes%2C and other ACEs%2C but not to E-box. Loss of function mutation shows ABA resistant seedling phenotypes suggesting involvement for HY5 in mediating ABA responses. Binds to the promoter of ABI5 and regulates its expression.;symbol=HY5;Alias=TED 5,REVERSAL OF THE DET PHENOTYPE 5;full_name=ELONGATED HYPOCOTYL 5;computational_description=ELONGATED HYPOCOTYL 5 (HY5)%3B FUNCTIONS IN: double-stranded DNA binding%2C DNA binding%2C sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: in 13 processes%3B LOCATED IN: nucleus%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Basic-leucine zipper (bZIP) transcription factor (InterPro:IPR004827)%2C bZIP transcription factor%2C bZIP-1 (InterPro:IPR011616)%2C cAMP response element binding (CREB) protein (InterPro:IPR001630)%3B BEST Arabidopsis thaliana protein match is: HY5-homolog (TAIR:AT3G17609.2)%3B Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12%3B Bacteria - 1396%3B Metazoa - 17338%3B Fungi - 3422%3B Plants - 5037%3B Viruses - 0%3B Other Eukaryotes - 2996 (source: NCBI BLink).;Dbxref=PMID:10990463,PMID:10839542,PMID:9755158,PMID:9721678,PMID:9659918,PMID:9596629,PMID:9367981,PMID:9093863,PMID:8624438,PMID:8819865,PMID:8038603,PMID:8038602,PMID:11019812,PMID:11118137,PMID:11115869,PMID:11226162,PMID:11706180,PMID:11684663,PMID:11752385,PMID:11883605,PMID:11906833,PMID:11145879,PMID:11161203,PMID:11553757,PMID:11509693,PMID:12028569,PMID:12023303,PMID:12000677,PMID:12061902,PMID:12324590,PMID:12225670,PMID:12220265,PMID:12445126,PMID:12397181,PMID:12368504,PMID:12368493,PMID:14563928,PMID:14597662,PMID:14645731,PMID:14739338,PMID:15525647,PMID:15741320,PMID:15960622,PMID:16330762,PMID:16565297,PMID:16829591,PMID:16813572,PMID:16908503,PMID:16891401,PMID:17001643,PMID:17076805,PMID:17261584,PMID:17217468,PMID:17319847,PMID:17337630,PMID:17478635,PMID:17720867,PMID:17965270,PMID:17929051,PMID:18082144,PMID:18065688,PMID:18055587,PMID:18053005,PMID:18203870,PMID:18182030,PMID:18287490,PMID:18266923,PMID:18332440,PMID:18481083,PMID:18621945,PMID:18796637,PMID:19329557,PMID:19492112,PMID:17121469,PMID:18540109,PMID:18778247,PMID:19140931,PMID:19324677,PMID:19559617,PMID:19558421,PMID:19704462,PMID:19734083,PMID:19802365,PMID:19895401,PMID:20041285,PMID:20008096,PMID:20031919,PMID:20031914,PMID:20047775,PMID:20351290,PMID:20491669,PMID:20487384,PMID:20565708,PMID:20876338,PMID:20864454,PMID:20818397,PMID:20009559,PMID:20932601,PMID:21097709,PMID:21093457,PMID:21041653,PMID:21265889,PMID:21333657,PMID:21332509,PMID:21301222,PMID:21427283,PMID:21395889,PMID:21525334,PMID:21511871,PMID:21499259,PMID:21623972,PMID:21632973,PMID:21645149,PMID:21715650,PMID:21848684,PMID:21821942,PMID:21947436,PMID:21930922,PMID:21904598,PMID:21636970,PMID:22188380,PMID:22321255,PMID:22424472,PMID:22410790,PMID:22516816,PMID:22057333,PMID:22582101,PMID:22699753,PMID:22692212,PMID:22681544,PMID:22827944,PMID:22760208,PMID:22990446,PMID:22988111,PMID:23093358,PMID:23150635,PMID:23142794,PMID:23123453,PMID:23314848,PMID:23314821,PMID:23371951,PMID:23425851,PMID:23624715,PMID:23583450,PMID:23645630,PMID:23733077,PMID:23864838,PMID:23933882,PMID:23893169,PMID:24304604,PMID:23503597,PMID:24610722,PMID:24586210,PMID:24586043,PMID:24583010,PMID:24858936,PMID:23733056,PMID:25052717,PMID:25049395,PMID:25025208,PMID:24348273,PMID:25248106,PMID:25351492,PMID:25534860,PMID:25533339,PMID:25516599,PMID:25443843,PMID:25630103,PMID:25557464,locus:2148007;locus_type=protein_coding","TED 5,REVERSAL OF THE DET PHENOTYPE 5","ELONGATED HYPOCOTYL 5","Basic-leucine zipper (bZIP) transcription factor family protein","HY5","Basic leucine zipper (bZIP) transcription factor. Nuclear localization. Involved in light-regulated transcriptional activation of G-box-containing promoters. Negatively regulated by Cop1. Although cytokinins do not appear to affect the gene's promoter activity%2C they appear to stabilize the protein. HY5 plays a role in anthocyanin accumulation in far-red light and blue light%2C but not in red light or in the dark. Mutant studies showed that the gene product is involved in the positive regulation of the PHYA-mediated inhibition of hypocotyl elongation. Binds to G- and Z-boxes%2C and other ACEs%2C but not to E-box. Loss of function mutation shows ABA resistant seedling phenotypes suggesting involvement for HY5 in mediating ABA responses. Binds to the promoter of ABI5 and regulates its expression.",5,"m_5_3799350","m_5_3549678","m_5_3811043",5,3549678,3811043
"AT5G11320",638654,"Chr5","Araport11","gene",3611247,3613640,".","-",".","ID=AT5G11320;Name=AT5G11320;Note=Flavin-binding monooxygenase family protein;curator_summary=Belongs to the YUC gene family.  Encodes a predicted flavin monooxygenase YUC4 involved in auxin biosynthesis and plant development.;symbol=YUC4;Alias=AtYUC4;full_name=YUCCA4;computational_description=YUCCA4 (YUC4)%3B FUNCTIONS IN: NADP or NADPH binding%2C oxidoreductase activity%2C monooxygenase activity%2C FAD binding%2C flavin-containing monooxygenase activity%3B INVOLVED IN: in 7 processes%3B EXPRESSED IN: 12 plant structures%3B EXPRESSED DURING: 6 growth stages%3B CONTAINS InterPro DOMAIN/s: Pyridine nucleotide-disulphide oxidoreductase%2C class-II (InterPro:IPR000103)%2C FAD-dependent pyridine nucleotide-disulphide oxidoreductase (InterPro:IPR013027)%2C Flavin-containing monooxygenase-like (InterPro:IPR020946)%3B BEST Arabidopsis thaliana protein match is: Flavin-binding monooxygenase family protein (TAIR:AT4G32540.1)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).;Dbxref=PMID:16818609,PMID:16740145,PMID:17059406,PMID:17704214,PMID:18000043,PMID:18287041,PMID:19075219,PMID:19279202,PMID:19435937,PMID:18811619,PMID:20154152,PMID:21205174,PMID:22233288,PMID:22318676,PMID:22301969,PMID:22491872,PMID:23621152,PMID:23722561,locus:2147962;locus_type=protein_coding","AtYUC4","YUCCA4","Flavin-binding monooxygenase family protein","YUC4","Belongs to the YUC gene family.  Encodes a predicted flavin monooxygenase YUC4 involved in auxin biosynthesis and plant development.",5,"m_5_3799350","m_5_3549678","m_5_3811043",5,3549678,3811043
"AT4G32280",586006,"Chr4","Araport11","gene",15583332,15584903,".","+",".","ID=AT4G32280;Name=AT4G32280;Note=indole-3-acetic acid inducible 29;curator_summary=Auxin inducible protein.;symbol=IAA29;full_name=indole-3-acetic acid inducible 29;computational_description=indole-3-acetic acid inducible 29 (IAA29)%3B FUNCTIONS IN: sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: response to auxin stimulus%2C response to cyclopentenone%2C response to red light%2C response to far red light%3B LOCATED IN: nucleus%3B EXPRESSED IN: 7 plant structures%3B EXPRESSED DURING: 6 growth stages%3B CONTAINS InterPro DOMAIN/s: Aux/IAA-ARF-dimerisation (InterPro:IPR011525)%2C AUX/IAA protein (InterPro:IPR003311)%3B BEST Arabidopsis thaliana protein match is: indoleacetic acid-induced protein 10 (TAIR:AT1G04100.1)%3B Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12%3B Bacteria - 1396%3B Metazoa - 17338%3B Fungi - 3422%3B Plants - 5037%3B Viruses - 0%3B Other Eukaryotes - 2996 (source: NCBI BLink).;Dbxref=PMID:11118137,PMID:12036262,PMID:15247399,PMID:12893885,PMID:16243906,PMID:16284307,PMID:16489122,PMID:16901781,PMID:17076805,PMID:17435085,PMID:17885085,PMID:18334669,PMID:19249207,PMID:21666227,PMID:23037004,PMID:23037003,PMID:23629833,PMID:23757399,PMID:24424094,locus:2116505;locus_type=protein_coding","","indole-3-acetic acid inducible 29","indole-3-acetic acid inducible 29","IAA29","Auxin inducible protein.",4,"m_4_16212324","m_4_15280472","m_4_17036155",4,15280472,17036155
"AT4G32290",586052,"Chr4","Araport11","gene",15589434,15591213,".","-",".","ID=AT4G32290;Name=AT4G32290;Note=Core-2/I-branching beta-1%2C6-N-acetylglucosaminyltransferase family protein;computational_description=Core-2/I-branching beta-1%2C6-N-acetylglucosaminyltransferase family protein%3B FUNCTIONS IN: molecular_function unknown%3B INVOLVED IN: biological_process unknown%3B LOCATED IN: endomembrane system%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Core-2/I-Branching enzyme (InterPro:IPR021141)%3B BEST Arabidopsis thaliana protein match is: Core-2/I-branching beta-1%2C6-N-acetylglucosaminyltransferase family protein (TAIR:AT5G25330.1)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).;Dbxref=locus:2116515;locus_type=protein_coding","","","Core-2/I-branching beta-1%2C6-N-acetylglucosaminyltransferase family protein","","",4,"m_4_16212324","m_4_15280472","m_4_17036155",4,15280472,17036155
"AT4G32540",586989,"Chr4","Araport11","gene",15700829,15703000,".","+",".","ID=AT4G32540;Name=AT4G32540;Note=Flavin-binding monooxygenase family protein;curator_summary=Mutant has elevated levels of free IAA in dominant mutant allele%3B Flavin Monooxygenase-Like Enzyme%3B Auxin Biosynthesis;symbol=YUC1;Alias=YUC,YUCCA;full_name=YUCCA 1;computational_description=YUCCA 1 (YUC1)%3B FUNCTIONS IN: NADP or NADPH binding%2C oxidoreductase activity%2C FAD binding%2C flavin-containing monooxygenase activity%3B INVOLVED IN: in 7 processes%3B EXPRESSED IN: 12 plant structures%3B EXPRESSED DURING: C globular stage%2C F mature embryo stage%2C petal differentiation and expansion stage%2C E expanded cotyledon stage%2C D bilateral stage%3B CONTAINS InterPro DOMAIN/s: Pyridine nucleotide-disulphide oxidoreductase%2C class-II (InterPro:IPR000103)%2C FAD-dependent pyridine nucleotide-disulphide oxidoreductase (InterPro:IPR013027)%2C Flavin-containing monooxygenase-like (InterPro:IPR020946)%3B BEST Arabidopsis thaliana protein match is: Flavin-binding monooxygenase family protein (TAIR:AT5G11320.1)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).;Dbxref=PMID:11914280,PMID:11209081,PMID:12464638,PMID:16126863,PMID:16818609,PMID:16905669,PMID:17704214,PMID:17919906,PMID:18000043,PMID:18799737,PMID:19075219,PMID:19154004,PMID:19223973,PMID:19306104,PMID:19279202,PMID:19525324,PMID:19710233,PMID:19820306,PMID:19995721,PMID:20237017,PMID:20421476,PMID:20974893,PMID:21051957,PMID:21205174,PMID:21511905,PMID:22025724,PMID:22025721,PMID:22108406,PMID:21251106,PMID:22995285,PMID:23271028,PMID:23521356,PMID:23722561,PMID:23840182,PMID:24398922,PMID:24595288,PMID:23776189,locus:2131322;locus_type=protein_coding","YUC,YUCCA","YUCCA 1","Flavin-binding monooxygenase family protein","YUC1","Mutant has elevated levels of free IAA in dominant mutant allele%3B Flavin Monooxygenase-Like Enzyme%3B Auxin Biosynthesis",4,"m_4_16212324","m_4_15280472","m_4_17036155",4,15280472,17036155
"AT4G33400",590601,"Chr4","Araport11","gene",16077898,16080721,".","-",".","ID=AT4G33400;Name=AT4G33400;Note=Vacuolar import/degradation%2C Vid27-related protein;computational_description=Vacuolar import/degradation%2C Vid27-related protein%3B FUNCTIONS IN: molecular_function unknown%3B INVOLVED IN: N-terminal protein myristoylation%3B LOCATED IN: cytosol%2C nucleus%2C plasma membrane%3B EXPRESSED IN: 25 plant structures%3B EXPRESSED DURING: 15 growth stages%3B CONTAINS InterPro DOMAIN/s: WD40 repeat-like-containing domain (InterPro:IPR011046)%2C Vacuolar import/degradation%2C Vid27-related (InterPro:IPR013863)%3B BEST Arabidopsis thaliana protein match is: Vacuolar import/degradation%2C Vid27-related protein (TAIR:AT3G19240.1)%3B Has 271 Blast hits to 271 proteins in 130 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 6%3B Fungi - 139%3B Plants - 79%3B Viruses - 0%3B Other Eukaryotes - 47 (source: NCBI BLink).;Dbxref=PMID:12169696,PMID:12912986,PMID:15937229,PMID:17329565,PMID:17827350,PMID:18433157,PMID:18775970,locus:2119221;locus_type=protein_coding","","","Vacuolar import/degradation%2C Vid27-related protein","","",4,"m_4_16212324","m_4_15280472","m_4_17036155",4,15280472,17036155
