"qtl","trait","annotated_gene_count","chr","left_bound","right_bound"
"m_1_16493050","bd_geno",1,"Chr1","m_1_13562036","m_1_16670781"
"m_1_26638205","bd_geno",6,"Chr1","m_1_25762752","m_1_26811885"
"m_1_29400200","bd_geno",NA,"Chr1","m_1_29299943","m_1_29478919"
"m_2_9039303","bd_geno",9,"Chr2","m_2_7777141","m_2_9885066"
"m_4_16212324","bd_geno",5,"Chr4","m_4_15488750","m_4_16811704"
"m_4_407208","bd_geno",1,"Chr4","m_4_41028","m_4_527682"
"m_4_9222034","bd_geno",8,"Chr4","m_4_8365173","m_4_10118261"
"m_5_26130021","bd_geno",1,"Chr5","m_5_25950815","m_5_26346630"
"m_5_3799350","bd_geno",5,"Chr5","m_5_2945876","m_5_3811043"
"m_5_4991121","bd_geno",4,"Chr5","m_5_4628454","m_5_5018484"
"m_4_407208","bd_gxe",1,"Chr4","m_4_41028","m_4_713957"
"m_4_9222034","bd_gxe",6,"Chr4","m_4_8913726","m_4_10118261"
"m_5_3799350","bd_gxe",2,"Chr5","m_5_3578530","m_5_3811043"
"m_5_4216890","bd_gxe",6,"Chr5","m_5_3799350","m_5_5018484"
"m_1_26484153","h3h1_geno",5,"Chr1","m_1_25799917","m_1_26663272"
"m_1_4169521","h3h1_geno",4,"Chr1","m_1_3554298","m_1_5410797"
"m_2_10534677","h3h1_geno",3,"Chr2","m_2_10226562","m_2_12006494"
"m_2_15165371","h3h1_geno",2,"Chr2","m_2_14108772","m_2_15310712"
"m_2_9039303","h3h1_geno",1,"Chr2","m_2_8274898","m_2_9043502"
"m_4_11631139","h3h1_geno",2,"Chr4","m_4_10875007","m_4_11979842"
"m_4_16212324","h3h1_geno",5,"Chr4","m_4_15488750","m_4_16811704"
"m_4_407208","h3h1_geno",3,"Chr4","m_4_41028","m_4_1180373"
"m_5_16608188","h3h1_geno",2,"Chr5","m_5_15992711","m_5_17590456"
"m_5_4216890","h3h1_geno",6,"Chr5","m_5_3799350","m_5_5018484"
"m_1_4032248","h3h1_gxe",10,"Chr1","m_1_1661550","m_1_4596540"
"m_4_407208","h3h1_gxe",1,"Chr4","m_4_41028","m_4_527682"
"m_5_25950815","h3h1_gxe",NA,"Chr5","m_5_25637221","m_5_25961748"
"m_5_3799350","h3h1_gxe",8,"Chr5","m_5_2285579","m_5_3811043"
"m_4_407208","idry_geno",1,"Chr4","m_4_41028","m_4_527682"
"m_4_9222034","idry_geno",6,"Chr4","m_4_8913726","m_4_10118261"
"m_5_4216890","idry_geno",1,"Chr5","m_5_3799350","m_5_4251866"
"m_1_6872980","idry_gxe",11,"Chr1","m_1_4870313","m_1_8052705"
"m_4_16212324","idry_gxe",5,"Chr4","m_4_15488750","m_4_16811704"
"m_4_407208","idry_gxe",1,"Chr4","m_4_41028","m_4_527682"
"m_4_9222034","idry_gxe",8,"Chr4","m_4_8599644","m_4_10118261"
"m_5_25950815","idry_gxe",NA,"Chr5","m_5_25921706","m_5_26182104"
"m_5_3799350","idry_gxe",2,"Chr5","m_5_3569242","m_5_3811043"
"m_5_4216890","idry_gxe",6,"Chr5","m_5_4069247","m_5_5018484"
"m_1_7431890","rdry_geno",11,"Chr1","m_1_4811010","m_1_8052705"
"m_4_16212324","rdry_geno",4,"Chr4","m_4_15488750","m_4_16532462"
"m_4_407208","rdry_geno",1,"Chr4","m_4_41028","m_4_527682"
"m_4_9222034","rdry_geno",6,"Chr4","m_4_8913726","m_4_10087222"
"m_5_26130021","rdry_geno",1,"Chr5","m_5_25950815","m_5_26346630"
"m_5_4216890","rdry_geno",4,"Chr5","m_5_3465436","m_5_4251866"
"m_1_1131884","rdry_gxe",7,"Chr1","m_1_589688","m_1_1282314"
"m_4_16212324","rdry_gxe",5,"Chr4","m_4_15280472","m_4_17036155"
"m_4_407208","rdry_gxe",1,"Chr4","m_4_41028","m_4_527682"
"m_5_26130021","rdry_gxe",NA,"Chr5","m_5_25852375","m_5_26182104"
"m_5_3799350","rdry_gxe",3,"Chr5","m_5_3549678","m_5_3811043"
