"ID","feature","chr","source","type","start","end","score","strand","phase","attributes","Alias","full_name","Note","symbol","curator_summary","chr_num","qtl","avg_snp_betas_sq","avg_snp_pve","score","left_bound","right_bound","chr","left_pos","right_pos"
"AT1G14250",41600,"Chr1","Araport11","gene",4868346,4871488,".","+",".","ID=AT1G14250;Name=AT1G14250;Note=GDA1/CD39 nucleoside phosphatase family protein;computational_description=GDA1/CD39 nucleoside phosphatase family protein%3B FUNCTIONS IN: hydrolase activity%3B INVOLVED IN: biological_process unknown%3B LOCATED IN: vacuole%3B EXPRESSED IN: male gametophyte%2C cultured cell%2C pollen tube%3B EXPRESSED DURING: L mature pollen stage%2C M germinated pollen stage%3B CONTAINS InterPro DOMAIN/s: Nucleoside phosphatase GDA1/CD39 (InterPro:IPR000407)%3B BEST Arabidopsis thaliana protein match is: GDA1/CD39 nucleoside phosphatase family protein (TAIR:AT1G14240.4)%3B Has 1463 Blast hits to 1456 proteins in 234 species: Archae - 0%3B Bacteria - 39%3B Metazoa - 610%3B Fungi - 315%3B Plants - 332%3B Viruses - 0%3B Other Eukaryotes - 167 (source: NCBI BLink).;Dbxref=PMID:16792696,PMID:17473866,PMID:18650403,PMID:18775970,PMID:20736450,locus:2035802;locus_type=protein_coding","","","GDA1/CD39 nucleoside phosphatase family protein","","",1,"m_1_5076809",0.0144453975970951,0.0195332990466015,3.66812135234761,"m_1_4542122","m_1_5696129",1,4542122,5696129
"AT1G14280",41734,"Chr1","Araport11","gene",4877506,4879307,".","+",".","ID=AT1G14280;Name=AT1G14280;Note=phytochrome kinase substrate 2;curator_summary=Encodes phytochrome kinase substrate 2.  PKS proteins are critical for hypocotyl phototropism. Forms a complex with Phot1%2C Phot2 and NPH3.;symbol=PKS2;full_name=phytochrome kinase substrate 2;computational_description=phytochrome kinase substrate 2 (PKS2)%3B BEST Arabidopsis thaliana protein match is: phytochrome kinase substrate 1 (TAIR:AT2G02950.1)%3B Has 337 Blast hits to 325 proteins in 29 species: Archae - 0%3B Bacteria - 2%3B Metazoa - 13%3B Fungi - 6%3B Plants - 286%3B Viruses - 0%3B Other Eukaryotes - 30 (source: NCBI BLink).;Dbxref=PMID:12177480,PMID:14576160,PMID:14615593,PMID:15282545,PMID:16777956,PMID:17474978,PMID:17905899,PMID:18650403,PMID:20071603,PMID:24286493,locus:2012502;locus_type=protein_coding","","phytochrome kinase substrate 2","phytochrome kinase substrate 2","PKS2","Encodes phytochrome kinase substrate 2.  PKS proteins are critical for hypocotyl phototropism. Forms a complex with Phot1%2C Phot2 and NPH3.",1,"m_1_5076809",0.0144453975970951,0.0195332990466015,3.66812135234761,"m_1_4542122","m_1_5696129",1,4542122,5696129
"AT1G14910",43561,"Chr1","Araport11","gene",5139712,5143735,".","-",".","ID=AT1G14910;Name=AT1G14910;Note=ENTH/ANTH/VHS superfamily protein;computational_description=ENTH/ANTH/VHS superfamily protein%3B FUNCTIONS IN: phospholipid binding%2C clathrin binding%2C binding%2C phosphatidylinositol binding%3B INVOLVED IN: N-terminal protein myristoylation%2C clathrin coat assembly%3B LOCATED IN: clathrin coat%2C mitochondrion%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: Epsin-like%2C N-terminal (InterPro:IPR013809)%2C ANTH (InterPro:IPR011417)%2C ENTH/VHS (InterPro:IPR008942)%2C Clathrin adaptor%2C phosphoinositide-binding%2C GAT-like (InterPro:IPR014712)%3B BEST Arabidopsis thaliana protein match is: ENTH/ANTH/VHS superfamily protein (TAIR:AT2G01600.1)%3B Has 1433 Blast hits to 1265 proteins in 231 species: Archae - 2%3B Bacteria - 84%3B Metazoa - 471%3B Fungi - 269%3B Plants - 492%3B Viruses - 2%3B Other Eukaryotes - 113 (source: NCBI BLink).;Dbxref=PMID:12912986,PMID:14500793,PMID:18989364,locus:2006727;locus_type=protein_coding","","","ENTH/ANTH/VHS superfamily protein","","",1,"m_1_5076809",0.0144453975970951,0.0195332990466015,3.66812135234761,"m_1_4542122","m_1_5696129",1,4542122,5696129
"AT1G14920",43619,"Chr1","Araport11","gene",5148982,5151415,".","+",".","ID=AT1G14920;Name=AT1G14920;Note=GRAS family transcription factor family protein;curator_summary=Similar to a putative transcription factor and transcriptional coactivators. Repressor of GA responses and involved in gibberellic acid mediated signaling. Member of the DELLA proteins that restrain the cell proliferation and expansion that drives plant growth. The protein undergoes degradation in response to GA via the 26S proteasome. GAI may be involved in reducing ROS accumulation in response to stress by up-regulating the transcription of superoxide dismutases. Represses GA-induced vegetative growth and floral initiation. Rapidly degraded in response to GA.;symbol=GAI;Alias=RGA2,RESTORATION ON GROWTH ON AMMONIA 2;full_name=GIBBERELLIC ACID INSENSITIVE;computational_description=GIBBERELLIC ACID INSENSITIVE (GAI)%3B CONTAINS InterPro DOMAIN/s: Transcriptional factor DELLA%2C N-terminal (InterPro:IPR021914)%2C Transcription factor GRAS (InterPro:IPR005202)%3B BEST Arabidopsis thaliana protein match is: GRAS family transcription factor family protein (TAIR:AT2G01570.1)%3B Has 2718 Blast hits to 2657 proteins in 311 species: Archae - 0%3B Bacteria - 4%3B Metazoa - 0%3B Fungi - 0%3B Plants - 2714%3B Viruses - 0%3B Other Eukaryotes - 0 (source: NCBI BLink).;Dbxref=PMID:10787063,PMID:10750702,PMID:10713441,PMID:10645426,PMID:10550633,PMID:10517835,PMID:10421366,PMID:10341448,PMID:10198078,PMID:9750344,PMID:9701576,PMID:9550721,PMID:9611170,PMID:9620263,PMID:9490740,PMID:9389651,PMID:9215910,PMID:9185581,PMID:9237632,PMID:8799194,PMID:8756507,PMID:8547820,PMID:11118137,PMID:11606552,PMID:11606551,PMID:11717468,PMID:11925042,PMID:11877383,PMID:16652976,PMID:11161033,PMID:11340177,PMID:11487693,PMID:11457975,PMID:11976683,PMID:12011349,PMID:12068105,PMID:12183174,PMID:11852796,PMID:11826301,PMID:12271067,PMID:12228487,PMID:12407202,PMID:12492836,PMID:12591613,PMID:12644677,PMID:12724538,PMID:14713199,PMID:14963246,PMID:14764903,PMID:14760535,PMID:15155881,PMID:15173565,PMID:15308775,PMID:15562286,PMID:15773853,PMID:16034591,PMID:16404575,PMID:16400150,PMID:16709201,PMID:16679458,PMID:17141619,PMID:17351788,PMID:17333251,PMID:17449805,PMID:17416730,PMID:17488236,PMID:17572910,PMID:17704233,PMID:17932677,PMID:18359847,PMID:18425113,PMID:18450451,PMID:18450450,PMID:18650403,PMID:18758783,PMID:18696248,PMID:18827182,PMID:19228341,PMID:19190987,PMID:19453448,PMID:17173616,PMID:18537890,PMID:19037309,PMID:19576770,PMID:19576768,PMID:20083325,PMID:19556968,PMID:20720155,PMID:21098733,PMID:21455025,PMID:21478445,PMID:21904598,PMID:22038449,PMID:22847438,PMID:22995285,PMID:23037004,PMID:23037003,PMID:23378382,PMID:23482857,PMID:23590427,PMID:22948663,PMID:24144190,PMID:24400898,PMID:24377444,PMID:25010794,PMID:25118255,PMID:25103816,PMID:24961590,locus:2006747;locus_type=protein_coding","RGA2,RESTORATION ON GROWTH ON AMMONIA 2","GIBBERELLIC ACID INSENSITIVE","GRAS family transcription factor family protein","GAI","Similar to a putative transcription factor and transcriptional coactivators. Repressor of GA responses and involved in gibberellic acid mediated signaling. Member of the DELLA proteins that restrain the cell proliferation and expansion that drives plant growth. The protein undergoes degradation in response to GA via the 26S proteasome. GAI may be involved in reducing ROS accumulation in response to stress by up-regulating the transcription of superoxide dismutases. Represses GA-induced vegetative growth and floral initiation. Rapidly degraded in response to GA.",1,"m_1_5076809",0.0144453975970951,0.0195332990466015,3.66812135234761,"m_1_4542122","m_1_5696129",1,4542122,5696129
"AT1G15580",45553,"Chr1","Araport11","gene",5365512,5366497,".","-",".","ID=AT1G15580;Name=AT1G15580;Note=indole-3-acetic acid inducible 5;curator_summary=auxin induced protein;symbol=IAA5;Alias=ATAUX2-27,AUX2-27,AUXIN-INDUCIBLE 2-27;full_name=indole-3-acetic acid inducible 5;computational_description=indole-3-acetic acid inducible 5 (IAA5)%3B FUNCTIONS IN: sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: response to auxin stimulus%2C response to cyclopentenone%2C response to brassinosteroid stimulus%3B LOCATED IN: nucleus%3B EXPRESSED IN: flower%3B EXPRESSED DURING: petal differentiation and expansion stage%3B CONTAINS InterPro DOMAIN/s: Aux/IAA-ARF-dimerisation (InterPro:IPR011525)%2C AUX/IAA protein (InterPro:IPR003311)%3B BEST Arabidopsis thaliana protein match is: indole-3-acetic acid inducible 19 (TAIR:AT3G15540.1)%3B Has 1807 Blast hits to 1806 proteins in 79 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 0%3B Fungi - 0%3B Plants - 1806%3B Viruses - 0%3B Other Eukaryotes - 1 (source: NCBI BLink).;Dbxref=PMID:7658471,PMID:2102379,PMID:11118137,PMID:12036262,PMID:16367964,PMID:16489122,PMID:17942448,PMID:18334669,PMID:18650403,PMID:20649941,PMID:22145973,PMID:23095998,PMID:23792371,locus:2196573;locus_type=protein_coding","ATAUX2-27,AUX2-27,AUXIN-INDUCIBLE 2-27","indole-3-acetic acid inducible 5","indole-3-acetic acid inducible 5","IAA5","auxin induced protein",1,"m_1_5076809",0.0144453975970951,0.0195332990466015,3.66812135234761,"m_1_4542122","m_1_5696129",1,4542122,5696129
"AT1G15790",46117,"Chr1","Araport11","gene",5438171,5440131,".","-",".","ID=AT1G15790;Name=AT1G15790;Note=mediator of RNA polymerase II transcription subunit 15a-like protein;computational_description=unknown protein%3B BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G15780.1)%3B Has 170 Blast hits to 94 proteins in 14 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 0%3B Fungi - 0%3B Plants - 170%3B Viruses - 0%3B Other Eukaryotes - 0 (source: NCBI BLink).;Dbxref=PMID:18650403,PMID:18775970,locus:2036169;locus_type=protein_coding","","","mediator of RNA polymerase II transcription subunit 15a-like protein","","",1,"m_1_5076809",0.0144453975970951,0.0195332990466015,3.66812135234761,"m_1_4542122","m_1_5696129",1,4542122,5696129
"AT1G15800",46179,"Chr1","Araport11","gene",5441072,5443911,".","-",".","ID=AT1G15800;Name=AT1G15800;Note=hypothetical protein;computational_description=unknown protein%3B BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G80610.1)%3B Has 56 Blast hits to 52 proteins in 9 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 0%3B Fungi - 0%3B Plants - 56%3B Viruses - 0%3B Other Eukaryotes - 0 (source: NCBI BLink).;Dbxref=PMID:18775970,locus:2036179;locus_type=protein_coding","","","hypothetical protein","","",1,"m_1_5076809",0.0144453975970951,0.0195332990466015,3.66812135234761,"m_1_4542122","m_1_5696129",1,4542122,5696129
"AT1G16410",47758,"Chr1","Araport11","gene",5608682,5612064,".","+",".","ID=AT1G16410;Name=AT1G16410;Note=cytochrome p450 79f1;curator_summary=member of CYP79F;symbol=CYP79F1;Alias=BUS1,BUSHY 1,SPS1,SUPERSHOOT 1;full_name=cytochrome p450 79f1;computational_description=cytochrome p450 79f1 (CYP79F1)%3B CONTAINS InterPro DOMAIN/s: Cytochrome P450 (InterPro:IPR001128)%2C Cytochrome P450%2C conserved site (InterPro:IPR017972)%2C Cytochrome P450%2C E-class%2C group I (InterPro:IPR002401)%3B BEST Arabidopsis thaliana protein match is: cytochrome P450%2C family 79%2C subfamily F%2C polypeptide 2 (TAIR:AT1G16400.1)%3B Has 27252 Blast hits to 27093 proteins in 1494 species: Archae - 44%3B Bacteria - 2170%3B Metazoa - 10673%3B Fungi - 5027%3B Plants - 8510%3B Viruses - 0%3B Other Eukaryotes - 828 (source: NCBI BLink).;Dbxref=PMID:11133994,PMID:11226190,PMID:12609033,PMID:15194821,PMID:16258015,PMID:17435248,PMID:18650403,PMID:18593532,PMID:20634083,PMID:23144921,PMID:23329848,locus:2032890;locus_type=protein_coding","BUS1,BUSHY 1,SPS1,SUPERSHOOT 1","cytochrome p450 79f1","cytochrome p450 79f1","CYP79F1","member of CYP79F",1,"m_1_5076809",0.0144453975970951,0.0195332990466015,3.66812135234761,"m_1_4542122","m_1_5696129",1,4542122,5696129
"AT1G25540",73036,"Chr1","Araport11","gene",8969065,8974815,".","-",".","ID=AT1G25540;Name=AT1G25540;Note=phytochrome and flowering time regulatory protein (PFT1);curator_summary=Encodes a nuclear protein that acts in a phyB pathway (but downstream of phyB) and induces flowering in response to suboptimal light conditions.  PFT1 promotes flowering in CO dependent and independent pathways and integrates several environmental stimuli%2C such as light quality and JA-dependent defenses.  Mutants are hypo-responsive to far-red and hyper-responsive to red light and flower late under long day conditions.  Also shown to be a Mediator subunit regulating jasmonate-dependent defense.;symbol=PFT1;Alias=MED25,mediator 25;full_name=PHYTOCHROME AND FLOWERING TIME 1;computational_description=PHYTOCHROME AND FLOWERING TIME 1 (PFT1)%3B CONTAINS InterPro DOMAIN/s: Mediator complex subunit Med25%2C von Willebrand factor type A (InterPro:IPR021419)%2C von Willebrand factor%2C type A (InterPro:IPR002035)%3B Has 144499 Blast hits to 47376 proteins in 2113 species: Archae - 36%3B Bacteria - 15041%3B Metazoa - 49547%3B Fungi - 14283%3B Plants - 10465%3B Viruses - 822%3B Other Eukaryotes - 54305 (source: NCBI BLink).;Dbxref=PMID:12815435,PMID:14576160,PMID:15778459,PMID:17560376,PMID:17631525,PMID:18315867,PMID:18502977,PMID:18650403,PMID:18790998,PMID:18775970,PMID:17916114,PMID:19671879,PMID:22021418,PMID:21985558,PMID:22353872,PMID:22447446,PMID:22822211,PMID:22822206,PMID:22760208,PMID:22992513,PMID:23106228,PMID:23455023,PMID:24456400,PMID:24583010,PMID:24874105,PMID:25116137,PMID:25281690,locus:2031200;locus_type=protein_coding","MED25,mediator 25","PHYTOCHROME AND FLOWERING TIME 1","phytochrome and flowering time regulatory protein (PFT1)","PFT1","Encodes a nuclear protein that acts in a phyB pathway (but downstream of phyB) and induces flowering in response to suboptimal light conditions.  PFT1 promotes flowering in CO dependent and independent pathways and integrates several environmental stimuli%2C such as light quality and JA-dependent defenses.  Mutants are hypo-responsive to far-red and hyper-responsive to red light and flower late under long day conditions.  Also shown to be a Mediator subunit regulating jasmonate-dependent defense.",1,"m_1_8502198",0.0195785765252237,0.0154244677422979,3.82809425633876,"m_1_8384238","m_1_9117257",1,8384238,9117257
"AT2G25930",267210,"Chr2","Araport11","gene",11058944,11063324,".","+",".","ID=AT2G25930;Name=AT2G25930;Note=hydroxyproline-rich glycoprotein family protein;curator_summary=Encodes a nuclear protein that is expressed rhythmically and interacts with phytochrome B to control plant development and flowering through a signal transduction pathway. Required component of the core circadian clock regardless of light conditions.;symbol=ELF3;Alias=PYK20;full_name=EARLY FLOWERING 3;computational_description=EARLY FLOWERING 3 (ELF3)%3B BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G21320.1)%3B Has 3878 Blast hits to 3344 proteins in 292 species: Archae - 0%3B Bacteria - 125%3B Metazoa - 1474%3B Fungi - 865%3B Plants - 343%3B Viruses - 16%3B Other Eukaryotes - 1055 (source: NCBI BLink).;Dbxref=PMID:10759510,PMID:10571046,PMID:10501030,PMID:10469647,PMID:10398702,PMID:10069068,PMID:9721681,PMID:8864121,PMID:8893545,PMID:7781888,PMID:11130072,PMID:11804815,PMID:11402160,PMID:11402161,PMID:11402162,PMID:12068102,PMID:12198185,PMID:15734916,PMID:15908595,PMID:15908440,PMID:16212608,PMID:16524874,PMID:17132630,PMID:18281417,PMID:18799658,PMID:16258016,PMID:19383102,PMID:19689783,PMID:19187043,PMID:20133619,PMID:20713464,PMID:20838594,PMID:21186174,PMID:21236675,PMID:21296763,PMID:21753751,PMID:21737277,PMID:21822060,PMID:21908721,PMID:22190341,PMID:21980300,PMID:22371569,PMID:22327739,PMID:22311777,PMID:22307044,PMID:22427344,PMID:22422935,PMID:22399582,PMID:22566625,PMID:22912900,PMID:22888152,PMID:23129635,PMID:24500967,PMID:24867215,PMID:25147271,PMID:25557667,PMID:25557663,locus:2043520;locus_type=protein_coding","PYK20","EARLY FLOWERING 3","hydroxyproline-rich glycoprotein family protein","ELF3","Encodes a nuclear protein that is expressed rhythmically and interacts with phytochrome B to control plant development and flowering through a signal transduction pathway. Required component of the core circadian clock regardless of light conditions.",2,"m_2_11095198",0.0246351622115596,0.0175054903940788,4.87675576580269,"m_2_10395643","m_2_12272151",2,10395643,12272151
