"ID","feature","chr","source","type","start","end","score","strand","phase","attributes","Alias","full_name","Note","symbol","curator_summary","chr_num","qtl","left_bound","right_bound","chr","left_pos","right_pos"
"AT4G00820",490431,"Chr4","Araport11","gene",349025,351550,".","+",".","ID=AT4G00820;Name=AT4G00820;Note=IQ-domain 17;symbol=iqd17;full_name=IQ-domain 17;computational_description=IQ-domain 17 (iqd17)%3B CONTAINS InterPro DOMAIN/s: IQ calmodulin-binding region (InterPro:IPR000048)%3B BEST Arabidopsis thaliana protein match is: IQ-domain 18 (TAIR:AT1G01110.2)%3B Has 1332 Blast hits to 1131 proteins in 120 species: Archae - 0%3B Bacteria - 14%3B Metazoa - 172%3B Fungi - 58%3B Plants - 857%3B Viruses - 43%3B Other Eukaryotes - 188 (source: NCBI BLink).;Dbxref=PMID:16368012,PMID:17551672,locus:2134628;locus_type=protein_coding","","IQ-domain 17","IQ-domain 17","iqd17","",4,"m_4_407208","m_4_41028","m_4_527682",4,41028,527682
"AT4G00880",490623,"Chr4","Araport11","gene",366373,367274,".","-",".","ID=AT4G00880;Name=AT4G00880;Note=SAUR-like auxin-responsive protein family;Alias=SAUR31,SMALL AUXIN UPREGULATED RNA 31;computational_description=SAUR-like auxin-responsive protein family %3B CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676)%3B BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT2G46690.1)%3B Has 1421 Blast hits to 1407 proteins in 27 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 0%3B Fungi - 0%3B Plants - 1420%3B Viruses - 0%3B Other Eukaryotes - 1 (source: NCBI BLink).;Dbxref=PMID:16673935,PMID:16901781,PMID:18552355,PMID:18650403,locus:2134598;locus_type=protein_coding","SAUR31,SMALL AUXIN UPREGULATED RNA 31","","SAUR-like auxin-responsive protein family","","",4,"m_4_407208","m_4_41028","m_4_527682",4,41028,527682
"AT5G11190",638247,"Chr5","Araport11","gene",3564824,3566260,".","+",".","ID=AT5G11190;Name=AT5G11190;Note=Integrase-type DNA-binding superfamily protein;curator_summary=encodes a member of the ERF (ethylene response factor) subfamily B-6 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 12 members in this subfamily including RAP2.11.;symbol=SHN2;full_name=shine2;computational_description=shine3 (SHN3)%3B FUNCTIONS IN: DNA binding%2C sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: regulation of transcription%2C DNA-dependent%3B LOCATED IN: mitochondrion%2C nucleus%3B EXPRESSED IN: anther dehiscence zone%2C fruit dehiscence zone%3B CONTAINS InterPro DOMAIN/s: DNA-binding%2C integrase-type (InterPro:IPR016177)%2C Pathogenesis-related transcriptional factor/ERF%2C DNA-binding (InterPro:IPR001471)%3B BEST Arabidopsis thaliana protein match is: Integrase-type DNA-binding superfamily protein (TAIR:AT5G25390.2)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).;Dbxref=PMID:11118137,PMID:15078338,PMID:15070782,PMID:15319479,PMID:21637781,PMID:22516817,PMID:23505340,PMID:25687296,locus:2148022;locus_type=protein_coding","","shine2","Integrase-type DNA-binding superfamily protein","SHN2","encodes a member of the ERF (ethylene response factor) subfamily B-6 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 12 members in this subfamily including RAP2.11.",5,"m_5_4216890","m_5_3465436","m_5_4251866",5,3465436,4251866
"AT5G11260",638522,"Chr5","Araport11","gene",3593335,3595073,".","-",".","ID=AT5G11260;Name=AT5G11260;Note=Basic-leucine zipper (bZIP) transcription factor family protein;curator_summary=Basic leucine zipper (bZIP) transcription factor. Nuclear localization. Involved in light-regulated transcriptional activation of G-box-containing promoters. Negatively regulated by Cop1. Although cytokinins do not appear to affect the gene's promoter activity%2C they appear to stabilize the protein. HY5 plays a role in anthocyanin accumulation in far-red light and blue light%2C but not in red light or in the dark. Mutant studies showed that the gene product is involved in the positive regulation of the PHYA-mediated inhibition of hypocotyl elongation. Binds to G- and Z-boxes%2C and other ACEs%2C but not to E-box. Loss of function mutation shows ABA resistant seedling phenotypes suggesting involvement for HY5 in mediating ABA responses. Binds to the promoter of ABI5 and regulates its expression.;symbol=HY5;Alias=TED 5,REVERSAL OF THE DET PHENOTYPE 5;full_name=ELONGATED HYPOCOTYL 5;computational_description=ELONGATED HYPOCOTYL 5 (HY5)%3B FUNCTIONS IN: double-stranded DNA binding%2C DNA binding%2C sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: in 13 processes%3B LOCATED IN: nucleus%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Basic-leucine zipper (bZIP) transcription factor (InterPro:IPR004827)%2C bZIP transcription factor%2C bZIP-1 (InterPro:IPR011616)%2C cAMP response element binding (CREB) protein (InterPro:IPR001630)%3B BEST Arabidopsis thaliana protein match is: HY5-homolog (TAIR:AT3G17609.2)%3B Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12%3B Bacteria - 1396%3B Metazoa - 17338%3B Fungi - 3422%3B Plants - 5037%3B Viruses - 0%3B Other Eukaryotes - 2996 (source: NCBI BLink).;Dbxref=PMID:10990463,PMID:10839542,PMID:9755158,PMID:9721678,PMID:9659918,PMID:9596629,PMID:9367981,PMID:9093863,PMID:8624438,PMID:8819865,PMID:8038603,PMID:8038602,PMID:11019812,PMID:11118137,PMID:11115869,PMID:11226162,PMID:11706180,PMID:11684663,PMID:11752385,PMID:11883605,PMID:11906833,PMID:11145879,PMID:11161203,PMID:11553757,PMID:11509693,PMID:12028569,PMID:12023303,PMID:12000677,PMID:12061902,PMID:12324590,PMID:12225670,PMID:12220265,PMID:12445126,PMID:12397181,PMID:12368504,PMID:12368493,PMID:14563928,PMID:14597662,PMID:14645731,PMID:14739338,PMID:15525647,PMID:15741320,PMID:15960622,PMID:16330762,PMID:16565297,PMID:16829591,PMID:16813572,PMID:16908503,PMID:16891401,PMID:17001643,PMID:17076805,PMID:17261584,PMID:17217468,PMID:17319847,PMID:17337630,PMID:17478635,PMID:17720867,PMID:17965270,PMID:17929051,PMID:18082144,PMID:18065688,PMID:18055587,PMID:18053005,PMID:18203870,PMID:18182030,PMID:18287490,PMID:18266923,PMID:18332440,PMID:18481083,PMID:18621945,PMID:18796637,PMID:19329557,PMID:19492112,PMID:17121469,PMID:18540109,PMID:18778247,PMID:19140931,PMID:19324677,PMID:19559617,PMID:19558421,PMID:19704462,PMID:19734083,PMID:19802365,PMID:19895401,PMID:20041285,PMID:20008096,PMID:20031919,PMID:20031914,PMID:20047775,PMID:20351290,PMID:20491669,PMID:20487384,PMID:20565708,PMID:20876338,PMID:20864454,PMID:20818397,PMID:20009559,PMID:20932601,PMID:21097709,PMID:21093457,PMID:21041653,PMID:21265889,PMID:21333657,PMID:21332509,PMID:21301222,PMID:21427283,PMID:21395889,PMID:21525334,PMID:21511871,PMID:21499259,PMID:21623972,PMID:21632973,PMID:21645149,PMID:21715650,PMID:21848684,PMID:21821942,PMID:21947436,PMID:21930922,PMID:21904598,PMID:21636970,PMID:22188380,PMID:22321255,PMID:22424472,PMID:22410790,PMID:22516816,PMID:22057333,PMID:22582101,PMID:22699753,PMID:22692212,PMID:22681544,PMID:22827944,PMID:22760208,PMID:22990446,PMID:22988111,PMID:23093358,PMID:23150635,PMID:23142794,PMID:23123453,PMID:23314848,PMID:23314821,PMID:23371951,PMID:23425851,PMID:23624715,PMID:23583450,PMID:23645630,PMID:23733077,PMID:23864838,PMID:23933882,PMID:23893169,PMID:24304604,PMID:23503597,PMID:24610722,PMID:24586210,PMID:24586043,PMID:24583010,PMID:24858936,PMID:23733056,PMID:25052717,PMID:25049395,PMID:25025208,PMID:24348273,PMID:25248106,PMID:25351492,PMID:25534860,PMID:25533339,PMID:25516599,PMID:25443843,PMID:25630103,PMID:25557464,locus:2148007;locus_type=protein_coding","TED 5,REVERSAL OF THE DET PHENOTYPE 5","ELONGATED HYPOCOTYL 5","Basic-leucine zipper (bZIP) transcription factor family protein","HY5","Basic leucine zipper (bZIP) transcription factor. Nuclear localization. Involved in light-regulated transcriptional activation of G-box-containing promoters. Negatively regulated by Cop1. Although cytokinins do not appear to affect the gene's promoter activity%2C they appear to stabilize the protein. HY5 plays a role in anthocyanin accumulation in far-red light and blue light%2C but not in red light or in the dark. Mutant studies showed that the gene product is involved in the positive regulation of the PHYA-mediated inhibition of hypocotyl elongation. Binds to G- and Z-boxes%2C and other ACEs%2C but not to E-box. Loss of function mutation shows ABA resistant seedling phenotypes suggesting involvement for HY5 in mediating ABA responses. Binds to the promoter of ABI5 and regulates its expression.",5,"m_5_4216890","m_5_3465436","m_5_4251866",5,3465436,4251866
"AT5G11320",638654,"Chr5","Araport11","gene",3611247,3613640,".","-",".","ID=AT5G11320;Name=AT5G11320;Note=Flavin-binding monooxygenase family protein;curator_summary=Belongs to the YUC gene family.  Encodes a predicted flavin monooxygenase YUC4 involved in auxin biosynthesis and plant development.;symbol=YUC4;Alias=AtYUC4;full_name=YUCCA4;computational_description=YUCCA4 (YUC4)%3B FUNCTIONS IN: NADP or NADPH binding%2C oxidoreductase activity%2C monooxygenase activity%2C FAD binding%2C flavin-containing monooxygenase activity%3B INVOLVED IN: in 7 processes%3B EXPRESSED IN: 12 plant structures%3B EXPRESSED DURING: 6 growth stages%3B CONTAINS InterPro DOMAIN/s: Pyridine nucleotide-disulphide oxidoreductase%2C class-II (InterPro:IPR000103)%2C FAD-dependent pyridine nucleotide-disulphide oxidoreductase (InterPro:IPR013027)%2C Flavin-containing monooxygenase-like (InterPro:IPR020946)%3B BEST Arabidopsis thaliana protein match is: Flavin-binding monooxygenase family protein (TAIR:AT4G32540.1)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).;Dbxref=PMID:16818609,PMID:16740145,PMID:17059406,PMID:17704214,PMID:18000043,PMID:18287041,PMID:19075219,PMID:19279202,PMID:19435937,PMID:18811619,PMID:20154152,PMID:21205174,PMID:22233288,PMID:22318676,PMID:22301969,PMID:22491872,PMID:23621152,PMID:23722561,locus:2147962;locus_type=protein_coding","AtYUC4","YUCCA4","Flavin-binding monooxygenase family protein","YUC4","Belongs to the YUC gene family.  Encodes a predicted flavin monooxygenase YUC4 involved in auxin biosynthesis and plant development.",5,"m_5_4216890","m_5_3465436","m_5_4251866",5,3465436,4251866
"AT5G12050",640784,"Chr5","Araport11","gene",3889906,3891514,".","+",".","ID=AT5G12050;Name=AT5G12050;Note=rho GTPase-activating protein;computational_description=unknown protein%3B BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G13980.1)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).;Dbxref=PMID:21499259,locus:2143049;locus_type=protein_coding","","","rho GTPase-activating protein","","",5,"m_5_4216890","m_5_3465436","m_5_4251866",5,3465436,4251866
"AT5G13220",643167,"Chr5","Araport11","gene",4218786,4221077,".","+",".","ID=AT5G13220;Name=AT5G13220;Note=jasmonate-zim-domain protein 10;curator_summary=Plants overexpressing At5g13220.3%2C but not At5g13220.1 showed enhanced insensitivity to MeJa.;symbol=JAZ10;Alias=JAS1,JASMONATE-ASSOCIATED 1,TIFY9,TIFY DOMAIN PROTEIN 9;full_name=jasmonate-zim-domain protein 10;computational_description=jasmonate-zim-domain protein 10 (JAZ10)%3B FUNCTIONS IN: protein binding%3B INVOLVED IN: response to jasmonic acid stimulus%2C regulation of systemic acquired resistance%2C response to wounding%3B LOCATED IN: nucleus%3B EXPRESSED IN: 21 plant structures%3B EXPRESSED DURING: 11 growth stages%3B CONTAINS InterPro DOMAIN/s: Tify (InterPro:IPR010399)%2C CCT domain-like (InterPro:IPR018467)%3B BEST Arabidopsis thaliana protein match is: jasmonate-zim-domain protein 12 (TAIR:AT5G20900.1)%3B Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12%3B Bacteria - 1396%3B Metazoa - 17338%3B Fungi - 3422%3B Plants - 5037%3B Viruses - 0%3B Other Eukaryotes - 2996 (source: NCBI BLink).;Dbxref=PMID:17499004,PMID:17637675,PMID:17637677,PMID:17675405,PMID:18252252,PMID:18775970,PMID:19151223,PMID:19846562,PMID:20081042,PMID:20360743,PMID:20579310,PMID:20525008,PMID:21726394,PMID:22371506,PMID:22447155,PMID:22631228,PMID:23632853,PMID:25103816,PMID:25236170,locus:2183921;locus_type=protein_coding","JAS1,JASMONATE-ASSOCIATED 1,TIFY9,TIFY DOMAIN PROTEIN 9","jasmonate-zim-domain protein 10","jasmonate-zim-domain protein 10","JAZ10","Plants overexpressing At5g13220.3%2C but not At5g13220.1 showed enhanced insensitivity to MeJa.",5,"m_5_4216890","m_5_3465436","m_5_4251866",5,3465436,4251866
"AT5G65610",782144,"Chr5","Araport11","gene",26219442,26221028,".","+",".","ID=AT5G65610;Name=AT5G65610;Note=hypothetical protein;computational_description=unknown protein%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).;Dbxref=locus:2155695;locus_type=protein_coding","","","hypothetical protein","","",5,"m_5_26130021","m_5_25950815","m_5_26346630",5,25950815,26346630
"AT5G65800",783015,"Chr5","Araport11","gene",26330746,26332812,".","-",".","ID=AT5G65800;Name=AT5G65800;Note=ACC synthase 5;curator_summary=1-aminocyclopropane-1-carboxylate synthase (ACS) is encoded by a multigene family consisting of at least five members whose expression is induced by hormones%2C developmental signals%2C and protein synthesis inhibition.;symbol=ACS5;Alias=ATACS5,CIN5,CYTOKININ-INSENSITIVE 5,ETO2,ETHYLENE OVERPRODUCER 2;full_name=ACC synthase 5;computational_description=ACC synthase 5 (ACS5)%3B CONTAINS InterPro DOMAIN/s: 1-aminocyclopropane-1-carboxylate synthase (InterPro:IPR001176)%2C Pyridoxal phosphate-dependent transferase%2C major domain (InterPro:IPR015424)%2C Aminotransferase%2C class I/classII (InterPro:IPR004839)%2C Aminotransferases%2C class-I%2C pyridoxal-phosphate-binding site (InterPro:IPR004838)%2C Pyridoxal phosphate-dependent transferase%2C major region%2C subdomain 1 (InterPro:IPR015421)%2C Pyridoxal phosphate-dependent transferase%2C major region%2C subdomain 2 (InterPro:IPR015422)%3B BEST Arabidopsis thaliana protein match is: 1-aminocyclopropane-1-carboxylate synthase 9 (TAIR:AT3G49700.1)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).;Dbxref=PMID:9952448,PMID:9539813,PMID:9011084,PMID:11027700,PMID:11605960,PMID:11950988,PMID:11860212,PMID:11858262,PMID:12566591,PMID:12968022,PMID:15118728,PMID:15466221,PMID:15699063,PMID:15908600,PMID:16325963,PMID:18084766,PMID:18808454,PMID:19190240,PMID:18980656,PMID:19132085,PMID:19752216,PMID:20682786,PMID:21575089,PMID:21535259,PMID:21533019,PMID:21645149,PMID:21949212,PMID:22995285,PMID:23512855,PMID:23166504,PMID:24065059,PMID:25464840,locus:2169980;locus_type=protein_coding","ATACS5,CIN5,CYTOKININ-INSENSITIVE 5,ETO2,ETHYLENE OVERPRODUCER 2","ACC synthase 5","ACC synthase 5","ACS5","1-aminocyclopropane-1-carboxylate synthase (ACS) is encoded by a multigene family consisting of at least five members whose expression is induced by hormones%2C developmental signals%2C and protein synthesis inhibition.",5,"m_5_26130021","m_5_25950815","m_5_26346630",5,25950815,26346630
"AT4G16250",537018,"Chr4","Araport11","gene",9195247,9199840,".","-",".","ID=AT4G16250;Name=AT4G16250;Note=phytochrome D;curator_summary=Encodes a phytochrome photoreceptor with a function similar to that of phyB that absorbs the red/far-red part of the light spectrum and is involved in light responses.  It cannot compensate for phyB loss in Arabidopsis but can substitute for tobacco phyB in vivo.;symbol=PHYD;full_name=phytochrome D;computational_description=phytochrome D (PHYD)%3B CONTAINS InterPro DOMAIN/s: Phytochrome%2C central region (InterPro:IPR013515)%2C Signal transduction histidine kinase%2C core (InterPro:IPR005467)%2C PAS fold (InterPro:IPR013767)%2C PAS (InterPro:IPR000014)%2C Phytochrome chromophore attachment domain (InterPro:IPR016132)%2C ATPase-like%2C ATP-binding domain (InterPro:IPR003594)%2C PAS fold-2 (InterPro:IPR013654)%2C Phytochrome A/B/C/D/E (InterPro:IPR012129)%2C Phytochrome (InterPro:IPR001294)%2C Phytochrome chromophore binding site (InterPro:IPR013516)%2C Signal transduction histidine kinase%2C subgroup 1%2C dimerisation/phosphoacceptor domain (InterPro:IPR003661)%2C GAF (InterPro:IPR003018)%3B BEST Arabidopsis thaliana protein match is: phytochrome B (TAIR:AT2G18790.1)%3B Has 26426 Blast hits to 26152 proteins in 3833 species: Archae - 221%3B Bacteria - 20797%3B Metazoa - 4%3B Fungi - 482%3B Plants - 3855%3B Viruses - 5%3B Other Eukaryotes - 1062 (source: NCBI BLink).;Dbxref=PMID:10649883,PMID:10571889,PMID:10485280,PMID:10069829,PMID:9724694,PMID:9611171,PMID:9390432,PMID:9286109,PMID:9252112,PMID:8865668,PMID:7539307,PMID:7580861,PMID:8049367,PMID:11161059,PMID:11437253,PMID:11553757,PMID:12644690,PMID:12713538,PMID:12825695,PMID:12953104,PMID:15155879,PMID:15273290,PMID:15695459,PMID:15753105,PMID:12692350,PMID:17076805,PMID:17346261,PMID:18028293,PMID:18539749,PMID:19240103,PMID:19286967,PMID:19255368,PMID:19453482,PMID:18768161,PMID:19581446,PMID:20605855,PMID:21985558,PMID:22732244,PMID:23772959,PMID:24471455,PMID:24604733,PMID:24433169,locus:2005535;locus_type=protein_coding","","phytochrome D","phytochrome D","PHYD","Encodes a phytochrome photoreceptor with a function similar to that of phyB that absorbs the red/far-red part of the light spectrum and is involved in light responses.  It cannot compensate for phyB loss in Arabidopsis but can substitute for tobacco phyB in vivo.",4,"m_4_9222034","m_4_8913726","m_4_10087222",4,8913726,10087222
