"ID","feature","chr","source","type","start","end","score","strand","phase","attributes","Alias","full_name","Note","symbol","curator_summary","chr_num","qtl","avg_snp_betas_sq","avg_snp_pve","score","left_bound","right_bound","chr","left_pos","right_pos"
"AT1G68620",172318,"Chr1","Araport11","gene",25765718,25767240,".","+",".","ID=AT1G68620;Name=AT1G68620;Note=alpha/beta-Hydrolases superfamily protein;computational_description=alpha/beta-Hydrolases superfamily protein%3B FUNCTIONS IN: hydrolase activity%3B INVOLVED IN: metabolic process%3B LOCATED IN: cellular_component unknown%3B EXPRESSED IN: 11 plant structures%3B EXPRESSED DURING: LP.06 six leaves visible%2C LP.04 four leaves visible%2C 4 anthesis%2C C globular stage%2C petal differentiation and expansion stage%3B CONTAINS InterPro DOMAIN/s: Lipase%2C GDXG%2C active site (InterPro:IPR002168)%2C Alpha/beta hydrolase fold-3 (InterPro:IPR013094)%3B BEST Arabidopsis thaliana protein match is: carboxyesterase 17 (TAIR:AT5G16080.1)%3B Has 11100 Blast hits to 11083 proteins in 1670 species: Archae - 110%3B Bacteria - 6437%3B Metazoa - 919%3B Fungi - 1098%3B Plants - 1346%3B Viruses - 3%3B Other Eukaryotes - 1187 (source: NCBI BLink).;Dbxref=PMID:14738307,PMID:15489280,PMID:15824099,PMID:17337630,PMID:18307990,PMID:18650403,locus:2026920;locus_type=protein_coding","","","alpha/beta-Hydrolases superfamily protein","","",1,"m_1_26065076",0.0202193053597855,0.0190449557585271,4.03396487531545,"m_1_25762752","m_1_26663272",1,25762752,26663272
"AT1G69010",173484,"Chr1","Araport11","gene",25941629,25944265,".","+",".","ID=AT1G69010;Name=AT1G69010;Note=BES1-interacting Myc-like protein 2;curator_summary=Encodes BES1-INTERACTING MYC-LIKE 2 (BIM2)%2C a PAR1 (PHYTOCHROME RAPIDLY REGULATED 1)-interacting protein that positively modulates the shade avoidance syndrome in Arabidopsis seedlings.;symbol=BIM2;full_name=BES1-interacting Myc-like protein 2;computational_description=BES1-interacting Myc-like protein 2 (BIM2)%3B FUNCTIONS IN: DNA binding%2C sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: dTDP-rhamnose biosynthetic process%2C regulation of transcription%3B LOCATED IN: nucleus%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092)%2C Helix-loop-helix DNA-binding (InterPro:IPR011598)%3B BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding superfamily protein (TAIR:AT5G08130.3)%3B Has 2743 Blast hits to 2732 proteins in 181 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 222%3B Fungi - 63%3B Plants - 2453%3B Viruses - 0%3B Other Eukaryotes - 5 (source: NCBI BLink).;Dbxref=PMID:11118137,PMID:12679534,PMID:12897250,PMID:14600211,PMID:14871309,PMID:15010618,PMID:15680330,PMID:17411438,PMID:23763263,locus:2205455;locus_type=protein_coding","","BES1-interacting Myc-like protein 2","BES1-interacting Myc-like protein 2","BIM2","Encodes BES1-INTERACTING MYC-LIKE 2 (BIM2)%2C a PAR1 (PHYTOCHROME RAPIDLY REGULATED 1)-interacting protein that positively modulates the shade avoidance syndrome in Arabidopsis seedlings.",1,"m_1_26065076",0.0202193053597855,0.0190449557585271,4.03396487531545,"m_1_25762752","m_1_26663272",1,25762752,26663272
"AT1G69160",173829,"Chr1","Araport11","gene",25999837,26001614,".","+",".","ID=AT1G69160;Name=AT1G69160;Note=suppressor;computational_description=unknown protein%3B BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G13980.1)%3B Has 173 Blast hits to 172 proteins in 54 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 25%3B Fungi - 33%3B Plants - 84%3B Viruses - 2%3B Other Eukaryotes - 29 (source: NCBI BLink).;Dbxref=PMID:16121258,PMID:17227549,locus:2033228;locus_type=protein_coding","","","suppressor","","",1,"m_1_26065076",0.0202193053597855,0.0190449557585271,4.03396487531545,"m_1_25762752","m_1_26663272",1,25762752,26663272
"AT1G69490",174578,"Chr1","Araport11","gene",26122080,26123514,".","+",".","ID=AT1G69490;Name=AT1G69490;Note=NAC-like%2C activated by AP3/PI;curator_summary=Encodes a member of the NAC transcription factor gene family.  It is expressed in floral primordia and upregulated by AP3 and PI.  Its expression is associated with leaf senescence.;symbol=NAP;Alias=ANAC029,Arabidopsis NAC domain containing protein 29,ATNAP,NAC-LIKE, ACTIVATED BY AP3/PI;full_name=NAC-like%2C activated by AP3/PI;computational_description=NAC-like%2C activated by AP3/PI (NAP)%3B CONTAINS InterPro DOMAIN/s: No apical meristem (NAM) protein (InterPro:IPR003441)%3B BEST Arabidopsis thaliana protein match is: NAC domain containing protein 25 (TAIR:AT1G61110.1)%3B Has 3046 Blast hits to 3040 proteins in 76 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 0%3B Fungi - 0%3B Plants - 3046%3B Viruses - 0%3B Other Eukaryotes - 0 (source: NCBI BLink).;Dbxref=PMID:10660065,PMID:9489703,PMID:11118137,PMID:15029955,PMID:15937229,PMID:16640597,PMID:16845477,PMID:17238908,PMID:18650403,PMID:22706448,PMID:23079980,PMID:23959884,PMID:23926065,PMID:24659488,PMID:24709156,PMID:25516602,locus:2007166;locus_type=protein_coding","ANAC029,Arabidopsis NAC domain containing protein 29,ATNAP,NAC-LIKE, ACTIVATED BY AP3/PI","NAC-like%2C activated by AP3/PI","NAC-like%2C activated by AP3/PI","NAP","Encodes a member of the NAC transcription factor gene family.  It is expressed in floral primordia and upregulated by AP3 and PI.  Its expression is associated with leaf senescence.",1,"m_1_26065076",0.0202193053597855,0.0190449557585271,4.03396487531545,"m_1_25762752","m_1_26663272",1,25762752,26663272
"AT1G70210",176422,"Chr1","Araport11","gene",26439556,26443007,".","+",".","ID=AT1G70210;Name=AT1G70210;Note=CYCLIN D1%3B1;curator_summary=Encodes a D-type cyclin that physically interacts with CDC2A.  Its expression is upregulated early during germination.;symbol=CYCD1%3B1;Alias=ATCYCD1%3B1;full_name=CYCLIN D1%3B1;computational_description=CYCLIN D1%3B1 (CYCD1%3B1)%3B FUNCTIONS IN: cyclin-dependent protein kinase regulator activity%3B INVOLVED IN: G1 phase of mitotic cell cycle%2C regulation of cell cycle%3B LOCATED IN: nucleus%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Cyclin%2C C-terminal (InterPro:IPR004367)%2C Cyclin D (InterPro:IPR015451)%2C Cyclin-like (InterPro:IPR011028)%2C Cyclin-related (InterPro:IPR013763)%2C Cyclin%2C N-terminal (InterPro:IPR006671)%2C Cyclin (InterPro:IPR006670)%3B BEST Arabidopsis thaliana protein match is: Cyclin D2%3B1 (TAIR:AT2G22490.1)%3B Has 3455 Blast hits to 3453 proteins in 343 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 1586%3B Fungi - 382%3B Plants - 1073%3B Viruses - 13%3B Other Eukaryotes - 401 (source: NCBI BLink).;Dbxref=PMID:11971144,PMID:12169696,PMID:12383089,PMID:12837949,PMID:12913156,PMID:15908605,PMID:16489130,PMID:16767458,PMID:17951462,PMID:18650403,PMID:23020316,PMID:25127220,locus:2020663;locus_type=protein_coding","ATCYCD1%3B1","CYCLIN D1%3B1","CYCLIN D1%3B1","CYCD1%3B1","Encodes a D-type cyclin that physically interacts with CDC2A.  Its expression is upregulated early during germination.",1,"m_1_26065076",0.0202193053597855,0.0190449557585271,4.03396487531545,"m_1_25762752","m_1_26663272",1,25762752,26663272
"AT1G70560",177398,"Chr1","Araport11","gene",26604855,26607652,".","+",".","ID=AT1G70560;Name=AT1G70560;Note=tryptophan aminotransferase of Arabidopsis 1;curator_summary=TAA1 is involved in the shade-induced production of indole-3-pyruvate (IPA)%2C a precursor to IAA%2C a biologically active auxin. It is also involved in regulating many aspects of plant growth and development from embryogenesis to flower formation and plays a role in ethylene-mediated signaling. This enzyme can catalyze the formation of IPA from L-tryptophan. Though L-Trp is expected to be the preferred substrate in vivo%2C TAA1 also acts as an aminotransferase using L-Phe%2C L-Tyr%2C L-Leu%2C L-Ala%2C L-Met%2C and L-Gln.;symbol=TAA1;Alias=CKRC1,cytokinin induced root curling 1,SAV3,SHADE AVOIDANCE 3,WEI8,WEAK ETHYLENE INSENSITIVE 8;full_name=tryptophan aminotransferase of Arabidopsis 1;computational_description=tryptophan aminotransferase of Arabidopsis 1 (TAA1)%3B CONTAINS InterPro DOMAIN/s: Pyridoxal phosphate-dependent transferase%2C major domain (InterPro:IPR015424)%2C Pyridoxal phosphate-dependent transferase%2C major region%2C subdomain 1 (InterPro:IPR015421)%2C Allinase%2C C-terminal (InterPro:IPR006948)%2C Pyridoxal phosphate-dependent transferase%2C major region%2C subdomain 2 (InterPro:IPR015422)%3B BEST Arabidopsis thaliana protein match is: tryptophan aminotransferase related 1 (TAIR:AT1G23320.1)%3B Has 469 Blast hits to 469 proteins in 134 species: Archae - 44%3B Bacteria - 178%3B Metazoa - 0%3B Fungi - 0%3B Plants - 199%3B Viruses - 0%3B Other Eukaryotes - 48 (source: NCBI BLink).;Dbxref=PMID:15937229,PMID:18394997,PMID:18394996,PMID:19251652,PMID:20421476,PMID:19625638,PMID:21255165,PMID:21335375,PMID:22025724,PMID:22025721,PMID:22108406,PMID:22108404,PMID:22181713,PMID:23209113,PMID:23722561,PMID:23840182,PMID:24007561,PMID:24299123,PMID:24595288,PMID:24859261,PMID:25052716,locus:2026826;locus_type=protein_coding","CKRC1,cytokinin induced root curling 1,SAV3,SHADE AVOIDANCE 3,WEI8,WEAK ETHYLENE INSENSITIVE 8","tryptophan aminotransferase of Arabidopsis 1","tryptophan aminotransferase of Arabidopsis 1","TAA1","TAA1 is involved in the shade-induced production of indole-3-pyruvate (IPA)%2C a precursor to IAA%2C a biologically active auxin. It is also involved in regulating many aspects of plant growth and development from embryogenesis to flower formation and plays a role in ethylene-mediated signaling. This enzyme can catalyze the formation of IPA from L-tryptophan. Though L-Trp is expected to be the preferred substrate in vivo%2C TAA1 also acts as an aminotransferase using L-Phe%2C L-Tyr%2C L-Leu%2C L-Ala%2C L-Met%2C and L-Gln.",1,"m_1_26065076",0.0202193053597855,0.0190449557585271,4.03396487531545,"m_1_25762752","m_1_26663272",1,25762752,26663272
"AT1G70700",177999,"Chr1","Araport11","gene",26654529,26657350,".","+",".","ID=AT1G70700;Name=AT1G70700;Note=TIFY domain/Divergent CCT motif family protein;curator_summary=JAZ9 is a protein presumed to be involved in jasmonate signaling. JAZ9 transcript levels rise in response to a jasmonate stimulus. JAZ9 can interact with the COI1 F-box subunit of an SCF E3 ubiquitin ligase in a yeast-two-hybrid assay only in the presence of jasmonate-isoleucine (JA-ILE) or coronatine. The Jas domain appears to be important for JAZ9-COI1 interactions in the presence of coronatine. Two positive residues (R205 and R206) in the Jas domain shown to be important for coronatine -dependent COI1 binding are not required for binding AtMYC2.;symbol=TIFY7;computational_description=TIFY7%3B CONTAINS InterPro DOMAIN/s: Tify (InterPro:IPR010399)%2C CCT domain-like (InterPro:IPR018467)%3B BEST Arabidopsis thaliana protein match is: jasmonate-zim-domain protein 4 (TAIR:AT1G48500.1)%3B Has 360 Blast hits to 360 proteins in 27 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 0%3B Fungi - 0%3B Plants - 360%3B Viruses - 0%3B Other Eukaryotes - 0 (source: NCBI BLink).;Dbxref=PMID:17499004,PMID:17637675,PMID:17637677,PMID:17675405,PMID:18184068,PMID:18650403,PMID:20360743,PMID:21205029,PMID:21321051,PMID:22529386,PMID:23169619,locus:2033607;locus_type=protein_coding","","","TIFY domain/Divergent CCT motif family protein","TIFY7","JAZ9 is a protein presumed to be involved in jasmonate signaling. JAZ9 transcript levels rise in response to a jasmonate stimulus. JAZ9 can interact with the COI1 F-box subunit of an SCF E3 ubiquitin ligase in a yeast-two-hybrid assay only in the presence of jasmonate-isoleucine (JA-ILE) or coronatine. The Jas domain appears to be important for JAZ9-COI1 interactions in the presence of coronatine. Two positive residues (R205 and R206) in the Jas domain shown to be important for coronatine -dependent COI1 binding are not required for binding AtMYC2.",1,"m_1_26065076",0.0202193053597855,0.0190449557585271,4.03396487531545,"m_1_25762752","m_1_26663272",1,25762752,26663272
"AT4G00820",490431,"Chr4","Araport11","gene",349025,351550,".","+",".","ID=AT4G00820;Name=AT4G00820;Note=IQ-domain 17;symbol=iqd17;full_name=IQ-domain 17;computational_description=IQ-domain 17 (iqd17)%3B CONTAINS InterPro DOMAIN/s: IQ calmodulin-binding region (InterPro:IPR000048)%3B BEST Arabidopsis thaliana protein match is: IQ-domain 18 (TAIR:AT1G01110.2)%3B Has 1332 Blast hits to 1131 proteins in 120 species: Archae - 0%3B Bacteria - 14%3B Metazoa - 172%3B Fungi - 58%3B Plants - 857%3B Viruses - 43%3B Other Eukaryotes - 188 (source: NCBI BLink).;Dbxref=PMID:16368012,PMID:17551672,locus:2134628;locus_type=protein_coding","","IQ-domain 17","IQ-domain 17","iqd17","",4,"m_4_41028",0.384407071999518,0.119647605383165,46.3392995524835,"m_4_41028","m_4_527682",4,41028,527682
"AT4G00880",490623,"Chr4","Araport11","gene",366373,367274,".","-",".","ID=AT4G00880;Name=AT4G00880;Note=SAUR-like auxin-responsive protein family;Alias=SAUR31,SMALL AUXIN UPREGULATED RNA 31;computational_description=SAUR-like auxin-responsive protein family %3B CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676)%3B BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT2G46690.1)%3B Has 1421 Blast hits to 1407 proteins in 27 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 0%3B Fungi - 0%3B Plants - 1420%3B Viruses - 0%3B Other Eukaryotes - 1 (source: NCBI BLink).;Dbxref=PMID:16673935,PMID:16901781,PMID:18552355,PMID:18650403,locus:2134598;locus_type=protein_coding","SAUR31,SMALL AUXIN UPREGULATED RNA 31","","SAUR-like auxin-responsive protein family","","",4,"m_4_41028",0.384407071999518,0.119647605383165,46.3392995524835,"m_4_41028","m_4_527682",4,41028,527682
"AT4G14130",528820,"Chr4","Araport11","gene",8137020,8138392,".","-",".","ID=AT4G14130;Name=AT4G14130;Note=xyloglucan endotransglucosylase/hydrolase 15;curator_summary=xyloglucan endotransglycosylase-related protein (XTR7);symbol=XTH15;Alias=XTR7,xyloglucan endotransglycosylase 7;full_name=xyloglucan endotransglucosylase/hydrolase 15;computational_description=xyloglucan endotransglucosylase/hydrolase 15 (XTH15)%3B FUNCTIONS IN: hydrolase activity%2C acting on glycosyl bonds%2C xyloglucan:xyloglucosyl transferase activity%2C hydrolase activity%2C hydrolyzing O-glycosyl compounds%3B INVOLVED IN: N-terminal protein myristoylation%2C carbohydrate metabolic process%2C cellular glucan metabolic process%3B LOCATED IN: endomembrane system%2C apoplast%2C cell wall%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: Xyloglucan endotransglucosylase/hydrolase (InterPro:IPR016455)%2C Xyloglucan endo-transglycosylase%2C C-terminal (InterPro:IPR010713)%2C Concanavalin A-like lectin/glucanase%2C subgroup (InterPro:IPR013320)%2C Concanavalin A-like lectin/glucanase (InterPro:IPR008985)%2C Glycoside hydrolase%2C family 16 (InterPro:IPR000757)%2C Glycoside hydrolase%2C family 16%2C active site (InterPro:IPR008263)%3B BEST Arabidopsis thaliana protein match is: xyloglucan endotransglucosylase/hydrolase 16 (TAIR:AT3G23730.1)%3B Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12%3B Bacteria - 1396%3B Metazoa - 17338%3B Fungi - 3422%3B Plants - 5037%3B Viruses - 0%3B Other Eukaryotes - 2996 (source: NCBI BLink).;Dbxref=PMID:11673616,PMID:12376638,PMID:12538522,PMID:12514239,PMID:12620105,PMID:12773641,PMID:12795706,PMID:12777046,PMID:12913156,PMID:12912986,PMID:14558660,PMID:14966217,PMID:15047898,PMID:15319476,PMID:15341629,PMID:15720654,PMID:15772289,PMID:16463051,PMID:16514558,PMID:16648215,PMID:18055584,PMID:18252252,PMID:18684332,PMID:19291320,PMID:20688978,PMID:23776189,PMID:25446234,locus:2129445;locus_type=protein_coding","XTR7,xyloglucan endotransglycosylase 7","xyloglucan endotransglucosylase/hydrolase 15","xyloglucan endotransglucosylase/hydrolase 15","XTH15","xyloglucan endotransglycosylase-related protein (XTR7)",4,"m_4_9240644",0.0319030233864791,0.0223334367510623,5.53176117609856,"m_4_8118687","m_4_9871758",4,8118687,9871758
