pop,qtl,fixef,fixef_std,trait,count,trt_eff
Sha,m_4_41028,-0.866272542037304,0.0964023403785325,bd_geno,147,0.58
Sha,m_5_3142427,0.933308064961272,0.105850805786427,bd_geno,147,0.58
Sha,m_5_25961748,0.331847827935973,0.10776964758333,bd_geno,147,0.58
Sha,m_4_9240644,-0.275338974079745,0.1095406250689,bd_geno,147,0.58
Sha,m_1_26065076,-0.252364145121123,0.118836968478125,bd_geno,147,0.58
Bur-0,m_4_41028,-0.135301386826539,0.0503783602647247,bd_geno,142,0.58
Bur-0,m_5_3142427,0.14979176021606,0.0639753447937422,bd_geno,142,0.58
Bur-0,m_5_25961748,0.200048061518838,0.0559630066991594,bd_geno,142,0.58
Bur-0,m_4_9240644,-0.252241167159278,0.0609427344462535,bd_geno,142,0.58
Bur-0,m_1_26065076,-0.0816727510649177,0.0602963558540128,bd_geno,142,0.58
Blh-1,m_4_41028,-0.690726479411819,0.0611355167547169,bd_geno,132,0.58
Blh-1,m_5_3142427,-0.102965576200657,0.0607176099147416,bd_geno,132,0.58
Blh-1,m_5_25961748,0.127940506479567,0.0565946115085406,bd_geno,132,0.58
Blh-1,m_4_9240644,-0.0653182076623824,0.057667138044033,bd_geno,132,0.58
Blh-1,m_1_26065076,0.119258826498917,0.0558221595831376,bd_geno,132,0.58
Oy-0,m_4_41028,-0.0037002101160054,0.0369597788067088,bd_geno,149,0.58
Oy-0,m_5_3142427,0.0386676459706095,0.0307388164573619,bd_geno,149,0.58
Oy-0,m_5_25961748,0.117213451192678,0.0285213040578995,bd_geno,149,0.58
Oy-0,m_4_9240644,-0.0464213495917472,0.0309789199959544,bd_geno,149,0.58
Oy-0,m_1_26065076,0.142511981795733,0.0337588441131087,bd_geno,149,0.58
Jea,m_4_41028,-1.00460556454379,0.0782199586338228,bd_geno,145,0.58
Jea,m_5_3142427,-0.100743795934035,0.0916918549008313,bd_geno,145,0.58
Jea,m_5_25961748,0.116293067613721,0.0803376401176476,bd_geno,145,0.58
Jea,m_4_9240644,-0.084019045911695,0.0867542108212043,bd_geno,145,0.58
Jea,m_1_26065076,0.178484086741567,0.0823381161893786,bd_geno,145,0.58
Ita-0,m_4_41028,-0.641793212435133,0.107246549682681,bd_geno,130,0.58
Ita-0,m_5_3142427,-0.345763204232511,0.102072575557414,bd_geno,130,0.58
Ita-0,m_5_25961748,0.153984671646805,0.0810056511796543,bd_geno,130,0.58
Ita-0,m_4_9240644,0.0247604072578298,0.0892271619989106,bd_geno,130,0.58
Ita-0,m_1_26065076,-0.0977189838685927,0.0956024109042541,bd_geno,130,0.58
Cvi-0,m_4_41028,-0.042256479897125,0.0460586230328452,bd_geno,147,0.58
Cvi-0,m_5_3142427,-0.446873677709438,0.0568843812641684,bd_geno,147,0.58
Cvi-0,m_5_25961748,0.211659856924303,0.0479349421562661,bd_geno,147,0.58
Cvi-0,m_4_9240644,-0.26480638289729,0.0537939862977015,bd_geno,147,0.58
Cvi-0,m_1_26065076,-0.0262550780370809,0.0508307037155315,bd_geno,147,0.58
Sha,m_4_41028,-0.00764198844217415,0.00115426311074178,bd_gxe,147,0.58
Sha,m_5_3142427,0.00950360463712993,0.001288969209775,bd_gxe,147,0.58
Sha,m_4_9240644,-0.00227437668737369,0.00127055633328443,bd_gxe,147,0.58
