"ID","feature","chr","source","type","start","end","score","strand","phase","attributes","Alias","full_name","Note","symbol","curator_summary","chr_num","qtl","avg_snp_betas_sq","avg_snp_pve","score","left_bound","right_bound","chr","left_pos","right_pos"
"AT4G32280",586006,"Chr4","Araport11","gene",15583332,15584903,".","+",".","ID=AT4G32280;Name=AT4G32280;Note=indole-3-acetic acid inducible 29;curator_summary=Auxin inducible protein.;symbol=IAA29;full_name=indole-3-acetic acid inducible 29;computational_description=indole-3-acetic acid inducible 29 (IAA29)%3B FUNCTIONS IN: sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: response to auxin stimulus%2C response to cyclopentenone%2C response to red light%2C response to far red light%3B LOCATED IN: nucleus%3B EXPRESSED IN: 7 plant structures%3B EXPRESSED DURING: 6 growth stages%3B CONTAINS InterPro DOMAIN/s: Aux/IAA-ARF-dimerisation (InterPro:IPR011525)%2C AUX/IAA protein (InterPro:IPR003311)%3B BEST Arabidopsis thaliana protein match is: indoleacetic acid-induced protein 10 (TAIR:AT1G04100.1)%3B Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12%3B Bacteria - 1396%3B Metazoa - 17338%3B Fungi - 3422%3B Plants - 5037%3B Viruses - 0%3B Other Eukaryotes - 2996 (source: NCBI BLink).;Dbxref=PMID:11118137,PMID:12036262,PMID:15247399,PMID:12893885,PMID:16243906,PMID:16284307,PMID:16489122,PMID:16901781,PMID:17076805,PMID:17435085,PMID:17885085,PMID:18334669,PMID:19249207,PMID:21666227,PMID:23037004,PMID:23037003,PMID:23629833,PMID:23757399,PMID:24424094,locus:2116505;locus_type=protein_coding","","indole-3-acetic acid inducible 29","indole-3-acetic acid inducible 29","IAA29","Auxin inducible protein.",4,"m_4_16212324",0.0102839275907243,0.0202355761941672,4.40068603238912,"m_4_15280472","m_4_16532462",4,15280472,16532462
"AT4G32290",586052,"Chr4","Araport11","gene",15589434,15591213,".","-",".","ID=AT4G32290;Name=AT4G32290;Note=Core-2/I-branching beta-1%2C6-N-acetylglucosaminyltransferase family protein;computational_description=Core-2/I-branching beta-1%2C6-N-acetylglucosaminyltransferase family protein%3B FUNCTIONS IN: molecular_function unknown%3B INVOLVED IN: biological_process unknown%3B LOCATED IN: endomembrane system%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Core-2/I-Branching enzyme (InterPro:IPR021141)%3B BEST Arabidopsis thaliana protein match is: Core-2/I-branching beta-1%2C6-N-acetylglucosaminyltransferase family protein (TAIR:AT5G25330.1)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).;Dbxref=locus:2116515;locus_type=protein_coding","","","Core-2/I-branching beta-1%2C6-N-acetylglucosaminyltransferase family protein","","",4,"m_4_16212324",0.0102839275907243,0.0202355761941672,4.40068603238912,"m_4_15280472","m_4_16532462",4,15280472,16532462
"AT4G32540",586989,"Chr4","Araport11","gene",15700829,15703000,".","+",".","ID=AT4G32540;Name=AT4G32540;Note=Flavin-binding monooxygenase family protein;curator_summary=Mutant has elevated levels of free IAA in dominant mutant allele%3B Flavin Monooxygenase-Like Enzyme%3B Auxin Biosynthesis;symbol=YUC1;Alias=YUC,YUCCA;full_name=YUCCA 1;computational_description=YUCCA 1 (YUC1)%3B FUNCTIONS IN: NADP or NADPH binding%2C oxidoreductase activity%2C FAD binding%2C flavin-containing monooxygenase activity%3B INVOLVED IN: in 7 processes%3B EXPRESSED IN: 12 plant structures%3B EXPRESSED DURING: C globular stage%2C F mature embryo stage%2C petal differentiation and expansion stage%2C E expanded cotyledon stage%2C D bilateral stage%3B CONTAINS InterPro DOMAIN/s: Pyridine nucleotide-disulphide oxidoreductase%2C class-II (InterPro:IPR000103)%2C FAD-dependent pyridine nucleotide-disulphide oxidoreductase (InterPro:IPR013027)%2C Flavin-containing monooxygenase-like (InterPro:IPR020946)%3B BEST Arabidopsis thaliana protein match is: Flavin-binding monooxygenase family protein (TAIR:AT5G11320.1)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).;Dbxref=PMID:11914280,PMID:11209081,PMID:12464638,PMID:16126863,PMID:16818609,PMID:16905669,PMID:17704214,PMID:17919906,PMID:18000043,PMID:18799737,PMID:19075219,PMID:19154004,PMID:19223973,PMID:19306104,PMID:19279202,PMID:19525324,PMID:19710233,PMID:19820306,PMID:19995721,PMID:20237017,PMID:20421476,PMID:20974893,PMID:21051957,PMID:21205174,PMID:21511905,PMID:22025724,PMID:22025721,PMID:22108406,PMID:21251106,PMID:22995285,PMID:23271028,PMID:23521356,PMID:23722561,PMID:23840182,PMID:24398922,PMID:24595288,PMID:23776189,locus:2131322;locus_type=protein_coding","YUC,YUCCA","YUCCA 1","Flavin-binding monooxygenase family protein","YUC1","Mutant has elevated levels of free IAA in dominant mutant allele%3B Flavin Monooxygenase-Like Enzyme%3B Auxin Biosynthesis",4,"m_4_16212324",0.0102839275907243,0.0202355761941672,4.40068603238912,"m_4_15280472","m_4_16532462",4,15280472,16532462
"AT4G33400",590601,"Chr4","Araport11","gene",16077898,16080721,".","-",".","ID=AT4G33400;Name=AT4G33400;Note=Vacuolar import/degradation%2C Vid27-related protein;computational_description=Vacuolar import/degradation%2C Vid27-related protein%3B FUNCTIONS IN: molecular_function unknown%3B INVOLVED IN: N-terminal protein myristoylation%3B LOCATED IN: cytosol%2C nucleus%2C plasma membrane%3B EXPRESSED IN: 25 plant structures%3B EXPRESSED DURING: 15 growth stages%3B CONTAINS InterPro DOMAIN/s: WD40 repeat-like-containing domain (InterPro:IPR011046)%2C Vacuolar import/degradation%2C Vid27-related (InterPro:IPR013863)%3B BEST Arabidopsis thaliana protein match is: Vacuolar import/degradation%2C Vid27-related protein (TAIR:AT3G19240.1)%3B Has 271 Blast hits to 271 proteins in 130 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 6%3B Fungi - 139%3B Plants - 79%3B Viruses - 0%3B Other Eukaryotes - 47 (source: NCBI BLink).;Dbxref=PMID:12169696,PMID:12912986,PMID:15937229,PMID:17329565,PMID:17827350,PMID:18433157,PMID:18775970,locus:2119221;locus_type=protein_coding","","","Vacuolar import/degradation%2C Vid27-related protein","","",4,"m_4_16212324",0.0102839275907243,0.0202355761941672,4.40068603238912,"m_4_15280472","m_4_16532462",4,15280472,16532462
"AT4G34000",592305,"Chr4","Araport11","gene",16295334,16298285,".","+",".","ID=AT4G34000;Name=AT4G34000;Note=abscisic acid responsive elements-binding factor 3;curator_summary=Encodes an ABA-responsive element-binding protein with similarity to transcription factors that is expressed in response to stress and abscisic acid.;symbol=ABF3;Alias=AtABF3,DPBF5,DC3 PROMOTER-BINDING FACTOR 5;full_name=abscisic acid responsive elements-binding factor 3;computational_description=abscisic acid responsive elements-binding factor 3 (ABF3)%3B FUNCTIONS IN: protein binding%2C DNA binding%2C transcription activator activity%2C sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: in 6 processes%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 12 growth stages%3B CONTAINS InterPro DOMAIN/s: Basic-leucine zipper (bZIP) transcription factor (InterPro:IPR004827)%2C bZIP transcription factor%2C bZIP-1 (InterPro:IPR011616)%3B BEST Arabidopsis thaliana protein match is: ABRE binding factor 4 (TAIR:AT3G19290.1)%3B Has 2159 Blast hits to 2007 proteins in 161 species: Archae - 0%3B Bacteria - 4%3B Metazoa - 512%3B Fungi - 34%3B Plants - 1491%3B Viruses - 0%3B Other Eukaryotes - 118 (source: NCBI BLink).;Dbxref=PMID:10760247,PMID:10636868,PMID:11019812,PMID:11118137,PMID:11906833,PMID:12376636,PMID:16258012,PMID:16299177,PMID:16463099,PMID:16247556,PMID:19895399,PMID:20105335,PMID:20733066,PMID:20852918,PMID:19947981,PMID:21085673,PMID:21471120,PMID:22025559,PMID:22140235,PMID:22350156,PMID:23742014,PMID:24078097,PMID:24285786,PMID:24475264,PMID:24350984,PMID:24561249,PMID:24518068,PMID:24483851,PMID:24738645,PMID:25234727,PMID:25616872,locus:2118969;locus_type=protein_coding","AtABF3,DPBF5,DC3 PROMOTER-BINDING FACTOR 5","abscisic acid responsive elements-binding factor 3","abscisic acid responsive elements-binding factor 3","ABF3","Encodes an ABA-responsive element-binding protein with similarity to transcription factors that is expressed in response to stress and abscisic acid.",4,"m_4_16212324",0.0102839275907243,0.0202355761941672,4.40068603238912,"m_4_15280472","m_4_16532462",4,15280472,16532462
"AT4G34590",594334,"Chr4","Araport11","gene",16521861,16523230,".","+",".","ID=AT4G34590;Name=AT4G34590;Note=G-box binding factor 6;curator_summary=Encodes a basic domain leucine zipper (bZip) transcription factor bZIP11. Translation is repressed by sucrose. Directly regulates gene expression of ASN1 and ProDH2%2C which are enzyme-coding genes involved in amino acid metabolism.;symbol=GBF6;Alias=ATB2,AtbZIP11,Arabidopsis thaliana basic leucine-zipper 11,BZIP11;full_name=G-box binding factor 6;computational_description=G-box binding factor 6 (GBF6)%3B FUNCTIONS IN: DNA binding%2C protein heterodimerization activity%2C sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: sucrose induced translational repression%2C negative regulation of translation%2C regulation of transcription%2C DNA-dependent%2C response to sucrose stimulus%3B LOCATED IN: chloroplast%3B CONTAINS InterPro DOMAIN/s: Basic-leucine zipper (bZIP) transcription factor (InterPro:IPR004827)%2C bZIP transcription factor%2C bZIP-1 (InterPro:IPR011616)%3B BEST Arabidopsis thaliana protein match is: basic leucine-zipper 44 (TAIR:AT1G75390.1)%3B Has 1778 Blast hits to 1778 proteins in 91 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 8%3B Fungi - 2%3B Plants - 1730%3B Viruses - 0%3B Other Eukaryotes - 38 (source: NCBI BLink).;Dbxref=PMID:9721683,PMID:9620274,PMID:11118137,PMID:11906833,PMID:15047879,PMID:15208401,PMID:15667324,PMID:15548739,PMID:16709202,PMID:18088315,PMID:18231654,PMID:19403731,PMID:19376782,PMID:20179149,PMID:20799971,PMID:21534971,PMID:21753116,PMID:21889051,PMID:22253603,PMID:22457737,PMID:23461773,PMID:23735508,PMID:24861440,locus:2139584;locus_type=protein_coding","ATB2,AtbZIP11,Arabidopsis thaliana basic leucine-zipper 11,BZIP11","G-box binding factor 6","G-box binding factor 6","GBF6","Encodes a basic domain leucine zipper (bZip) transcription factor bZIP11. Translation is repressed by sucrose. Directly regulates gene expression of ASN1 and ProDH2%2C which are enzyme-coding genes involved in amino acid metabolism.",4,"m_4_16212324",0.0102839275907243,0.0202355761941672,4.40068603238912,"m_4_15280472","m_4_16532462",4,15280472,16532462
"AT4G00820",490431,"Chr4","Araport11","gene",349025,351550,".","+",".","ID=AT4G00820;Name=AT4G00820;Note=IQ-domain 17;symbol=iqd17;full_name=IQ-domain 17;computational_description=IQ-domain 17 (iqd17)%3B CONTAINS InterPro DOMAIN/s: IQ calmodulin-binding region (InterPro:IPR000048)%3B BEST Arabidopsis thaliana protein match is: IQ-domain 18 (TAIR:AT1G01110.2)%3B Has 1332 Blast hits to 1131 proteins in 120 species: Archae - 0%3B Bacteria - 14%3B Metazoa - 172%3B Fungi - 58%3B Plants - 857%3B Viruses - 43%3B Other Eukaryotes - 188 (source: NCBI BLink).;Dbxref=PMID:16368012,PMID:17551672,locus:2134628;locus_type=protein_coding","","IQ-domain 17","IQ-domain 17","iqd17","",4,"m_4_407208",0.177903608392431,0.079197424464769,25.5668277470975,"m_4_41028","m_4_527682",4,41028,527682
"AT4G00880",490623,"Chr4","Araport11","gene",366373,367274,".","-",".","ID=AT4G00880;Name=AT4G00880;Note=SAUR-like auxin-responsive protein family;Alias=SAUR31,SMALL AUXIN UPREGULATED RNA 31;computational_description=SAUR-like auxin-responsive protein family %3B CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676)%3B BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT2G46690.1)%3B Has 1421 Blast hits to 1407 proteins in 27 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 0%3B Fungi - 0%3B Plants - 1420%3B Viruses - 0%3B Other Eukaryotes - 1 (source: NCBI BLink).;Dbxref=PMID:16673935,PMID:16901781,PMID:18552355,PMID:18650403,locus:2134598;locus_type=protein_coding","SAUR31,SMALL AUXIN UPREGULATED RNA 31","","SAUR-like auxin-responsive protein family","","",4,"m_4_407208",0.177903608392431,0.079197424464769,25.5668277470975,"m_4_41028","m_4_527682",4,41028,527682
"AT4G15210",532911,"Chr4","Araport11","gene",8666334,8669526,".","-",".","ID=AT4G15210;Name=AT4G15210;Note=beta-amylase 5;curator_summary=cytosolic beta-amylase expressed in rosette leaves and inducible by sugar. RAM1 mutants have reduced beta amylase in leaves and stems.;symbol=BAM5;Alias=AT-BETA-AMY,ATBETA-AMY,ARABIDOPSIS THALIANA BETA-AMYLASE,BMY1,RAM1,REDUCED BETA AMYLASE 1;full_name=beta-amylase 5;computational_description=beta-amylase 5 (BAM5)%3B FUNCTIONS IN: beta-amylase activity%3B INVOLVED IN: response to herbivore%2C starch catabolic process%3B LOCATED IN: endomembrane system%3B EXPRESSED IN: 19 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: Glycoside hydrolase%2C family 14%2C conserved site (InterPro:IPR018238)%2C Glycoside hydrolase%2C family 14 (InterPro:IPR001554)%2C Glycoside hydrolase%2C catalytic core (InterPro:IPR017853)%2C Glycoside hydrolase%2C family 14B%2C plant (InterPro:IPR001371)%2C Glycoside hydrolase%2C subgroup%2C catalytic core (InterPro:IPR013781)%3B BEST Arabidopsis thaliana protein match is: beta-amylase 6 (TAIR:AT2G32290.1)%3B Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12%3B Bacteria - 1396%3B Metazoa - 17338%3B Fungi - 3422%3B Plants - 5037%3B Viruses - 0%3B Other Eukaryotes - 2996 (source: NCBI BLink).;Dbxref=PMID:10982426,PMID:10652124,PMID:9193090,PMID:9161039,PMID:8552713,PMID:7716246,PMID:8434930,PMID:11743123,PMID:11292072,PMID:12047632,PMID:12805584,PMID:15347792,PMID:15665241,PMID:15753106,PMID:15749471,PMID:15960623,PMID:15862090,PMID:16297066,PMID:18650403,PMID:19251652,PMID:20153546,PMID:20118269,PMID:21637781,PMID:23393426,PMID:24561248,PMID:25293962,locus:2129810;locus_type=protein_coding","AT-BETA-AMY,ATBETA-AMY,ARABIDOPSIS THALIANA BETA-AMYLASE,BMY1,RAM1,REDUCED BETA AMYLASE 1","beta-amylase 5","beta-amylase 5","BAM5","cytosolic beta-amylase expressed in rosette leaves and inducible by sugar. RAM1 mutants have reduced beta amylase in leaves and stems.",4,"m_4_9222034",0.0406499884598008,0.0260382192085191,7.15794625726584,"m_4_8504098","m_4_9455527",4,8504098,9455527
"AT4G15440",534589,"Chr4","Araport11","gene",8835368,8838676,".","+",".","ID=AT4G15440;Name=AT4G15440;Note=hydroperoxide lyase 1;curator_summary=Encodes a hydroperoxide lyase.  Also a member of the CYP74B cytochrome p450 family. In the ecotype Columbia (Col) the gene contains a 10-nucleotide deletion in its first  exon that causes it to code for a truncated protein that results in a non-functional hydroperoxide lyase.;symbol=HPL1;Alias=CYP74B2;full_name=hydroperoxide lyase 1;computational_description=hydroperoxide lyase 1 (HPL1)%3B FUNCTIONS IN: electron carrier activity%2C monooxygenase activity%2C iron ion binding%2C heme binding%3B INVOLVED IN: fatty acid metabolic process%2C response to wounding%3B LOCATED IN: chloroplast envelope%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Cytochrome P450 (InterPro:IPR001128)%2C Cytochrome P450%2C E-class%2C group IV (InterPro:IPR002403)%3B BEST Arabidopsis thaliana protein match is: allene oxide synthase (TAIR:AT5G42650.1)%3B Has 6712 Blast hits to 6702 proteins in 615 species: Archae - 25%3B Bacteria - 392%3B Metazoa - 3265%3B Fungi - 548%3B Plants - 2246%3B Viruses - 0%3B Other Eukaryotes - 236 (source: NCBI BLink).;Dbxref=PMID:9701595,PMID:12102506,PMID:12853141,PMID:15010618,PMID:15194820,PMID:15494554,PMID:16258015,PMID:16299169,PMID:16553894,PMID:16798886,PMID:17163881,PMID:17475618,PMID:17640338,PMID:17675405,PMID:18202002,PMID:18326828,PMID:18434606,PMID:18433503,PMID:20226671,PMID:23505340,PMID:23630530,PMID:25704332,locus:2130145;locus_type=protein_coding","CYP74B2","hydroperoxide lyase 1","hydroperoxide lyase 1","HPL1","Encodes a hydroperoxide lyase.  Also a member of the CYP74B cytochrome p450 family. In the ecotype Columbia (Col) the gene contains a 10-nucleotide deletion in its first  exon that causes it to code for a truncated protein that results in a non-functional hydroperoxide lyase.",4,"m_4_9222034",0.0406499884598008,0.0260382192085191,7.15794625726584,"m_4_8504098","m_4_9455527",4,8504098,9455527
