"ID","feature","chr","source","type","start","end","score","strand","phase","attributes","Alias","full_name","Note","symbol","curator_summary","chr_num","qtl","avg_snp_betas_sq","avg_snp_pve","score","left_bound","right_bound","chr","left_pos","right_pos"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m_2_11683361",0.000213805598826671,0.0207131845961789,5.18106944888133,"m_2_11607434","m_2_12272151",2,11607434,12272151
"AT4G34000",592305,"Chr4","Araport11","gene",16295334,16298285,".","+",".","ID=AT4G34000;Name=AT4G34000;Note=abscisic acid responsive elements-binding factor 3;curator_summary=Encodes an ABA-responsive element-binding protein with similarity to transcription factors that is expressed in response to stress and abscisic acid.;symbol=ABF3;Alias=AtABF3,DPBF5,DC3 PROMOTER-BINDING FACTOR 5;full_name=abscisic acid responsive elements-binding factor 3;computational_description=abscisic acid responsive elements-binding factor 3 (ABF3)%3B FUNCTIONS IN: protein binding%2C DNA binding%2C transcription activator activity%2C sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: in 6 processes%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 12 growth stages%3B CONTAINS InterPro DOMAIN/s: Basic-leucine zipper (bZIP) transcription factor (InterPro:IPR004827)%2C bZIP transcription factor%2C bZIP-1 (InterPro:IPR011616)%3B BEST Arabidopsis thaliana protein match is: ABRE binding factor 4 (TAIR:AT3G19290.1)%3B Has 2159 Blast hits to 2007 proteins in 161 species: Archae - 0%3B Bacteria - 4%3B Metazoa - 512%3B Fungi - 34%3B Plants - 1491%3B Viruses - 0%3B Other Eukaryotes - 118 (source: NCBI BLink).;Dbxref=PMID:10760247,PMID:10636868,PMID:11019812,PMID:11118137,PMID:11906833,PMID:12376636,PMID:16258012,PMID:16299177,PMID:16463099,PMID:16247556,PMID:19895399,PMID:20105335,PMID:20733066,PMID:20852918,PMID:19947981,PMID:21085673,PMID:21471120,PMID:22025559,PMID:22140235,PMID:22350156,PMID:23742014,PMID:24078097,PMID:24285786,PMID:24475264,PMID:24350984,PMID:24561249,PMID:24518068,PMID:24483851,PMID:24738645,PMID:25234727,PMID:25616872,locus:2118969;locus_type=protein_coding","AtABF3,DPBF5,DC3 PROMOTER-BINDING FACTOR 5","abscisic acid responsive elements-binding factor 3","abscisic acid responsive elements-binding factor 3","ABF3","Encodes an ABA-responsive element-binding protein with similarity to transcription factors that is expressed in response to stress and abscisic acid.",4,"m_4_16640333",0.000136905209181765,0.0135923680164436,3.67516527563947,"m_4_16212324","m_4_17289054",4,16212324,17289054
"AT4G34590",594334,"Chr4","Araport11","gene",16521861,16523230,".","+",".","ID=AT4G34590;Name=AT4G34590;Note=G-box binding factor 6;curator_summary=Encodes a basic domain leucine zipper (bZip) transcription factor bZIP11. Translation is repressed by sucrose. Directly regulates gene expression of ASN1 and ProDH2%2C which are enzyme-coding genes involved in amino acid metabolism.;symbol=GBF6;Alias=ATB2,AtbZIP11,Arabidopsis thaliana basic leucine-zipper 11,BZIP11;full_name=G-box binding factor 6;computational_description=G-box binding factor 6 (GBF6)%3B FUNCTIONS IN: DNA binding%2C protein heterodimerization activity%2C sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: sucrose induced translational repression%2C negative regulation of translation%2C regulation of transcription%2C DNA-dependent%2C response to sucrose stimulus%3B LOCATED IN: chloroplast%3B CONTAINS InterPro DOMAIN/s: Basic-leucine zipper (bZIP) transcription factor (InterPro:IPR004827)%2C bZIP transcription factor%2C bZIP-1 (InterPro:IPR011616)%3B BEST Arabidopsis thaliana protein match is: basic leucine-zipper 44 (TAIR:AT1G75390.1)%3B Has 1778 Blast hits to 1778 proteins in 91 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 8%3B Fungi - 2%3B Plants - 1730%3B Viruses - 0%3B Other Eukaryotes - 38 (source: NCBI BLink).;Dbxref=PMID:9721683,PMID:9620274,PMID:11118137,PMID:11906833,PMID:15047879,PMID:15208401,PMID:15667324,PMID:15548739,PMID:16709202,PMID:18088315,PMID:18231654,PMID:19403731,PMID:19376782,PMID:20179149,PMID:20799971,PMID:21534971,PMID:21753116,PMID:21889051,PMID:22253603,PMID:22457737,PMID:23461773,PMID:23735508,PMID:24861440,locus:2139584;locus_type=protein_coding","ATB2,AtbZIP11,Arabidopsis thaliana basic leucine-zipper 11,BZIP11","G-box binding factor 6","G-box binding factor 6","GBF6","Encodes a basic domain leucine zipper (bZip) transcription factor bZIP11. Translation is repressed by sucrose. Directly regulates gene expression of ASN1 and ProDH2%2C which are enzyme-coding genes involved in amino acid metabolism.",4,"m_4_16640333",0.000136905209181765,0.0135923680164436,3.67516527563947,"m_4_16212324","m_4_17289054",4,16212324,17289054
"AT4G34710",594636,"Chr4","Araport11","gene",16560030,16563044,".","-",".","ID=AT4G34710;Name=AT4G34710;Note=arginine decarboxylase 2;curator_summary=encodes a arginine decarboxylase (ADC)%2C a rate-limiting enzyme that catalyzes the first step of polyamine (PA) biosynthesis via ADC pathway in Arabidopsis thaliana. Arabidopsis genome has two ADC paralogs%2C ADC1 and ADC2. ADC2 is stress-inducible (osmotic stress). Double mutant analysis showed that ADC genes are essential for the production of PA%2C and are required for normal seed development. Overexpression causes phenotypes similar to GA-deficient plants and these plants show reduced levels of GA due to lower expression levels of AtGA20ox1%2C AtGA3ox3 and AtGA3ox1.;symbol=ADC2;Alias=ATADC2,SPE2;full_name=arginine decarboxylase 2;computational_description=arginine decarboxylase 2 (ADC2)%3B CONTAINS InterPro DOMAIN/s: Orn/DAP/Arg decarboxylase 2%2C C-terminal (InterPro:IPR022643)%2C Orn/DAP/Arg decarboxylase 2%2C conserved site (InterPro:IPR022657)%2C Orn/DAP/Arg decarboxylase 2%2C pyridoxal-phosphate binding site (InterPro:IPR022653)%2C Ornithine/DAP/Arg decarboxylase (InterPro:IPR000183)%2C Arginine decarboxylase (InterPro:IPR002985)%2C Orn/DAP/Arg decarboxylase 2%2C N-terminal (InterPro:IPR022644)%3B BEST Arabidopsis thaliana protein match is: arginine decarboxylase 1 (TAIR:AT2G16500.1)%3B Has 7853 Blast hits to 7777 proteins in 2122 species: Archae - 112%3B Bacteria - 5255%3B Metazoa - 102%3B Fungi - 32%3B Plants - 645%3B Viruses - 2%3B Other Eukaryotes - 1705 (source: NCBI BLink).;Dbxref=PMID:10481069,PMID:9787437,PMID:9680979,PMID:11576438,PMID:11351099,PMID:12111553,PMID:12428010,PMID:14684170,PMID:15086823,PMID:15347784,PMID:15634198,PMID:15733873,PMID:16045477,PMID:18375607,PMID:18701673,PMID:18775970,PMID:19054359,PMID:19303315,PMID:20351290,PMID:20206537,PMID:23080295,PMID:25409942,locus:2139629;locus_type=protein_coding","ATADC2,SPE2","arginine decarboxylase 2","arginine decarboxylase 2","ADC2","encodes a arginine decarboxylase (ADC)%2C a rate-limiting enzyme that catalyzes the first step of polyamine (PA) biosynthesis via ADC pathway in Arabidopsis thaliana. Arabidopsis genome has two ADC paralogs%2C ADC1 and ADC2. ADC2 is stress-inducible (osmotic stress). Double mutant analysis showed that ADC genes are essential for the production of PA%2C and are required for normal seed development. Overexpression causes phenotypes similar to GA-deficient plants and these plants show reduced levels of GA due to lower expression levels of AtGA20ox1%2C AtGA3ox3 and AtGA3ox1.",4,"m_4_16640333",0.000136905209181765,0.0135923680164436,3.67516527563947,"m_4_16212324","m_4_17289054",4,16212324,17289054
"AT4G34770",594748,"Chr4","Araport11","gene",16591179,16591910,".","+",".","ID=AT4G34770;Name=AT4G34770;Note=SAUR-like auxin-responsive protein family;Alias=SAUR1,SMALL AUXIN UPREGULATED RNA 1;computational_description=SAUR-like auxin-responsive protein family %3B CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676)%3B BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT2G21210.1)%3B Has 1411 Blast hits to 1394 proteins in 28 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 0%3B Fungi - 0%3B Plants - 1410%3B Viruses - 0%3B Other Eukaryotes - 1 (source: NCBI BLink).;Dbxref=PMID:15047898,PMID:15489341,PMID:16214899,PMID:16412086,PMID:16901781,PMID:17435085,locus:2116860;locus_type=protein_coding","SAUR1,SMALL AUXIN UPREGULATED RNA 1","","SAUR-like auxin-responsive protein family","","",4,"m_4_16640333",0.000136905209181765,0.0135923680164436,3.67516527563947,"m_4_16212324","m_4_17289054",4,16212324,17289054
"AT4G34950",595145,"Chr4","Araport11","gene",16642142,16644928,".","-",".","ID=AT4G34950;Name=AT4G34950;Note=Major facilitator superfamily protein;computational_description=Major facilitator superfamily protein%3B CONTAINS InterPro DOMAIN/s: Nodulin-like (InterPro:IPR010658)%2C Major facilitator superfamily%2C general substrate transporter (InterPro:IPR016196)%3B BEST Arabidopsis thaliana protein match is: Major facilitator superfamily protein (TAIR:AT2G16660.1)%3B Has 3379 Blast hits to 3250 proteins in 882 species: Archae - 26%3B Bacteria - 1593%3B Metazoa - 4%3B Fungi - 302%3B Plants - 604%3B Viruses - 0%3B Other Eukaryotes - 850 (source: NCBI BLink).;Dbxref=PMID:12586873,PMID:14576160,PMID:15377757,PMID:15695462,PMID:16581873,PMID:17496105,locus:2116855;locus_type=protein_coding","","","Major facilitator superfamily protein","","",4,"m_4_16640333",0.000136905209181765,0.0135923680164436,3.67516527563947,"m_4_16212324","m_4_17289054",4,16212324,17289054
"AT4G36110",599019,"Chr4","Araport11","gene",17089934,17090873,".","+",".","ID=AT4G36110;Name=AT4G36110;Note=SAUR-like auxin-responsive protein family;symbol=SAUR9;full_name=SMALL AUXIN UPREGULATED RNA 9;computational_description=SAUR-like auxin-responsive protein family %3B CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676)%3B BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT2G18010.1)%3B Has 1361 Blast hits to 1344 proteins in 26 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 0%3B Fungi - 0%3B Plants - 1360%3B Viruses - 0%3B Other Eukaryotes - 1 (source: NCBI BLink).;Dbxref=PMID:12007405,PMID:14645734,PMID:15047898,PMID:15235117,PMID:12893885,PMID:16412086,PMID:16489130,PMID:16673935,PMID:16792696,PMID:16901781,PMID:17435085,PMID:18356294,PMID:22353860,PMID:21223392,locus:2135144;locus_type=protein_coding","","SMALL AUXIN UPREGULATED RNA 9","SAUR-like auxin-responsive protein family","SAUR9","",4,"m_4_16640333",0.000136905209181765,0.0135923680164436,3.67516527563947,"m_4_16212324","m_4_17289054",4,16212324,17289054
"AT4G36380",599626,"Chr4","Araport11","gene",17187528,17192507,".","-",".","ID=AT4G36380;Name=AT4G36380;Note=Cytochrome P450 superfamily protein;curator_summary=Encodes a cytochrome P-450 gene that is involved in leaf blade expansion by controlling polar cell expansion in the leaf length direction. Member of the CYP90C CYP450 family. ROT3 was shown to be involved in brassinosteroid biosynthesis%2C most likely in the conversion step of typhasterol (TY) to castasterone (CS). As 6-deoxo-CS was unable to restore the phenotype of rot3-1%2C it has been postulated that ROT3 might be specifically involved in the conversion of TY to CS in the C6-oxidation pathway of brassinolide. Recently%2C CYP90C1 was shown to catalyse the C-23 hydroxylation of several brassinosteroids (the enzyme has a broad specificity for 22-hydroxylated substrates).;symbol=ROT3;full_name=ROTUNDIFOLIA 3;computational_description=ROTUNDIFOLIA 3 (ROT3)%3B CONTAINS InterPro DOMAIN/s: Cytochrome P450 (InterPro:IPR001128)%2C Cytochrome P450%2C E-class%2C group IV (InterPro:IPR002403)%2C Cytochrome P450%2C conserved site (InterPro:IPR017972)%3B BEST Arabidopsis thaliana protein match is: cytochrome P450%2C family 90%2C subfamily D%2C polypeptide 1 (TAIR:AT3G13730.1)%3B Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12%3B Bacteria - 1396%3B Metazoa - 17338%3B Fungi - 3422%3B Plants - 5037%3B Viruses - 0%3B Other Eukaryotes - 2996 (source: NCBI BLink).;Dbxref=PMID:10430960,PMID:9694802,PMID:8625845,PMID:11978864,PMID:12226529,PMID:12407202,PMID:15703058,PMID:15908602,PMID:17038516,PMID:17138693,PMID:18650403,PMID:19200151,PMID:20538889,PMID:23264517,locus:2115220;locus_type=protein_coding","","ROTUNDIFOLIA 3","Cytochrome P450 superfamily protein","ROT3","Encodes a cytochrome P-450 gene that is involved in leaf blade expansion by controlling polar cell expansion in the leaf length direction. Member of the CYP90C CYP450 family. ROT3 was shown to be involved in brassinosteroid biosynthesis%2C most likely in the conversion step of typhasterol (TY) to castasterone (CS). As 6-deoxo-CS was unable to restore the phenotype of rot3-1%2C it has been postulated that ROT3 might be specifically involved in the conversion of TY to CS in the C6-oxidation pathway of brassinolide. Recently%2C CYP90C1 was shown to catalyse the C-23 hydroxylation of several brassinosteroids (the enzyme has a broad specificity for 22-hydroxylated substrates).",4,"m_4_16640333",0.000136905209181765,0.0135923680164436,3.67516527563947,"m_4_16212324","m_4_17289054",4,16212324,17289054
"AT4G36540",600036,"Chr4","Araport11","gene",17243583,17245296,".","+",".","ID=AT4G36540;Name=AT4G36540;Note=BR enhanced expression 2;curator_summary=Encodes the brassinosteroid signaling component BEE2 (BR-ENHANCED EXPRESSION 2). Positively modulates the shade avoidance syndrome in Arabidopsis seedlings.;symbol=BEE2;full_name=BR enhanced expression 2;computational_description=BR enhanced expression 2 (BEE2)%3B FUNCTIONS IN: DNA binding%2C sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: regulation of transcription%3B LOCATED IN: nucleus%3B EXPRESSED IN: 21 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092)%2C Helix-loop-helix DNA-binding (InterPro:IPR011598)%3B BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding superfamily protein (TAIR:AT2G18300.2)%3B Has 2056 Blast hits to 2048 proteins in 102 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 23%3B Fungi - 31%3B Plants - 2000%3B Viruses - 0%3B Other Eukaryotes - 2 (source: NCBI BLink).;Dbxref=PMID:11118137,PMID:12679534,PMID:12897250,PMID:16121258,PMID:18596930,PMID:18552355,PMID:18650403,PMID:23763263,PMID:24443525,locus:2115200;locus_type=protein_coding","","BR enhanced expression 2","BR enhanced expression 2","BEE2","Encodes the brassinosteroid signaling component BEE2 (BR-ENHANCED EXPRESSION 2). Positively modulates the shade avoidance syndrome in Arabidopsis seedlings.",4,"m_4_16640333",0.000136905209181765,0.0135923680164436,3.67516527563947,"m_4_16212324","m_4_17289054",4,16212324,17289054
"AT5G12050",640784,"Chr5","Araport11","gene",3889906,3891514,".","+",".","ID=AT5G12050;Name=AT5G12050;Note=rho GTPase-activating protein;computational_description=unknown protein%3B BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G13980.1)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).;Dbxref=PMID:21499259,locus:2143049;locus_type=protein_coding","","","rho GTPase-activating protein","","",5,"m_5_4647184",0.00083753210072508,0.0372318066858884,8.08465715274808,"m_5_3799350","m_5_5130837",5,3799350,5130837
