"ID","feature","chr","source","type","start","end","score","strand","phase","attributes","Alias","full_name","Note","symbol","curator_summary","chr_num","qtl","avg_snp_betas_sq","avg_snp_pve","score","left_bound","right_bound","chr","left_pos","right_pos"
"AT1G76490",192815,"Chr1","Araport11","gene",28695760,28698852,".","+",".","ID=AT1G76490;Name=AT1G76490;Note=hydroxy methylglutaryl CoA reductase 1;curator_summary=Encodes a 3-hydroxy-3-methylglutaryl coenzyme A reductase%2C which is involved in melavonate biosynthesis and performs the first committed step in isoprenoid biosynthesis. Expression is activated in dark in leaf tissue but not controlled by light in the root (confine;symbol=HMG1;Alias=AtHMGR1,HMGR1,3-HYDROXY-3-METHYLGLUTARYL COA REDUCTASE 1,MAD3,miRNA action deficient 3;full_name=hydroxy methylglutaryl CoA reductase 1;computational_description=hydroxy methylglutaryl CoA reductase 1 (HMG1)%3B CONTAINS InterPro DOMAIN/s: Hydroxymethylglutaryl-CoA reductase%2C class I%2C catalytic (InterPro:IPR004554)%2C Hydroxymethylglutaryl-CoA reductase%2C class I/II%2C substrate-binding (InterPro:IPR009029)%2C Hydroxymethylglutaryl-CoA reductase%2C class I/II%2C NAD/NADP-binding (InterPro:IPR009023)%2C Hydroxymethylglutaryl-CoA reductase%2C class I/II%2C catalytic (InterPro:IPR002202)%3B BEST Arabidopsis thaliana protein match is: 3-hydroxy-3-methylglutaryl-CoA reductase 2 (TAIR:AT2G17370.1)%3B Has 2212 Blast hits to 2210 proteins in 935 species: Archae - 202%3B Bacteria - 1018%3B Metazoa - 225%3B Fungi - 225%3B Plants - 266%3B Viruses - 1%3B Other Eukaryotes - 275 (source: NCBI BLink).;Dbxref=PMID:10706391,PMID:9245257,PMID:9107038,PMID:8742338,PMID:7588795,PMID:7496400,PMID:7780305,PMID:8302869,PMID:1283354,PMID:1714317,PMID:2491679,PMID:2649893,PMID:11114204,PMID:11370859,PMID:12198192,PMID:14871314,PMID:15618432,PMID:17516328,PMID:17917299,PMID:18650403,PMID:18775970,PMID:19041104,PMID:19363204,PMID:17177798,PMID:17714440,PMID:20865301,PMID:21478440,PMID:21554529,PMID:21601648,PMID:22182420,PMID:22247288,PMID:23154132,PMID:23404890,PMID:23572922,locus:2011656;locus_type=protein_coding","AtHMGR1,HMGR1,3-HYDROXY-3-METHYLGLUTARYL COA REDUCTASE 1,MAD3,miRNA action deficient 3","hydroxy methylglutaryl CoA reductase 1","hydroxy methylglutaryl CoA reductase 1","HMG1","Encodes a 3-hydroxy-3-methylglutaryl coenzyme A reductase%2C which is involved in melavonate biosynthesis and performs the first committed step in isoprenoid biosynthesis. Expression is activated in dark in leaf tissue but not controlled by light in the root (confine",1,"m_1_28847340",0.000996531937794063,0.0471253754272572,4.47002645209544,"m_1_28607852","m_1_29478919",1,28607852,29478919
"AT1G77460",195626,"Chr1","Araport11","gene",29103608,29111956,".","+",".","ID=AT1G77460;Name=AT1G77460;Note=CELLULOSE SYNTHASE INTERACTIVE 3;curator_summary=Encodes a plasma membrane%2C microtubule associated protein with sequence similarity to CSI1 that is involved in cellulose biosynthesis and cell elongation. A mutation in CSI3 alone do not appear to affect growth but enhances the cell elongation phenotype of CSI1 mutants. CSI3 co localizes with CSI1 and CESA3 and CESA6.;Alias=CSI3,CELLULOSE SYNTHASE INTERACTIVE 3;computational_description=Armadillo/beta-catenin-like repeat %3B C2 calcium/lipid-binding domain (CaLB) protein%3B FUNCTIONS IN: binding%3B INVOLVED IN: biological_process unknown%3B LOCATED IN: cellular_component unknown%3B EXPRESSED IN: 21 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Armadillo-like helical (InterPro:IPR011989)%2C C2 membrane targeting protein (InterPro:IPR018029)%2C Armadillo (InterPro:IPR000225)%2C C2 calcium/lipid-binding domain%2C CaLB (InterPro:IPR008973)%2C Armadillo-type fold (InterPro:IPR016024)%2C C2 calcium-dependent membrane targeting (InterPro:IPR000008)%3B BEST Arabidopsis thaliana protein match is: Armadillo/beta-catenin-like repeat %3B C2 calcium/lipid-binding domain (CaLB) protein (TAIR:AT1G44120.1)%3B Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12%3B Bacteria - 1396%3B Metazoa - 17338%3B Fungi - 3422%3B Plants - 5037%3B Viruses - 0%3B Other Eukaryotes - 2996 (source: NCBI BLink).;Dbxref=PMID:12946625,PMID:24368796,locus:2204700;locus_type=protein_coding","CSI3,CELLULOSE SYNTHASE INTERACTIVE 3","","CELLULOSE SYNTHASE INTERACTIVE 3","","Encodes a plasma membrane%2C microtubule associated protein with sequence similarity to CSI1 that is involved in cellulose biosynthesis and cell elongation. A mutation in CSI3 alone do not appear to affect growth but enhances the cell elongation phenotype of CSI1 mutants. CSI3 co localizes with CSI1 and CESA3 and CESA6.",1,"m_1_28847340",0.000996531937794063,0.0471253754272572,4.47002645209544,"m_1_28607852","m_1_29478919",1,28607852,29478919
"AT1G77760",196464,"Chr1","Araport11","gene",29235721,29239484,".","-",".","ID=AT1G77760;Name=AT1G77760;Note=nitrate reductase 1;curator_summary=Encodes the cytosolic minor isoform of nitrate reductase (NR). Involved in the first step of nitrate assimilation%2C it contributes about 15%25 of the nitrate reductase activity in shoots. Similar to molybdopterin oxidoreductases at the N-terminus%2C and to FAD/NAD-binding cytochrome reductases at the C-terminus. Cofactors: FAD%2C heme iron (cytochrome B-557)%2C and molybdenum-pterin.;symbol=NIA1;Alias=GNR1,NR1,NITRATE REDUCTASE 1;full_name=nitrate reductase 1;computational_description=nitrate reductase 1 (NIA1)%3B FUNCTIONS IN: nitrate reductase activity%2C protein binding%3B INVOLVED IN: nitric oxide biosynthetic process%2C nitrate assimilation%2C response to light stimulus%3B LOCATED IN: cytosol%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Cytochrome b5%2C heme-binding site (InterPro:IPR018506)%2C Nitrate reductase NADH dependent (InterPro:IPR012137)%2C Ferredoxin reductase-type FAD-binding domain (InterPro:IPR017927)%2C Oxidoreductase%2C FAD-binding domain (InterPro:IPR008333)%2C Immunoglobulin E-set (InterPro:IPR014756)%2C Cytochrome b5 (InterPro:IPR001199)%2C NADH:cytochrome b5 reductase (CBR) (InterPro:IPR001834)%2C Oxidoreductase%2C molybdopterin-binding domain (InterPro:IPR000572)%2C Oxidoreductase FAD/NAD(P)-binding (InterPro:IPR001433)%2C Oxidoreductase%2C molybdopterin binding site (InterPro:IPR022407)%2C Riboflavin synthase-like beta-barrel (InterPro:IPR017938)%2C Eukaryotic molybdopterin oxidoreductase (InterPro:IPR008335)%2C Flavoprotein pyridine nucleotide cytochrome reductase (InterPro:IPR001709)%2C Moybdenum cofactor oxidoreductase%2C dimerisation (InterPro:IPR005066)%3B BEST Arabidopsis thaliana protein match is: nitrate reductase 2 (TAIR:AT1G37130.1)%3B Has 14813 Blast hits to 14437 proteins in 2198 species: Archae - 168%3B Bacteria - 6976%3B Metazoa - 1728%3B Fungi - 2215%3B Plants - 1479%3B Viruses - 3%3B Other Eukaryotes - 2244 (source: NCBI BLink).;Dbxref=PMID:9501142,PMID:9085575,PMID:8721753,PMID:7991680,PMID:8510658,PMID:1840922,PMID:2905260,PMID:11826296,PMID:12446847,PMID:12805624,PMID:15123642,PMID:15012211,PMID:15908593,PMID:16367958,PMID:17317674,PMID:17936409,PMID:18298431,PMID:18332225,PMID:18540030,PMID:18603615,PMID:18826430,PMID:18304455,PMID:19540016,PMID:19521473,PMID:19628403,PMID:19710235,PMID:19822377,PMID:19825574,PMID:20406405,PMID:20377690,PMID:20501909,PMID:20444219,PMID:20532806,PMID:20668061,PMID:20685967,PMID:20009559,PMID:20442374,PMID:21039566,PMID:21131548,PMID:21454300,PMID:21670294,PMID:21772271,PMID:21856037,PMID:22371326,PMID:22394204,PMID:22645532,PMID:22833666,PMID:22791827,PMID:23122335,PMID:23341360,PMID:23414092,PMID:23590427,PMID:23748675,PMID:23744476,PMID:24270626,PMID:24468931,PMID:24013762,PMID:24502504,PMID:24642706,PMID:24733882,PMID:25315603,PMID:25596127,locus:2203221;locus_type=protein_coding","GNR1,NR1,NITRATE REDUCTASE 1","nitrate reductase 1","nitrate reductase 1","NIA1","Encodes the cytosolic minor isoform of nitrate reductase (NR). Involved in the first step of nitrate assimilation%2C it contributes about 15%25 of the nitrate reductase activity in shoots. Similar to molybdopterin oxidoreductases at the N-terminus%2C and to FAD/NAD-binding cytochrome reductases at the C-terminus. Cofactors: FAD%2C heme iron (cytochrome B-557)%2C and molybdenum-pterin.",1,"m_1_28847340",0.000996531937794063,0.0471253754272572,4.47002645209544,"m_1_28607852","m_1_29478919",1,28607852,29478919
"AT1G78600",198771,"Chr1","Araport11","gene",29566863,29568931,".","+",".","ID=AT1G78600;Name=AT1G78600;Note=light-regulated zinc finger protein 1;symbol=LZF1;Alias=BBX22,B-box domain protein 22,DBB3,DOUBLE B-BOX 3,STH3,SALT TOLERANCE HOMOLOG 3;full_name=light-regulated zinc finger protein 1;computational_description=light-regulated zinc finger protein 1 (LZF1)%3B CONTAINS InterPro DOMAIN/s: Zinc finger%2C B-box (InterPro:IPR000315)%3B BEST Arabidopsis thaliana protein match is: B-box zinc finger family protein (TAIR:AT1G06040.1)%3B Has 1826 Blast hits to 1364 proteins in 120 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 16%3B Fungi - 0%3B Plants - 1701%3B Viruses - 0%3B Other Eukaryotes - 109 (source: NCBI BLink).;Dbxref=PMID:11118137,PMID:15086800,PMID:16972165,PMID:17085506,PMID:18182030,PMID:18650403,PMID:18796637,PMID:18540109,PMID:19920209,PMID:21070414,PMID:21427283,PMID:21301219,PMID:21979077,PMID:23425851,PMID:23624715,PMID:23733077,PMID:24377444,locus:2202930;locus_type=protein_coding","BBX22,B-box domain protein 22,DBB3,DOUBLE B-BOX 3,STH3,SALT TOLERANCE HOMOLOG 3","light-regulated zinc finger protein 1","light-regulated zinc finger protein 1","LZF1","",1,"m_1_29478919",0.000505374496921799,0.0315773864495377,4.09569686354418,"m_1_29400200","m_1_29897126",1,29400200,29897126
"AT1G78700",199063,"Chr1","Araport11","gene",29599349,29601682,".","+",".","ID=AT1G78700;Name=AT1G78700;Note=BES1/BZR1 homolog 4;symbol=BEH4;full_name=BES1/BZR1 homolog 4;computational_description=BES1/BZR1 homolog 4 (BEH4)%3B FUNCTIONS IN: transcription regulator activity%3B INVOLVED IN: biological_process unknown%3B LOCATED IN: cellular_component unknown%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: BZR1%2C transcriptional repressor (InterPro:IPR008540)%3B BEST Arabidopsis thaliana protein match is: BES1/BZR1 homolog 3 (TAIR:AT4G18890.1)%3B Has 3228 Blast hits to 573 proteins in 95 species: Archae - 0%3B Bacteria - 18%3B Metazoa - 254%3B Fungi - 109%3B Plants - 296%3B Viruses - 0%3B Other Eukaryotes - 2551 (source: NCBI BLink).;Dbxref=PMID:11970900,PMID:15680330,locus:2037518;locus_type=protein_coding","","BES1/BZR1 homolog 4","BES1/BZR1 homolog 4","BEH4","",1,"m_1_29478919",0.000505374496921799,0.0315773864495377,4.09569686354418,"m_1_29400200","m_1_29897126",1,29400200,29897126
"AT1G78970",200220,"Chr1","Araport11","gene",29703055,29708175,".","+",".","ID=AT1G78970;Name=AT1G78970;Note=lupeol synthase 1;curator_summary=Lupeol synthase. Converts oxidosqualene to multiple triterpene alcohols and a triterpene diols. This conversion proceeds through the formation of a 17%26","","","lupeol synthase 1","","Lupeol synthase. Converts oxidosqualene to multiple triterpene alcohols and a triterpene diols. This conversion proceeds through the formation of a 17%26",1,"m_1_29478919",0.000505374496921799,0.0315773864495377,4.09569686354418,"m_1_29400200","m_1_29897126",1,29400200,29897126
"AT3G23030",398259,"Chr3","Araport11","gene",8180646,8182095,".","-",".","ID=AT3G23030;Name=AT3G23030;Note=indole-3-acetic acid inducible 2;curator_summary=auxin inducible gene expressed in the nucleus;symbol=IAA2;full_name=indole-3-acetic acid inducible 2;computational_description=indole-3-acetic acid inducible 2 (IAA2)%3B CONTAINS InterPro DOMAIN/s: Aux/IAA-ARF-dimerisation (InterPro:IPR011525)%2C AUX/IAA protein (InterPro:IPR003311)%3B BEST Arabidopsis thaliana protein match is: indole-3-acetic acid inducible (TAIR:AT4G14560.1)%3B Has 2163 Blast hits to 2162 proteins in 79 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 0%3B Fungi - 0%3B Plants - 2162%3B Viruses - 0%3B Other Eukaryotes - 1 (source: NCBI BLink).;Dbxref=PMID:10712535,PMID:9342315,PMID:7658471,PMID:8278386,PMID:11118137,PMID:11910006,PMID:12472684,PMID:16489122,PMID:20649941,PMID:21223392,PMID:25540118,locus:2094578;locus_type=protein_coding","","indole-3-acetic acid inducible 2","indole-3-acetic acid inducible 2","IAA2","auxin inducible gene expressed in the nucleus",3,"m_3_8066460",0.000140789507696324,0.0107723411188402,3.72600478382193,"m_3_8040793","m_3_8658987",3,8040793,8658987
"AT3G23050",398284,"Chr3","Araport11","gene",8194606,8197161,".","+",".","ID=AT3G23050;Name=AT3G23050;Note=indole-3-acetic acid 7;curator_summary=Transcription regulator acting as repressor of auxin-inducible gene expression. Plays role in the control of gravitropic growth and development in light-grown seedlings. Auxin induces the degradation of the protein in a dosage-dependent manner in a process mediated by AtRac1. Auxin induced the relocalization of the protein within the nucleus from a diffused nucleoplasmic pattern to a discrete particulated pattern named nuclear protein bodies or NPB in a process also mediated by Rac1. Colocalizes with SCF%2C CSN and 26S proteasome components. Pseudomonas syringae type III effector AvrRpt2 stimulates AXR2 protein turnover.;symbol=IAA7;Alias=AXR2,AUXIN RESISTANT 2;full_name=indole-3-acetic acid 7;computational_description=indole-3-acetic acid 7 (IAA7)%3B CONTAINS InterPro DOMAIN/s: Aux/IAA-ARF-dimerisation (InterPro:IPR011525)%2C AUX/IAA protein (InterPro:IPR003311)%3B BEST Arabidopsis thaliana protein match is: indole-3-acetic acid inducible 14 (TAIR:AT4G14550.1)%3B Has 1682 Blast hits to 1681 proteins in 74 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 0%3B Fungi - 0%3B Plants - 1681%3B Viruses - 0%3B Other Eukaryotes - 1 (source: NCBI BLink).;Dbxref=PMID:10859186,PMID:10816357,PMID:9351242,PMID:8979397,PMID:8837505,PMID:8612270,PMID:8589625,PMID:7658471,PMID:7642574,PMID:7896103,PMID:8159792,PMID:8278539,PMID:2148800,PMID:11118137,PMID:11115889,PMID:11605960,PMID:11713520,PMID:11706192,PMID:11161055,PMID:12011355,PMID:12036262,PMID:12232412,PMID:12215511,PMID:12447533,PMID:12690101,PMID:12839993,PMID:15020435,PMID:15078335,PMID:15994909,PMID:16021335,PMID:16310363,PMID:16367964,PMID:16489122,PMID:16582450,PMID:17369427,PMID:17942448,PMID:18650403,PMID:19000166,PMID:19223973,PMID:19458116,PMID:15720674,PMID:16174328,PMID:16636440,PMID:19666738,PMID:19825556,PMID:20505355,PMID:21564544,PMID:21543900,PMID:21666052,PMID:22081402,PMID:22476291,PMID:22580954,PMID:22824128,PMID:22912871,PMID:22995285,PMID:23252740,PMID:23632856,PMID:23763631,PMID:24178265,locus:2094598;locus_type=protein_coding","AXR2,AUXIN RESISTANT 2","indole-3-acetic acid 7","indole-3-acetic acid 7","IAA7","Transcription regulator acting as repressor of auxin-inducible gene expression. Plays role in the control of gravitropic growth and development in light-grown seedlings. Auxin induces the degradation of the protein in a dosage-dependent manner in a process mediated by AtRac1. Auxin induced the relocalization of the protein within the nucleus from a diffused nucleoplasmic pattern to a discrete particulated pattern named nuclear protein bodies or NPB in a process also mediated by Rac1. Colocalizes with SCF%2C CSN and 26S proteasome components. Pseudomonas syringae type III effector AvrRpt2 stimulates AXR2 protein turnover.",3,"m_3_8066460",0.000140789507696324,0.0107723411188402,3.72600478382193,"m_3_8040793","m_3_8658987",3,8040793,8658987
"AT3G23210",398778,"Chr3","Araport11","gene",8283003,8285081,".","-",".","ID=AT3G23210;Name=AT3G23210;Note=basic helix-loop-helix (bHLH) DNA-binding superfamily protein;symbol=bHLH34;full_name=basic Helix-Loop-Helix 34;computational_description=basic Helix-Loop-Helix 34 (bHLH34)%3B FUNCTIONS IN: DNA binding%2C sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: regulation of transcription%3B LOCATED IN: nucleus%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 15 growth stages%3B CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092)%2C Helix-loop-helix DNA-binding (InterPro:IPR011598)%3B BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding superfamily protein (TAIR:AT4G14410.1)%3B Has 811 Blast hits to 809 proteins in 84 species: Archae - 4%3B Bacteria - 15%3B Metazoa - 38%3B Fungi - 8%3B Plants - 717%3B Viruses - 0%3B Other Eukaryotes - 29 (source: NCBI BLink).;Dbxref=PMID:11118137,PMID:12679534,PMID:12897250,PMID:14600211,PMID:18775970,PMID:20675571,locus:2086198;locus_type=protein_coding","","basic Helix-Loop-Helix 34","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","bHLH34","",3,"m_3_8066460",0.000140789507696324,0.0107723411188402,3.72600478382193,"m_3_8040793","m_3_8658987",3,8040793,8658987
"AT3G23410",399366,"Chr3","Araport11","gene",8382672,8386181,".","+",".","ID=AT3G23410;Name=AT3G23410;Note=fatty alcohol oxidase 3;curator_summary=Encodes a fatty alcohol oxidase.;symbol=FAO3;Alias=ATFAO3,ARABIDOPSIS FATTY ALCOHOL OXIDASE 3;full_name=fatty alcohol oxidase 3;computational_description=fatty alcohol oxidase 3 (FAO3)%3B CONTAINS InterPro DOMAIN/s: FAD-dependent pyridine nucleotide-disulphide oxidoreductase (InterPro:IPR013027)%2C Glucose-methanol-choline oxidoreductase%2C N-terminal (InterPro:IPR000172)%2C Glucose-methanol-choline oxidoreductase%2C C-terminal (InterPro:IPR007867)%2C Long-chain fatty alcohol dehydrogenase (InterPro:IPR012400)%3B BEST Arabidopsis thaliana protein match is: Long-chain fatty alcohol dehydrogenase family protein (TAIR:AT4G28570.1)%3B Has 3017 Blast hits to 2907 proteins in 684 species: Archae - 34%3B Bacteria - 1847%3B Metazoa - 52%3B Fungi - 221%3B Plants - 173%3B Viruses - 0%3B Other Eukaryotes - 690 (source: NCBI BLink).;Dbxref=PMID:15358540,PMID:16299169,PMID:16404574,PMID:16608451,PMID:16805732,PMID:18775970,locus:2090900;locus_type=protein_coding","ATFAO3,ARABIDOPSIS FATTY ALCOHOL OXIDASE 3","fatty alcohol oxidase 3","fatty alcohol oxidase 3","FAO3","Encodes a fatty alcohol oxidase.",3,"m_3_8066460",0.000140789507696324,0.0107723411188402,3.72600478382193,"m_3_8040793","m_3_8658987",3,8040793,8658987
