"ID","feature","chr","source","type","start","end","score","strand","phase","attributes","Alias","full_name","Note","symbol","curator_summary","chr_num","qtl","left_bound","right_bound","chr","left_pos","right_pos"
"AT5G12050",640784,"Chr5","Araport11","gene",3889906,3891514,".","+",".","ID=AT5G12050;Name=AT5G12050;Note=rho GTPase-activating protein;computational_description=unknown protein%3B BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G13980.1)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).;Dbxref=PMID:21499259,locus:2143049;locus_type=protein_coding","","","rho GTPase-activating protein","","",5,"m_5_4216890","m_5_3799350","m_5_5018484",5,3799350,5018484
"AT5G13220",643167,"Chr5","Araport11","gene",4218786,4221077,".","+",".","ID=AT5G13220;Name=AT5G13220;Note=jasmonate-zim-domain protein 10;curator_summary=Plants overexpressing At5g13220.3%2C but not At5g13220.1 showed enhanced insensitivity to MeJa.;symbol=JAZ10;Alias=JAS1,JASMONATE-ASSOCIATED 1,TIFY9,TIFY DOMAIN PROTEIN 9;full_name=jasmonate-zim-domain protein 10;computational_description=jasmonate-zim-domain protein 10 (JAZ10)%3B FUNCTIONS IN: protein binding%3B INVOLVED IN: response to jasmonic acid stimulus%2C regulation of systemic acquired resistance%2C response to wounding%3B LOCATED IN: nucleus%3B EXPRESSED IN: 21 plant structures%3B EXPRESSED DURING: 11 growth stages%3B CONTAINS InterPro DOMAIN/s: Tify (InterPro:IPR010399)%2C CCT domain-like (InterPro:IPR018467)%3B BEST Arabidopsis thaliana protein match is: jasmonate-zim-domain protein 12 (TAIR:AT5G20900.1)%3B Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12%3B Bacteria - 1396%3B Metazoa - 17338%3B Fungi - 3422%3B Plants - 5037%3B Viruses - 0%3B Other Eukaryotes - 2996 (source: NCBI BLink).;Dbxref=PMID:17499004,PMID:17637675,PMID:17637677,PMID:17675405,PMID:18252252,PMID:18775970,PMID:19151223,PMID:19846562,PMID:20081042,PMID:20360743,PMID:20579310,PMID:20525008,PMID:21726394,PMID:22371506,PMID:22447155,PMID:22631228,PMID:23632853,PMID:25103816,PMID:25236170,locus:2183921;locus_type=protein_coding","JAS1,JASMONATE-ASSOCIATED 1,TIFY9,TIFY DOMAIN PROTEIN 9","jasmonate-zim-domain protein 10","jasmonate-zim-domain protein 10","JAZ10","Plants overexpressing At5g13220.3%2C but not At5g13220.1 showed enhanced insensitivity to MeJa.",5,"m_5_4216890","m_5_3799350","m_5_5018484",5,3799350,5018484
"AT5G13330",643545,"Chr5","Araport11","gene",4271730,4274674,".","+",".","ID=AT5G13330;Name=AT5G13330;Note=related to AP2 6l;curator_summary=encodes a member of the ERF (ethylene response factor) subfamily B-4 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 7 members in this subfamily.;symbol=Rap2.6L;full_name=related to AP2 6l;computational_description=related to AP2 6l (Rap2.6L)%3B FUNCTIONS IN: DNA binding%2C sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: regulation of transcription%2C DNA-dependent%3B LOCATED IN: nucleus%3B EXPRESSED IN: 11 plant structures%3B EXPRESSED DURING: LP.04 four leaves visible%2C 4 anthesis%2C C globular stage%2C petal differentiation and expansion stage%2C E expanded cotyledon stage%3B CONTAINS InterPro DOMAIN/s: DNA-binding%2C integrase-type (InterPro:IPR016177)%2C Pathogenesis-related transcriptional factor/ERF%2C DNA-binding (InterPro:IPR001471)%3B BEST Arabidopsis thaliana protein match is: Integrase-type DNA-binding superfamily protein (TAIR:AT5G61890.1)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).;Dbxref=PMID:9192694,PMID:11118137,PMID:16133218,PMID:16212609,PMID:18192438,PMID:18650403,PMID:18783601,PMID:21069430,PMID:21911380,PMID:22661072,PMID:24377444,PMID:24265672,locus:2183861;locus_type=protein_coding","","related to AP2 6l","related to AP2 6l","Rap2.6L","encodes a member of the ERF (ethylene response factor) subfamily B-4 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 7 members in this subfamily.",5,"m_5_4216890","m_5_3799350","m_5_5018484",5,3799350,5018484
"AT5G14750",648067,"Chr5","Araport11","gene",4763372,4764834,".","-",".","ID=AT5G14750;Name=AT5G14750;Note=myb domain protein 66;curator_summary=Encodes a MyB-related protein containing R2 and R3 repeats%2C involved in  root and hypocotyl epidermal cell fate determination. Loss of function mutations make extra root hairs. Nuclear localized protein is a positive regulator for expression of CAPRICE (CPC).;symbol=MYB66;Alias=ATMYB66,myb domain protein 66,WER1,WEREWOLF 1,WER,WEREWOLF;full_name=myb domain protein 66;computational_description=myb domain protein 66 (MYB66)%3B CONTAINS InterPro DOMAIN/s: SANT%2C DNA-binding (InterPro:IPR001005)%2C Myb%2C DNA-binding (InterPro:IPR014778)%2C Homeodomain-like (InterPro:IPR009057)%2C Homeodomain-related (InterPro:IPR012287)%2C Myb transcription factor (InterPro:IPR015495)%2C HTH transcriptional regulator%2C Myb-type%2C DNA-binding (InterPro:IPR017930)%3B BEST Arabidopsis thaliana protein match is: myb domain protein 23 (TAIR:AT5G40330.1)%3B Has 9181 Blast hits to 8410 proteins in 556 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 822%3B Fungi - 534%3B Plants - 5944%3B Viruses - 3%3B Other Eukaryotes - 1878 (source: NCBI BLink).;Dbxref=PMID:11118137,PMID:11597504,PMID:16581911,PMID:18816165,PMID:19097902,PMID:19395683,PMID:19416891,PMID:19619157,PMID:19704725,PMID:20356954,PMID:21477123,PMID:21653190,PMID:21914815,PMID:22195575,PMID:22334670,PMID:22738953,PMID:22829145,PMID:23292879,PMID:24368785,PMID:24130712,PMID:24771765,PMID:25124848,PMID:25428588,locus:2185470;locus_type=protein_coding","ATMYB66,myb domain protein 66,WER1,WEREWOLF 1,WER,WEREWOLF","myb domain protein 66","myb domain protein 66","MYB66","Encodes a MyB-related protein containing R2 and R3 repeats%2C involved in  root and hypocotyl epidermal cell fate determination. Loss of function mutations make extra root hairs. Nuclear localized protein is a positive regulator for expression of CAPRICE (CPC).",5,"m_5_4216890","m_5_3799350","m_5_5018484",5,3799350,5018484
"AT5G14760",648103,"Chr5","Araport11","gene",4768263,4772153,".","+",".","ID=AT5G14760;Name=AT5G14760;Note=L-aspartate oxidase;curator_summary=At5g14760 encodes for L-aspartate oxidase involved in the early steps of NAD biosynthesis. In contrary to the EC 1.4.3.16 (l-aspartate oxidase - deaminating) the enzyme catalyzes the reaction  L-aspartate + O2 %3D iminoaspartate (alpha-iminosuccinate) + H2O2;symbol=AO;Alias=FIN4,FLAGELLIN-INSENSITIVE 4;full_name=L-aspartate oxidase;computational_description=L-aspartate oxidase (AO)%3B FUNCTIONS IN: electron carrier activity%2C oxidoreductase activity%2C L-aspartate oxidase activity%3B INVOLVED IN: NAD biosynthetic process%3B LOCATED IN: chloroplast%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: Fumarate reductase/succinate dehydrogenase flavoprotein-like%2C C-terminal (InterPro:IPR015939)%2C Fumarate reductase/succinate dehydrogenase flavoprotein%2C N-terminal (InterPro:IPR003953)%2C Fumarate reductase/succinate dehydrogenase flavoprotein%2C C-terminal (InterPro:IPR004112)%2C L-aspartate oxidase (InterPro:IPR005288)%3B BEST Arabidopsis thaliana protein match is: succinate dehydrogenase 1-1 (TAIR:AT5G66760.1)%3B Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12%3B Bacteria - 1396%3B Metazoa - 17338%3B Fungi - 3422%3B Plants - 5037%3B Viruses - 0%3B Other Eukaryotes - 2996 (source: NCBI BLink).;Dbxref=PMID:16463051,PMID:16698895,PMID:18650403,PMID:18775970,PMID:19264498,PMID:22730426,locus:2185480;locus_type=protein_coding","FIN4,FLAGELLIN-INSENSITIVE 4","L-aspartate oxidase","L-aspartate oxidase","AO","At5g14760 encodes for L-aspartate oxidase involved in the early steps of NAD biosynthesis. In contrary to the EC 1.4.3.16 (l-aspartate oxidase - deaminating) the enzyme catalyzes the reaction  L-aspartate + O2 %3D iminoaspartate (alpha-iminosuccinate) + H2O2",5,"m_5_4216890","m_5_3799350","m_5_5018484",5,3799350,5018484
"AT5G15150",649234,"Chr5","Araport11","gene",4913699,4915976,".","-",".","ID=AT5G15150;Name=AT5G15150;Note=homeobox 3;curator_summary=homeobox-containing gene with an unusual feature:  a leucine zipper motif adjacent to the carboxyl-terminal  of the homeodomain structure.  This gene is expressed  primarily in the cortex of the root and the stem.;symbol=HB-3;Alias=ATHB-3,homeobox 3,ATHB3,HAT7,HOMEOBOX FROM ARABIDOPSIS THALIANA 7;full_name=homeobox 3;computational_description=homeobox 3 (HB-3)%3B FUNCTIONS IN: sequence-specific DNA binding%2C DNA binding%2C sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: regulation of transcription%2C DNA-dependent%2C regulation of transcription%3B LOCATED IN: nucleus%3B EXPRESSED IN: 18 plant structures%3B EXPRESSED DURING: 4 anthesis%2C F mature embryo stage%2C petal differentiation and expansion stage%2C E expanded cotyledon stage%2C D bilateral stage%3B CONTAINS InterPro DOMAIN/s: Homeobox%2C conserved site (InterPro:IPR017970)%2C Homeobox (InterPro:IPR001356)%2C Helix-turn-helix motif%2C lambda-like repressor (InterPro:IPR000047)%2C Homeodomain-like (InterPro:IPR009057)%2C Leucine zipper%2C homeobox-associated (InterPro:IPR003106)%2C Homeodomain-related (InterPro:IPR012287)%3B BEST Arabidopsis thaliana protein match is: homeobox protein 20 (TAIR:AT3G01220.1)%3B Has 11268 Blast hits to 11217 proteins in 570 species: Archae - 0%3B Bacteria - 6%3B Metazoa - 8826%3B Fungi - 177%3B Plants - 2030%3B Viruses - 5%3B Other Eukaryotes - 224 (source: NCBI BLink).;Dbxref=PMID:7948864,PMID:7915839,PMID:1349836,PMID:11118137,PMID:11247607,PMID:12753585,PMID:14573523,PMID:14585825,PMID:16055682,PMID:16428600,PMID:16565297,PMID:16554366,PMID:16581911,PMID:16873489,PMID:16920880,PMID:18848454,locus:2150901;locus_type=protein_coding","ATHB-3,homeobox 3,ATHB3,HAT7,HOMEOBOX FROM ARABIDOPSIS THALIANA 7","homeobox 3","homeobox 3","HB-3","homeobox-containing gene with an unusual feature:  a leucine zipper motif adjacent to the carboxyl-terminal  of the homeodomain structure.  This gene is expressed  primarily in the cortex of the root and the stem.",5,"m_5_4216890","m_5_3799350","m_5_5018484",5,3799350,5018484
"AT5G15160",649252,"Chr5","Araport11","gene",4921243,4922812,".","-",".","ID=AT5G15160;Name=AT5G15160;Note=BANQUO 2;curator_summary=BNQ2 belongs to a family of  atypical non-DNA binding basic helix-loop-helix (bHLH) proteins that heterodimerize with and negatively regulate bHLH  transcription factors. Directly and negatively regulated by AP3 and PI in petals.Required for appropriate regulation of flowering time.;symbol=BNQ2;Alias=BHLH134,BASIC HELIX-LOOP-HELIX PROTEIN 134;full_name=BANQUO 2;computational_description=BANQUO 2 (BNQ2)%3B FUNCTIONS IN: DNA binding%2C sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: photomorphogenesis%2C regulation of timing of transition from vegetative to reproductive phase%3B LOCATED IN: vacuole%3B EXPRESSED IN: 21 plant structures%3B EXPRESSED DURING: 12 growth stages%3B CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092)%3B BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding family protein (TAIR:AT3G28857.1)%3B Has 97 Blast hits to 97 proteins in 12 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 0%3B Fungi - 0%3B Plants - 97%3B Viruses - 0%3B Other Eukaryotes - 0 (source: NCBI BLink).;Dbxref=PMID:12679534,PMID:14576160,PMID:14600211,PMID:15713015,PMID:16371470,PMID:16527868,PMID:16615871,PMID:16786307,PMID:17059409,PMID:17581762,PMID:18650403,PMID:20023194,PMID:20009022,PMID:20305124,PMID:24377444,locus:2150916;locus_type=protein_coding","BHLH134,BASIC HELIX-LOOP-HELIX PROTEIN 134","BANQUO 2","BANQUO 2","BNQ2","BNQ2 belongs to a family of  atypical non-DNA binding basic helix-loop-helix (bHLH) proteins that heterodimerize with and negatively regulate bHLH  transcription factors. Directly and negatively regulated by AP3 and PI in petals.Required for appropriate regulation of flowering time.",5,"m_5_4216890","m_5_3799350","m_5_5018484",5,3799350,5018484
"AT2G33380",290260,"Chr2","Araport11","gene",14144831,14146555,".","-",".","ID=AT2G33380;Name=AT2G33380;Note=Caleosin-related family protein;curator_summary=Encodes a calcium binding protein whose mRNA is induced upon treatment with NaCl%2C ABA and in response to dessication.  mRNA expression under drought conditions is apparent particularly in leaves and flowers. Isoform of caleosin with a role as a peroxygenase involved in oxylipin metabolism during biotic and abiotic stress. Involved in the production of 2-hydroxy-octadecatrienoic acid.  The peroxygenase has a narrow substrate specificity thus acting as a fatty acid hydroperoxide reductase in vivo.;symbol=RD20;Alias=AtCLO3,Arabidopsis thaliana caleosin 3,AtRD20,CLO-3,caleosin 3,CLO3,caleosin 3,PXG3,peroxygenase 3;full_name=RESPONSIVE TO DESSICATION 20;computational_description=RESPONSIVE TO DESSICATION 20 (RD20)%3B FUNCTIONS IN: lipoxygenase activity%2C calcium ion binding%3B INVOLVED IN: in 7 processes%3B LOCATED IN: chloroplast membrane%2C microsome%2C vacuole%3B EXPRESSED IN: 21 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Caleosin related (InterPro:IPR007736)%3B BEST Arabidopsis thaliana protein match is: seed gene 1 (TAIR:AT4G26740.1)%3B Has 344 Blast hits to 339 proteins in 61 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 0%3B Fungi - 60%3B Plants - 279%3B Viruses - 0%3B Other Eukaryotes - 5 (source: NCBI BLink).;Dbxref=PMID:10965948,PMID:11230576,PMID:12102506,PMID:12432076,PMID:12372144,PMID:12481097,PMID:12535340,PMID:12509532,PMID:12509522,PMID:14973164,PMID:15086800,PMID:15047901,PMID:15247402,PMID:15319476,PMID:15341629,PMID:15546358,PMID:15539469,PMID:15734912,PMID:16258012,PMID:16317577,PMID:16284313,PMID:16463099,PMID:16463051,PMID:16553894,PMID:16673935,PMID:16830180,PMID:16901781,PMID:17337630,PMID:17582382,PMID:17662035,PMID:17660356,PMID:17905899,PMID:18441212,PMID:18671872,PMID:18783601,PMID:18779215,PMID:19467604,PMID:19825648,PMID:20952421,PMID:21673513,PMID:22505693,PMID:23505340,PMID:24214535,PMID:25056921,PMID:25234727,PMID:25657344,locus:2051129;locus_type=protein_coding","AtCLO3,Arabidopsis thaliana caleosin 3,AtRD20,CLO-3,caleosin 3,CLO3,caleosin 3,PXG3,peroxygenase 3","RESPONSIVE TO DESSICATION 20","Caleosin-related family protein","RD20","Encodes a calcium binding protein whose mRNA is induced upon treatment with NaCl%2C ABA and in response to dessication.  mRNA expression under drought conditions is apparent particularly in leaves and flowers. Isoform of caleosin with a role as a peroxygenase involved in oxylipin metabolism during biotic and abiotic stress. Involved in the production of 2-hydroxy-octadecatrienoic acid.  The peroxygenase has a narrow substrate specificity thus acting as a fatty acid hydroperoxide reductase in vivo.",2,"m_2_15165371","m_2_14108772","m_2_15310712",2,14108772,15310712
"AT2G36120",297740,"Chr2","Araport11","gene",15165213,15166536,".","+",".","ID=AT2G36120;Name=AT2G36120;Note=Glycine-rich protein family;curator_summary=Encodes a glycine rich protein that is involved in leaf vascular patterning. dot1 mutants have an aberrant open-class venation pattern in leaves and cotyledons%2C as well as several other leaf development defects.;symbol=DOT1;full_name=DEFECTIVELY ORGANIZED TRIBUTARIES 1;computational_description=DEFECTIVELY ORGANIZED TRIBUTARIES 1 (DOT1)%3B INVOLVED IN: cotyledon vascular tissue pattern formation%2C phloem or xylem histogenesis%2C leaf vascular tissue pattern formation%2C leaf development%3B LOCATED IN: endomembrane system%3B EXPRESSED IN: 9 plant structures%3B EXPRESSED DURING: LP.06 six leaves visible%2C LP.04 four leaves visible%2C LP.10 ten leaves visible%2C petal differentiation and expansion stage%3B Has 433761 Blast hits to 69211 proteins in 2973 species: Archae - 1140%3B Bacteria - 107056%3B Metazoa - 166195%3B Fungi - 29774%3B Plants - 43479%3B Viruses - 5777%3B Other Eukaryotes - 80340 (source: NCBI BLink).;Dbxref=PMID:14690509,PMID:15272873,PMID:15604721,PMID:18650403,PMID:18643975,locus:2053524;locus_type=protein_coding","","DEFECTIVELY ORGANIZED TRIBUTARIES 1","Glycine-rich protein family","DOT1","Encodes a glycine rich protein that is involved in leaf vascular patterning. dot1 mutants have an aberrant open-class venation pattern in leaves and cotyledons%2C as well as several other leaf development defects.",2,"m_2_15165371","m_2_14108772","m_2_15310712",2,14108772,15310712
"AT4G32280",586006,"Chr4","Araport11","gene",15583332,15584903,".","+",".","ID=AT4G32280;Name=AT4G32280;Note=indole-3-acetic acid inducible 29;curator_summary=Auxin inducible protein.;symbol=IAA29;full_name=indole-3-acetic acid inducible 29;computational_description=indole-3-acetic acid inducible 29 (IAA29)%3B FUNCTIONS IN: sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: response to auxin stimulus%2C response to cyclopentenone%2C response to red light%2C response to far red light%3B LOCATED IN: nucleus%3B EXPRESSED IN: 7 plant structures%3B EXPRESSED DURING: 6 growth stages%3B CONTAINS InterPro DOMAIN/s: Aux/IAA-ARF-dimerisation (InterPro:IPR011525)%2C AUX/IAA protein (InterPro:IPR003311)%3B BEST Arabidopsis thaliana protein match is: indoleacetic acid-induced protein 10 (TAIR:AT1G04100.1)%3B Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12%3B Bacteria - 1396%3B Metazoa - 17338%3B Fungi - 3422%3B Plants - 5037%3B Viruses - 0%3B Other Eukaryotes - 2996 (source: NCBI BLink).;Dbxref=PMID:11118137,PMID:12036262,PMID:15247399,PMID:12893885,PMID:16243906,PMID:16284307,PMID:16489122,PMID:16901781,PMID:17076805,PMID:17435085,PMID:17885085,PMID:18334669,PMID:19249207,PMID:21666227,PMID:23037004,PMID:23037003,PMID:23629833,PMID:23757399,PMID:24424094,locus:2116505;locus_type=protein_coding","","indole-3-acetic acid inducible 29","indole-3-acetic acid inducible 29","IAA29","Auxin inducible protein.",4,"m_4_16212324","m_4_15488750","m_4_16811704",4,15488750,16811704
"AT4G32290",586052,"Chr4","Araport11","gene",15589434,15591213,".","-",".","ID=AT4G32290;Name=AT4G32290;Note=Core-2/I-branching beta-1%2C6-N-acetylglucosaminyltransferase family protein;computational_description=Core-2/I-branching beta-1%2C6-N-acetylglucosaminyltransferase family protein%3B FUNCTIONS IN: molecular_function unknown%3B INVOLVED IN: biological_process unknown%3B LOCATED IN: endomembrane system%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Core-2/I-Branching enzyme (InterPro:IPR021141)%3B BEST Arabidopsis thaliana protein match is: Core-2/I-branching beta-1%2C6-N-acetylglucosaminyltransferase family protein (TAIR:AT5G25330.1)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).;Dbxref=locus:2116515;locus_type=protein_coding","","","Core-2/I-branching beta-1%2C6-N-acetylglucosaminyltransferase family protein","","",4,"m_4_16212324","m_4_15488750","m_4_16811704",4,15488750,16811704
